Gender,Age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27
2,31,1,4,2,4,1,5,5,5,1,1,4,4,1,2,4,5,1,4,5,1,4,3,4,2,2,4,5
1,37,1,2,3,5,1,2,5,5,1,1,5,3,1,4,4,5,1,5,5,1,5,3,5,3,3,4,5
2,26,1,5,4,4,1,4,4,4,1,1,4,2,1,2,4,4,1,2,4,5,4,1,4,2,5,4,5
2,33,4,4,4,1,4,2,5,4,2,2,4,2,4,2,4,4,2,4,4,5,5,4,5,4,2,2,2
2,31,2,3,3,3,3,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,4,4,2,4,3,2,3
1,30,1,2,1,4,1,1,3,5,1,1,3,4,1,3,4,4,1,4,2,2,4,2,4,1,1,4,3
2,27,2,3,4,4,2,4,4,4,4,1,4,4,2,3,4,4,4,4,4,4,5,2,4,2,4,4,4
1,33,3,4,5,4,2,1,4,4,3,2,5,4,4,4,5,2,4,4,5,4,2,4,2,5,3,4,2
1,36,2,2,2,3,2,1,3,4,2,1,3,3,2,3,3,5,3,4,3,2,4,1,3,3,2,4,4
1,27,1,4,4,4,1,4,4,5,1,4,4,5,1,4,5,5,1,5,4,5,2,3,5,3,4,5,5
2,35,2,3,2,4,2,2,4,4,2,2,3,4,2,3,3,4,2,3,3,2,4,3,4,3,2,4,4
1,36,3,4,4,4,4,3,4,4,3,3,4,4,4,4,4,2,3,3,3,4,3,4,3,4,4,4,4
1,35,5,5,2,5,4,3,2,5,5,5,2,2,5,2,2,5,5,5,1,2,1,3,5,2,2,2,2
2,29,4,2,4,2,2,4,2,4,2,2,2,4,1,4,2,3,4,2,2,3,4,4,3,4,2,5,2
1,47,3,4,3,4,3,2,4,4,3,3,4,3,3,3,4,4,2,3,4,2,4,4,4,3,4,4,4
1,48,1,2,2,4,1,1,2,5,1,1,1,5,1,1,3,5,2,2,1,2,5,1,5,1,2,4,3
1,42,2,4,3,4,1,3,4,4,2,2,4,4,2,2,4,2,2,2,4,4,4,3,2,3,4,4,4
1,39,2,2,2,4,1,4,4,4,2,2,3,4,1,3,2,4,2,3,2,2,4,2,3,2,2,4,4
2,37,2,2,2,4,2,2,4,4,2,2,4,5,2,4,4,2,2,4,4,2,4,4,4,2,2,4,4
2,29,3,3,2,3,4,3,2,4,3,3,2,2,3,4,3,3,2,4,3,3,3,3,3,3,3,2,3
1,29,2,1,2,2,2,1,2,3,2,1,1,2,1,4,2,1,2,2,2,4,2,3,1,4,2,1,3
1,30,4,5,5,5,5,5,4,5,4,5,5,5,5,4,4,4,4,4,5,4,5,5,4,4,5,4,5
1,42,1,4,1,5,1,3,3,5,1,1,2,3,1,3,3,5,1,3,3,2,5,2,5,2,2,4,5
1,44,1,2,4,3,1,1,4,5,1,2,4,3,2,3,4,4,1,5,4,3,4,2,4,3,4,3,4
1,29,2,2,2,5,2,3,5,5,2,2,2,4,1,1,4,4,2,3,2,2,4,2,4,2,2,4,5
2,37,2,3,2,5,1,1,2,5,2,2,1,5,2,4,3,5,3,2,2,1,5,4,5,4,2,5,2
1,44,2,1,2,2,2,2,4,4,2,2,2,4,1,3,3,3,1,1,2,3,2,3,3,3,2,3,4
2,32,1,3,2,5,1,3,5,5,1,2,3,5,1,4,4,5,1,3,3,1,5,4,5,4,1,4,5
1,37,5,4,5,4,2,4,5,4,4,2,4,4,4,4,4,3,4,5,5,4,4,4,4,4,4,5,5
1,20,2,4,2,3,1,2,2,4,2,3,4,2,2,4,4,4,2,3,4,4,3,4,3,4,4,2,4
2,29,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,23,3,4,3,3,1,4,4,4,5,2,2,4,4,4,4,4,4,4,4,2,1,4,2,3,2,4,2
2,54,1,2,1,5,1,1,4,5,2,1,2,4,2,2,4,5,2,3,2,2,5,1,4,1,1,4,4
2,62,2,3,2,4,2,2,4,4,3,2,4,4,2,3,2,4,3,2,3,2,4,3,2,3,2,3,4
1,47,1,1,2,4,2,2,3,4,1,3,2,3,2,4,3,4,1,3,2,2,4,3,3,3,2,2,3
1,28,1,3,3,5,1,4,4,5,1,1,4,4,1,4,4,5,1,5,4,3,5,4,3,3,3,5,5
1,32,2,3,4,5,2,2,3,5,3,3,3,4,2,4,3,3,2,5,4,4,5,3,3,3,4,5,3
2,37,1,2,1,5,1,2,5,5,1,1,5,5,1,1,5,5,2,1,5,1,4,1,5,1,1,5,5
2,58,1,3,1,4,1,2,3,5,1,3,2,3,1,4,4,4,1,2,2,1,4,3,4,4,1,3,3
1,22,5,5,4,5,4,3,5,4,4,3,4,4,5,3,4,4,4,4,4,5,4,3,4,4,4,5,5
1,31,1,1,4,4,1,4,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,1,4,1,1,4,4
1,26,3,2,3,5,1,2,4,4,3,3,4,5,2,3,4,4,3,2,4,3,4,4,4,1,3,4,4
1,33,1,2,2,4,2,1,3,4,3,1,2,3,1,2,2,4,3,2,2,2,3,4,4,2,2,2,2
2,53,1,3,2,5,1,2,4,5,2,2,2,2,2,3,3,4,3,2,2,4,4,2,4,4,4,2,4
1,41,4,4,3,4,3,1,4,4,4,2,4,4,2,2,4,5,4,2,2,2,3,2,4,4,2,4,4
2,60,4,5,5,4,4,2,5,4,3,5,5,2,4,5,4,3,4,5,5,5,2,3,2,4,4,1,4
1,24,1,1,1,5,1,1,5,5,1,1,5,5,1,1,3,5,1,1,4,4,5,1,5,1,5,5,5
1,25,2,3,3,5,2,3,3,5,2,2,3,5,2,3,5,5,5,5,5,5,5,2,5,2,5,5,2
2,61,2,4,3,3,2,2,2,4,3,2,3,4,2,3,4,2,4,2,3,2,4,2,1,2,3,4,2
1,28,3,3,3,3,2,3,3,4,2,3,3,4,2,4,4,3,4,3,2,3,3,3,3,3,3,4,3
1,53,4,1,4,4,1,1,5,5,4,1,4,4,1,5,4,5,4,1,4,4,5,2,5,4,4,5,4
1,31,1,2,2,5,1,1,5,4,1,2,4,2,1,4,4,4,1,4,4,1,5,4,4,4,2,4,5
1,38,2,2,2,4,2,3,4,4,2,2,4,4,2,4,4,4,3,3,3,1,3,2,4,4,3,4,4
2,30,3,4,3,4,2,2,4,4,2,2,4,2,4,4,5,4,2,3,2,4,4,4,2,2,4,4,2
2,60,1,3,3,2,2,2,3,3,2,2,2,3,2,3,4,3,4,2,4,3,3,4,1,2,2,4,3
2,23,2,3,1,1,3,1,2,5,2,3,2,1,2,4,2,2,2,3,2,3,1,2,1,4,2,2,1
1,30,4,3,3,4,4,5,5,4,4,5,4,4,5,4,4,5,4,5,5,3,5,4,3,3,3,4,4
2,48,2,2,2,4,2,2,4,4,2,3,3,4,2,4,4,4,1,4,2,2,4,2,4,3,2,5,4
2,38,1,3,1,4,1,2,5,4,1,2,2,4,1,2,2,4,1,2,1,2,4,4,4,4,2,4,4
2,30,4,4,3,4,2,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,31,1,2,3,4,1,2,4,4,1,2,3,4,2,4,3,4,2,4,3,2,4,4,5,3,3,4,4
1,21,3,4,2,5,3,5,4,4,2,5,3,4,2,5,4,5,3,4,5,4,4,4,4,4,4,4,4
2,44,2,2,2,2,2,3,4,4,2,2,4,2,2,4,4,3,2,4,2,4,2,3,2,4,4,4,4
1,20,1,4,4,2,1,2,3,4,2,2,2,2,1,4,2,3,2,4,2,4,2,5,1,4,4,4,5
1,31,2,1,5,4,1,1,3,4,3,4,4,3,5,3,4,4,1,3,4,3,5,2,4,1,3,4,2
1,54,1,2,2,4,1,3,3,4,1,2,2,4,2,4,4,4,2,2,4,3,4,4,4,2,3,4,4
1,34,4,4,5,5,4,2,5,4,4,4,4,5,4,5,5,4,4,4,3,2,5,4,4,4,2,4,3
1,26,2,4,3,3,2,4,3,3,3,3,3,3,4,2,2,3,3,3,3,3,4,3,4,4,3,4,3
2,29,4,4,3,5,4,4,4,5,4,4,4,3,5,3,4,4,4,4,5,4,5,4,3,4,3,4,4
1,43,3,3,3,5,4,4,5,3,1,1,4,5,4,1,5,4,5,5,2,1,3,3,5,2,5,4,5
2,33,2,3,3,5,2,2,4,4,2,3,4,4,3,4,3,5,2,3,3,3,4,2,4,3,3,4,4
1,39,2,4,2,4,2,2,4,4,2,5,4,4,2,4,4,5,2,2,2,2,4,2,4,4,2,4,4
1,52,3,4,4,3,2,2,4,4,2,4,4,3,2,4,4,4,2,3,4,4,3,4,3,4,3,4,4
1,48,1,3,2,3,2,1,5,4,1,4,2,2,2,4,2,4,2,3,2,2,2,2,4,4,2,3,3
1,31,1,3,3,3,1,1,4,4,2,1,3,3,1,2,2,3,2,3,2,3,4,3,3,4,3,2,4
1,29,3,3,2,4,3,5,4,4,3,4,3,5,5,2,4,4,3,4,5,3,3,5,3,5,4,2,3
1,54,4,3,4,3,2,3,4,4,2,3,3,3,2,4,4,4,3,3,4,2,4,3,2,4,2,3,2
2,44,4,4,2,3,3,3,2,5,3,3,3,3,2,4,4,4,3,3,3,5,4,4,4,4,4,4,4
1,27,2,2,2,4,2,1,5,4,2,2,4,4,2,2,5,4,4,2,4,2,2,3,3,2,2,3,4
1,40,5,4,4,4,4,2,4,4,4,2,4,5,4,2,5,4,4,4,4,4,4,4,4,2,4,4,4
1,33,2,4,1,5,1,1,3,5,1,1,2,5,1,2,2,5,1,4,1,1,5,4,5,2,2,5,3
2,69,4,5,2,5,4,3,2,5,4,5,2,3,4,2,2,5,4,5,2,2,1,3,5,3,2,2,2
1,26,2,4,2,4,1,4,4,4,2,2,2,4,2,4,2,4,1,1,4,4,4,4,4,3,2,4,4
3,32,1,5,5,1,3,3,4,3,1,5,4,1,3,5,4,1,3,3,4,4,1,3,1,5,4,1,3
2,44,3,4,3,2,4,2,4,5,4,4,4,2,4,4,2,4,4,4,2,4,2,2,5,2,4,4,2
1,30,4,3,4,3,4,5,5,5,4,4,4,4,5,4,5,4,3,3,3,4,5,5,3,4,3,4,5
 ,30,4,2,4,4,4,4,3,3,3,3,2,3,2,2,3,2,3,2,4,3,2,3,3,3,2,3,3
2,45,2,3,2,4,4,3,4,5,2,3,4,4,2,3,4,5,3,3,4,4,4,3,4,3,4,5,4
1,45,1,2,1,4,2,1,4,5,1,2,4,4,1,1,4,5,1,1,4,1,5,2,5,2,1,5,5
1,33,1,4,2,5,2,3,5,5,1,4,3,4,1,4,4,5,1,4,2,1,5,4,5,5,1,4,3
2,33,2,3,3,2,1,1,5,3,1,1,4,3,1,2,5,4,1,1,4,1,1,1,2,1,4,2,5
1,30,2,4,2,3,4,3,3,4,3,4,2,3,4,3,2,4,3,3,3,4,4,2,2,2,4,2,3
2,25,1,1,1,5,1,3,2,5,1,1,1,5,1,2,3,5,1,1,1,1,5,1,5,1,1,5,1
2,53,3,5,2,4,2,1,4,5,2,1,4,5,2,3,4,5,2,3,3,2,5,2,4,2,2,4,4
1,31,1,1,1,5,3,1,4,5,1,1,4,4,1,3,4,5,1,4,2,1,3,2,5,1,3,5,4
2,35,1,2,4,4,1,2,4,4,1,3,4,2,2,4,4,3,1,2,2,4,3,4,2,4,3,1,4
1,67,1,1,2,4,3,1,1,5,1,1,1,2,3,2,2,5,1,2,1,4,3,1,4,1,2,3,1
2,41,1,4,3,4,2,3,4,4,1,3,4,3,2,4,4,4,2,4,3,4,4,4,3,4,4,2,3
2,62,2,3,3,4,1,3,4,3,3,2,3,3,2,2,3,3,3,2,3,4,4,2,2,3,3,2,3
2,42,2,4,2,4,3,4,4,2,2,2,4,4,4,4,4,2,3,3,4,4,2,2,3,3,4,3,2
2,68,1,2,1,4,1,1,5,5,1,2,5,5,1,2,5,5,1,4,5,3,4,1,4,1,4,5,5
2,33,3,5,3,5,1,4,5,5,4,5,4,5,3,5,5,3,3,4,5,3,5,1,4,1,5,5,1
1,34,1,5,3,4,2,2,4,5,1,3,4,5,2,3,3,5,3,5,2,3,4,3,3,4,3,5,2
2,50,3,3,4,2,3,3,4,3,3,2,4,2,3,4,4,3,3,3,4,4,2,3,2,4,2,2,4
1,29,4,4,5,5,4,2,4,4,2,5,4,2,4,4,4,4,4,2,5,5,2,4,4,2,4,2,4
1,27,3,3,2,3,3,2,4,4,4,4,4,2,4,4,3,4,3,4,4,2,4,4,3,3,4,5,3
1,36,4,4,3,3,1,5,2,5,1,5,2,3,2,4,4,5,2,3,2,3,3,3,5,5,3,4,3
1,71,4,4,4,2,4,2,4,4,4,2,4,2,4,2,4,2,2,4,4,4,2,2,2,2,4,4,4
2,50,4,3,3,5,3,2,5,5,4,3,5,4,4,4,5,5,4,4,4,3,5,4,5,4,3,5,4
1,39,2,3,4,4,2,2,4,5,2,3,2,4,2,4,3,5,3,3,3,4,4,4,5,3,3,4,4
1,38,2,3,3,4,3,4,4,4,3,3,4,4,3,2,4,4,2,3,3,4,4,4,2,4,3,4,4
1,27,5,3,3,5,1,5,3,5,3,5,3,5,3,3,5,5,1,5,5,5,5,5,5,5,5,5,1
1,32,1,3,3,4,2,4,3,5,1,3,3,4,1,3,4,2,1,2,2,3,2,3,2,3,4,4,3
1,31,1,2,4,5,1,1,4,4,4,5,3,5,5,1,3,4,2,2,5,3,5,2,1,3,4,4,2
1,52,2,3,3,4,3,2,4,4,2,4,3,4,2,4,4,1,1,2,2,3,3,2,2,4,2,2,4
2,38,4,3,4,4,4,3,4,5,4,3,4,4,4,3,4,4,4,3,4,2,4,2,3,3,4,4,4
2,35,1,4,4,2,1,2,5,3,2,2,5,5,2,2,4,2,4,4,4,5,2,2,2,2,4,4,5
2,35,4,4,4,5,4,2,5,5,4,1,2,4,5,3,4,4,5,2,5,5,5,4,4,3,2,5,4
1,23,1,5,1,5,1,1,5,5,1,4,5,5,1,5,5,1,1,4,5,5,5,5,1,5,5,5,5
2,56,2,4,4,4,3,2,5,4,4,2,5,3,4,4,5,5,3,2,4,4,4,2,4,3,4,2,5
1,24,2,2,3,5,2,3,4,4,2,3,4,3,2,4,4,3,2,2,3,4,4,3,4,3,2,4,2
1,38,2,3,2,4,2,2,4,4,2,4,4,4,1,3,3,4,3,3,2,3,3,2,4,3,3,4,4
1,39,2,4,2,4,2,2,3,5,2,3,4,4,3,2,4,4,2,4,2,4,3,4,2,3,3,4,3
1,62,1,4,2,4,1,5,4,4,1,3,2,1,1,4,2,4,1,5,2,5,4,4,2,3,3,1,4
2,43,3,4,4,5,4,3,3,4,4,4,4,4,3,4,4,5,3,4,4,2,4,4,5,4,3,4,3
1,37,3,3,3,4,2,4,3,4,3,2,4,4,3,3,4,4,4,3,3,3,4,3,3,3,3,4,3
2,36,2,3,2,4,4,4,3,5,4,3,1,5,4,4,3,5,4,4,4,2,4,2,4,3,2,4,3
2,46,4,3,4,3,3,3,2,4,4,3,3,4,3,4,4,4,3,4,4,3,3,4,3,3,3,4,2
2,55,1,4,4,4,2,1,4,4,2,2,3,4,2,2,4,4,2,2,3,4,4,2,3,2,2,4,4
1,32,1,3,3,3,2,3,3,4,1,2,3,3,2,3,3,4,1,3,3,3,3,2,3,3,3,4,3
2,47,2,4,3,2,2,4,2,4,3,4,4,2,2,4,4,3,4,4,2,4,2,2,3,2,3,2,2
