V1,Sexe,Age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27
403,1,26,2,1,2,3,2,2,4,3,1,1,4,3,2,3,5,4,2,3,3,4,3,5,4,4,2,4,5
405,1,24,2,4,3,4,4,3,4,4,2,3,2,4,2,4,4,2,2,3,2,3,2,5,2,3,2,3,3
406,1,23,3,2,1,4,1,1,3,4,1,2,3,4,2,4,2,4,1,3,2,3,3,2,3,1,2,5,4
407,1,24,4,1,4,2,3,1,5,4,4,1,4,4,3,2,1,4,4,3,3,4,3,1,5,4,2,3,2
408,1,22,3,3,4,2,2,2,4,4,1,2,4,3,2,4,3,2,2,3,3,4,3,4,2,3,2,4,4
410,1,23,2,3,3,1,3,2,5,4,1,1,3,2,2,3,2,2,1,3,3,3,1,3,4,3,2,3,4
412,1,21,2,1,3,2,2,2,4,3,2,2,3,4,1,2,5,3,1,1,5,3,2,5,3,5,3,4,5
414,1,25,1,2,4,3,1,1,4,4,1,1,5,3,2,3,4,2,4,3,3,4,5,5,4,5,3,4,3
417,1,53,1,2,3,3,3,1,4,3,1,1,1,4,3,2,3,4,2,3,3,3,4,3,2,3,2,3,5
418,1,32,3,3,3,3,1,2,2,2,1,3,3,4,3,3,4,3,3,2,2,4,2,3,3,3,2,2,4
419,1,23,4,2,3,3,4,3,3,3,3,2,2,4,3,3,3,4,3,3,3,4,4,3,4,2,3,3,3
420,1,21,2,4,1,4,3,2,5,4,2,3,2,2,4,3,2,4,4,4,3,4,2,4,2,5,3,4,3
423,1, ,2,1,1,2,1,2,5,3,2,1,2,3,3,4,4,4,1,2,3,3,3,3,2,2,2,3,5
424,1,20,3,2,4,4,3,2,5,5,3,2,5,5,4,3,5,5,5,5,5,3,3,4,3,4,4,5,5
425,1,24,1,1,3,4,1,1,3,5,1,1,2,3,1,2,3,2,1,2,2,3,2,3,1,2,2,2,5
426,1,31,1,3,1,2,1,4,3,4,1,2,1,3,1,3,1,2,3,4,1,5,4,4,2,3,1,3,2
431,1,39,2,1,2,2,1,1,5,2,1,1,2,3,2,3,2,4,3,2,2,2,3,2,2,2,3,2,4
432,1,22,1,4,4,4,2,2,5,4,1,4,4,4,2,4,4,4,2,4,4,3,5,4,2,4,4,4,4
434,1,24,2,3,4,1,2,2,5,2,2,2,2,4,2,3,3,2,3,3,2,5,2,2,2,4,2,2,3
437,1,30,2,1,3,2,2,1,5,4,1,1,3,5,1,4,4,4,1,3,4,3,2,3,3,3,2,4,5
440,1,28,3,2,2,1,2,1,5,5,1,1,3,4,2,3,3,3,4,4,3,2,3,5,2,4,2,2,4
441,1,20,4,1,3,3,2,1,3,5,2,4,4,4,2,1,3,3,1,3,3,3,5,3,2,1,2,3,2
442,1,38,3,2,4,2,2,1,2,2,1,1,3,3,1,3,3,2,1,2,4,3,2,3,2,3,2,1,4
444,1,20,1,3,3,4,1,2,5,5,1,2,2,2,2,2,4,1,2,3,4,1,2,4,2,4,1,5,5
446,1,18,3,1,2,3,2,1,5,4,2,1,5,4,2,2,4,4,3,2,4,4,3,1,2,2,4,4,5
448,1,21,3,3,2,4,1,2,5,4,2,1,2,5,3,5,5,2,3,3,4,5,1,2,2,4,2,4,4
450,1,20,2,3,4,3,4,3,5,5,3,3,3,4,2,5,4,4,3,4,5,4,3,4,3,2,3,4,3
453,1,23,3,3,3,3,3,1,2,2,1,1,4,3,2,3,3,3,3,3,3,4,2,2,2,2,2,2,4
454,1,21,1,2,2,2,1,1,4,3,1,2,2,3,2,2,3,3,3,3,3,4,4,2,2,3,2,2,4
456,1,20,3,4,2,3,3,4,3,4,3,2,3,4,3,3,3,4,3,2,3,3,2,4,3,4,3,3,3
457,1,23,2,2,3,3,2,2,4,3,2,2,4,3,3,4,3,4,3,3,4,4,4,2,3,4,3,2,4
458,1,24,1,2,4,3,2,2,4,4,1,3,4,4,3,4,2,1,2,4,4,5,2,4,3,4,3,4,4
459,1,19,4,5,5,2,1,2,5,2,1,2,5,5,3,5,3,4,2,5,3,5,3,4,3,4,2,5,3
460,1,24,1,4,1,3,1,5,2,3,1,3,1,2,5,2,3,3,1,1,4,1,3,4,1,4,1,1,4
464,1,21,3,2,1,2,5,1,5,3,5,5,3,4,3,1,3,3,4,3,3,4,2,4,2,4,3,4,4
465,1,21,1,2,1,3,1,3,2,3,1,2,2,2,1,3,4,2,1,1,1,2,1,3,2,2,1,2,4
466,1,22,1,3,1,2,2,3,4,4,1,2,2,4,2,4,2,2,1,4,3,2,4,4,2,4,1,3,4
467,1,23,1,2,3,2,1,1,5,4,1,1,1,5,1,2,2,2,1,3,2,2,3,4,3,4,1,2,5
468,1,24,2,2,1,3,2,3,4,2,2,2,2,3,2,2,3,2,2,3,2,3,2,2,1,1,2,1,4
470,1, ,4,4,1,2,3,4,2,4,3,3,3,4,3,4,3,2,2,1,3,3,1,1,1,4,2,4,3
471,1,22,1,3,5,4,1,1,5,5,1,1,3,4,1,4,3,4,1,2,5,5,5,1,3,4,5,3,5
472,1,19,1,3,1,2,1,3,3,2,1,2,4,4,2,4,3,2,1,2,4,4,4,2,2,3,3,3,5
474,1,37,2,2,2,4,1,1,4,2,1,1,3,4,4,3,2,2,1,3,4,2,3,2,2,5,3,4,4
475,1,20,1,3,1,2,1,2,4,3,3,2,2,5,3,2,3,4,2,3,1,1,3,3,3,2,1,2,4
477,1,19,1,3,4,1,1,2,3,1,3,3,4,3,2,4,4,3,1,1,3,3,2,3,2,4,1,4,5
478,1, ,1,2,2,1,1,3,5,4,2,2,2,4,2,2,4,5,2,2,3,3,5,1,2,2,2,2,2
480,1,20,2,3,4,3,1,1,3,4,1,1,4,4,3,3,4,2,2,3,4,3,3,2,3,2,3,3,3
482,1,20,3,1,3,3,1,2,4,3,1,1,4,2,1,4,5,1,2,4,4,4,3,4,1,4,2,2,4
483,1,22,1,1,2,4,2,3,4,4,4,1,3,4,3,2,4,3,1,2,3,3,3,2,3,2,2,3,4
484,1,35,1,2,3,3,1,1,3,3,1,2,2,3,2,3,2,2,1,2,2,2,4,3,3,3,2,3,4
485,1,25,2,4,3,4,2,2,4,4,2,2,3,2,2,3,2,2,2,3,2,2,4,4,2,4,2,4,2
488,1,44,2,2,4,2,3,1,5,2,2,1,2,2,3,4,3,4,4,3,2,4,2,2,4,2,1,4,4
489,1,19,3,4,2,3,4,1,5,2,3,1,4,4,2,3,4,5,3,4,4,4,3,4,3,4,3,3,5
490,1, ,4,1,3,4,3,3,5,4,3,1,3,5,4,4,2,3,3,3,4,4,3,4,3,1,3,3,4
492,1,23,4,3,3,1,2,1,4,4,3,2,4,3,3,4,5,3,1,4,4,3,2,4,3,2,2,2,4
493,1,54,3,4,3,1,4,2,5,3,3,3,2,3,2,2,2,3,2,2,1,3,2,3,3,3,4,2,4
494,1,21,2,4,4,4,1,3,4,5,1,1,3,5,1,3,5,5,1,3,5,3,4,4,3,3,3,3,3
495,1,20,1,4,1,2,2,2,2,4,1,3,2,4,2,4,1,2,1,4,3,3,5,4,2,4,1,2,1
497,1,23,3,4,5,2,4,3,4,3,5,4,5,1,4,5,4,4,2,2,4,4,3,5,3,5,4,4,2
498,1,22,3,4,3,3,4,2,5,4,4,4,3,3,4,4,3,4,2,2,3,4,3,4,4,5,4,5,4
499,1,26,1,2,1,2,1,1,5,3,1,2,5,3,4,3,3,3,1,2,4,4,3,2,3,3,3,3,4
500,1, ,3,2,4,1,2,1,3,2,2,2,4,4,3,5,3,2,4,3,3,3,2,5,2,4,3,4,4
501,1,22,4,5,3,1,1,3,3,4,1,3,2,3,2,3,5,4,3,2,2,3,4,4,3,3,3,3,4
502,1,23,2,4,5,4,2,3,5,4,1,4,4,4,2,3,4,3,3,4,3,4,4,4,3,4,4,2,5
503,1,20,2,3,2,2,2,3,4,3,3,2,3,2,3,4,3,2,3,4,2,4,2,4,2,4,3,3,2
504,1,25,1,3,2,4,1,1,4,2,2,1,3,3,2,3,4,2,3,2,3,3,3,4,2,3,2,3,3
506,1,19,4,2,1,3,2,3,3,3,2,2,3,3,2,2,3,3,1,1,3,3,3,2,2,2,3,2,4
507,1,20,4,2,3,4,3,2,3,4,3,1,3,4,4,3,4,4,2,3,3,5,3,4,2,3,2,3,3
508,1,21,3,2,4,2,2,1,4,2,1,1,3,3,1,4,2,3,2,4,3,3,2,4,2,4,2,2,4
509,1,23,3,4,3,3,2,2,5,4,3,3,3,4,3,3,3,4,2,4,4,3,4,3,3,2,2,3,2
510,1,24,3,2,3,2,1,2,3,3,2,1,3,4,2,3,3,3,3,3,2,3,2,3,3,3,2,3,3
512,1,22,2,2,2,4,1,2,4,4,2,2,2,4,1,4,3,5,2,2,2,3,3,4,4,4,2,3,4
513,1,23,4,3,3,2,4,2,4,3,4,3,3,3,3,4,4,4,4,3,3,4,2,4,3,4,3,4,4
514,1,27,4,3,4,4,2,1,5,4,2,3,3,1,3,2,4,4,4,2,3,4,3,2,3,4,3,2,5
517,1,23,2,2,3,4,2,1,5,2,2,2,4,5,1,3,2,2,2,3,3,2,2,2,2,2,2,4,4
518,1,21,3,4,1,2,3,1,5,3,3,3,2,2,3,4,3,3,4,3,4,4,3,4,2,4,3,1,3
521,1,26,5,3,3,4,2,2,5,4,3,3,4,5,4,5,2,1,3,3,3,4,3,5,1,3,2,4,4
523,1,23,3,2,4,1,2,1,4,1,1,1,4,2,2,2,4,2,5,4,4,4,2,2,3,2,3,2,4
524,1,22,1,1,3,1,1,3,3,5,1,1,3,5,1,4,3,3,3,3,1,1,3,3,3,3,1,5,3
526,1,25,3,4,1,2,2,2,2,4,2,2,2,4,2,3,3,3,2,4,2,2,3,4,3,4,2,2,2
529,1,25,1,2,2,2,3,2,4,3,1,1,3,3,2,1,3,3,4,3,3,3,1,1,2,1,2,2,4
531,1,26,3,2,3,2,2,1,2,2,1,1,3,2,2,3,3,3,1,2,2,3,2,3,2,3,3,2,4
534,1,24,3,3,3,3,1,1,3,3,4,1,4,4,4,4,3,2,2,1,2,3,3,3,3,1,1,4,2
535,1,24,4,3,4,2,2,2,5,3,2,3,3,3,4,4,3,2,1,4,3,4,3,4,3,4,4,2,5
536,1,25,1,3,1,5,1,3,5,5,1,3,1,3,1,3,5,5,1,3,2,3,5,1,5,1,1,3,5
537,1,24,3,4,4,1,1,1,4,3,1,2,4,2,3,3,3,2,3,2,4,4,1,2,2,3,3,2,4
539,1,21,2,3,4,2,2,4,4,5,2,1,3,3,4,5,2,5,3,4,3,5,4,4,3,4,3,2,5
540,1,21,1,3,1,5,3,1,5,5,1,3,3,1,3,3,3,1,1,1,3,2,4,4,1,4,3,3,5
545,1,23,2,1,3,1,1,2,2,4,1,1,2,3,2,1,4,4,1,2,5,3,3,3,2,2,2,2,4
546,1,21,4,4,2,2,3,3,4,4,3,2,4,4,4,3,3,3,3,4,3,4,2,3,3,4,2,4,4
547,1,19,3,2,3,3,1,2,4,3,1,2,4,4,2,3,4,3,1,2,4,3,3,3,2,1,3,3,4
548,1,28,4,3,4,2,4,2,5,4,3,2,4,2,3,3,3,3,4,3,4,4,2,4,3,4,3,3,5
550,1,21,3,3,2,1,1,2,4,4,1,2,2,2,1,4,3,3,1,1,4,3,2,3,3,3,4,2,4
554,1,21,4,2,3,3,1,4,3,4,4,1,4,4,3,4,4,4,3,3,2,3,4,2,3,3,2,4,3
556,1,24,4,3,4,3,4,2,5,3,4,1,4,4,4,3,4,3,3,2,3,4,2,3,3,4,2,4,3
557,1,23,2,3,2,3,4,1,3,4,3,1,2,4,4,4,4,2,3,3,3,2,2,3,3,4,2,5,3
558,1,20,4,1,3,3,1,2,4,3,2,4,2,4,2,3,3,4,2,3,4,1,4,4,3,3,2,5,4
559,1,26,3,1,1,2,2,1,1,4,2,3,2,2,2,3,2,1,2,5,2,4,1,2,2,3,2,2,2
560,1,28,3,2,4,2,2,3,5,5,3,2,4,3,3,4,4,5,3,3,4,3,4,2,4,3,3,3,5
561,1,23,3,2,3,3,2,2,4,2,2,1,3,4,2,3,3,2,3,3,3,3,3,2,2,3,2,3,4
562,1,32,3,4,4,2,2,1,5,5,1,4,3,2,3,4,2,4,2,4,2,4,4,4,2,4,2,2,4
564,1,26,3,2,3,4,2,1,5,5,2,2,3,4,4,4,3,3,2,3,3,4,4,4,4,5,3,4,4
565,1,22,1,4,1,3,1,1,4,4,1,3,2,4,1,4,2,4,2,2,1,2,3,2,3,4,1,4,2
566,1,24,1,1,4,2,1,1,5,4,1,2,1,2,1,3,3,2,1,4,1,3,1,3,2,1,1,1,5
569,1,24,4,4,3,2,3,1,5,4,1,4,3,3,2,4,2,4,2,3,4,4,2,4,4,4,4,3,5
570,1,24,2,2,3,4,1,2,5,5,1,1,3,4,2,3,2,5,1,2,4,4,4,2,4,1,3,4,5
571,1,23,4,2,2,4,2,2,5,2,2,2,4,4,4,2,4,3,2,4,3,5,2,4,4,4,3,3,4
572,1,23,1,2,1,2,2,1,2,3,1,2,1,2,1,3,2,3,4,3,2,2,1,3,2,3,1,2,5
573,1,24,3,4,3,4,3,3,5,5,3,3,3,4,4,4,5,2,3,4,3,4,4,4,2,4,3,3,4
574,1,28,3,3,5,1,3,1,4,3,1,3,5,1,3,4,4,3,1,1,4,4,1,3,1,4,5,1,5
575,1,43,3,3,1,1,1,1,1,3,2,2,1,4,3,3,2,2,1,2,1,4,1,4,2,4,1,5,2
576,1,22,2,2,2,3,3,2,3,4,2,3,4,3,4,4,4,3,2,2,3,4,3,4,4,3,3,3,3
580,1,20,4,1,4,2,1,2,4,4,5,3,4,5,3,3,5,2,4,4,4,3,3,2,2,5,5,3,3
582,1,19,1,3,1,2,1,1,4,2,1,1,1,4,2,4,5,2,4,1,5,4,1,1,3,3,1,5,5
587,1,22,4,4,3,2,2,1,4,4,1,3,2,4,2,3,4,2,1,3,2,3,4,3,4,4,2,4,5
589,1,20,3,3,1,3,1,4,5,3,2,2,3,5,3,3,3,2,1,3,4,3,4,3,2,3,2,3,4
590,1,25,2,3,3,3,1,2,4,3,1,3,3,3,1,1,4,3,1,2,3,3,4,2,3,1,1,3,4
591,1,20,5,4,3,5,4,4,5,5,5,4,5,5,4,4,5,5,3,4,4,5,5,5,3,5,4,4,3
596,1,35,2,2,3,4,2,2,4,2,1,1,4,4,2,3,3,2,2,4,2,3,4,3,3,2,2,3,2
597,1,25,3,2,4,2,2,2,3,4,1,2,2,3,3,4,3,3,4,3,3,4,4,4,3,3,3,4,2
599,1,22,1,1,4,3,1,1,5,3,1,1,4,3,1,3,5,3,2,2,4,4,2,3,3,2,2,2,2
600,1,19,1,3,3,3,1,4,5,5,1,1,4,4,1,3,3,4,1,3,4,3,3,3,3,3,2,3,1
603,1,19,3,1,4,1,1,1,5,3,1,1,5,5,1,2,4,3,1,3,5,5,4,5,1,3,4,3,5
605,1,22,1,2,1,2,1,3,4,2,1,2,1,2,1,1,4,3,1,1,1,4,2,1,1,4,1,1,5
606,1,26,3,4,3,2,2,2,3,4,1,4,4,3,2,4,4,3,1,3,4,3,3,3,3,4,3,2,4
607,1,21,3,5,2,4,2,3,4,4,2,4,4,4,4,4,4,2,2,4,4,4,3,4,2,4,4,3,5
608,1,22,4,1,2,3,1,2,5,2,3,1,3,4,2,1,3,3,3,3,2,2,2,3,2,2,2,3,2
610,1,23,2,3,3,2,1,1,5,4,1,2,3,5,3,3,3,4,4,2,3,3,4,3,4,4,2,3,5
612,1,23,1,2,1,2,1,1,5,1,1,1,1,4,1,2,2,4,2,4,3,2,2,3,3,3,1,2,5
613,1,26,4,1,1,4,2,3,1,5,1,1,1,4,1,2,1,4,1,2,1,1,1,3,1,3,1,4,2
615,1,25,1,2,4,2,1,1,5,5,1,1,4,4,5,4,4,3,1,2,4,3,2,1,2,1,4,4,5
616,1,23,2,2,1,4,2,1,5,3,2,4,2,3,3,3,4,4,1,4,1,2,2,3,3,4,2,4,3
617,1,23,1,3,2,3,2,2,3,4,1,2,1,3,1,2,2,3,1,2,1,1,3,2,2,3,1,3,5
618,1,21,1,2,3,1,3,1,4,2,2,1,3,1,2,4,3,2,1,1,4,3,1,4,2,3,2,1,5
619,1,25,3,4,3,5,3,2,5,4,3,3,4,5,5,3,4,4,3,4,4,4,3,3,3,4,4,3,4
620,1,23,3,4,2,4,2,2,4,4,1,1,2,3,2,3,3,4,1,3,3,4,3,4,3,4,3,3,2
625,1,40,2,2,1,4,2,2,5,4,1,1,2,3,1,4,4,2,5,2,3,3,2,4,2,2,1,4,5
626,1,21,3,2,3,4,2,1,4,4,2,2,3,3,3,2,4,3,2,3,3,4,2,3,3,3,2,3,3
627,1,24,1,2,1,3,1,2,3,2,1,2,2,2,1,2,2,3,1,3,2,3,2,3,2,3,2,2,4
629,1, ,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3
638,1,24,4,3,3,2,2,1,4,4,2,2,4,3,3,3,3,3,2,2,4,4,2,3,3,3,4,2,4
642,1,37,3,4,5,1,3,5,5,5,2,4,3,4,2,3,4,3,2,3,3,4,2,4,2,4,2,3,3
644,1,23,4,2,2,3,2,1,3,3,1,2,2,2,2,2,3,2,1,4,3,4,3,2,2,4,2,3,4
645,1,37,2,2,2,4,2,2,5,3,1,1,4,4,1,3,4,3,1,2,3,3,2,4,3,2,1,3,5
647,1,23,4,3,2,3,1,3,5,4,1,3,5,5,4,3,2,2,1,4,5,5,3,3,3,3,1,2,5
648,1,19,1,2,5,4,4,1,5,5,5,1,5,5,2,5,5,5,1,2,4,5,5,4,4,5,5,5,5
650,1,37,2,1,4,4,1,2,1,3,1,2,4,3,2,3,3,3,1,4,4,4,2,3,3,3,3,2,5
651,1,36,2,2,3,4,1,4,4,4,2,4,2,4,3,4,4,4,1,2,4,4,4,5,4,2,2,4,4
654,1,20,4,2,4,1,2,2,4,4,2,1,3,3,2,4,3,4,4,4,5,4,2,4,3,4,3,3,4
655,1,20,1,2,2,3,1,1,2,3,1,1,4,3,1,3,4,1,1,2,3,3,1,1,2,3,2,2,5
656,1,20,2,3,3,4,1,3,4,4,1,2,3,2,2,2,3,3,2,2,3,3,3,3,2,2,3,4,3
657,1,23,1,3,2,4,1,3,3,3,1,1,2,3,4,4,4,3,1,2,3,4,4,3,3,3,2,3,3
659,1,22,4,2,1,1,2,1,5,4,1,2,5,4,3,2,4,3,4,3,4,4,3,2,2,3,2,4,5
660,1,21,2,4,2,3,2,3,5,4,1,1,2,4,2,2,2,4,1,3,3,3,4,2,2,2,1,5,5
661,1,18,2,2,3,4,2,2,4,4,2,2,3,3,2,4,3,3,4,3,3,4,3,4,3,4,2,3,4
662,1,23,2,3,4,4,2,4,4,2,1,1,3,4,3,4,3,5,5,4,2,2,4,4,4,4,2,4,2
663,1,18,3,4,3,2,1,1,2,3,2,2,4,5,2,4,3,2,3,3,3,3,2,4,2,4,3,4,3
664,1,21,3,5,5,2,1,1,5,5,1,3,3,2,1,1,3,4,2,4,3,4,2,1,3,3,2,3,5
665,1,24,3,4,2,4,1,4,5,4,3,2,2,3,2,2,3,3,3,2,1,3,4,3,1,4,3,2,5
666,1,22,4,4,3,2,3,4,5,4,3,3,4,3,4,4,4,3,3,4,4,2,4,3,4,4,3,3,4
667,1,20,2,2,3,2,2,2,4,2,1,1,2,2,2,4,3,3,2,3,3,4,3,4,3,4,3,3,4
668,1,20,3,2,3,2,3,2,4,3,2,2,4,4,4,4,3,2,2,3,4,5,3,2,3,5,3,3,4
669,1,20,4,2,5,2,3,2,5,4,3,2,3,3,2,3,3,2,2,4,4,3,3,2,2,3,3,2,4
670,1,23,2,3,4,2,2,3,4,3,3,3,4,3,3,4,4,2,4,3,3,4,3,4,2,3,3,2,4
672,1,19,2,3,3,3,1,3,4,5,1,1,4,5,3,3,4,4,1,3,2,4,4,4,4,4,1,3,2
673,1,25,2,3,2,2,1,1,2,2,2,2,2,4,1,2,2,2,2,2,2,3,2,1,2,2,2,2,3
674,1,26,1,2,2,5,1,3,3,5,1,1,2,5,3,2,4,3,2,4,3,1,5,3,2,4,3,5,3
676,1,24,2,3,2,4,1,2,4,3,2,2,2,4,1,4,3,4,1,1,1,3,4,5,2,4,2,2,3
677,1,22,3,3,3,3,3,4,5,4,3,3,4,5,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3
680,1,22,3,3,2,2,1,1,5,2,2,3,3,4,2,3,3,3,1,3,4,4,3,2,3,3,3,2,4
684,1,23,1,4,3,3,1,1,5,3,3,3,3,4,3,2,4,2,2,3,2,3,2,3,4,4,2,2,3
685,1,37,3,3,3,2,2,2,4,4,2,3,3,2,2,2,2,2,2,4,2,4,2,3,2,3,2,2,4
686,1,22,4,2,2,4,1,1,4,2,1,1,3,4,1,1,2,3,1,3,3,4,4,5,3,4,2,5,3
687,1,22,2,3,2,3,3,4,4,3,2,3,3,3,2,4,4,4,2,3,3,3,3,3,4,2,3,4,5
688,1,40,2,4,2,3,2,2,3,2,1,2,4,3,2,3,3,2,1,2,2,2,2,2,2,2,2,3,4
689,1,28,1,3,3,3,2,2,3,4,1,1,2,5,4,3,3,3,1,4,2,3,1,4,2,4,2,5,5
