V1,Sexe,Age,FD1,SD2,UP3,FW4,FD5,SD6,UP7,FW8,FD9,SD10,UP11,FW12,FD13,SD14,UP15,FW16,FD17,SD18,UP19,UP20,FW21,SD22,FW23,SD24,UP25,FW26,UP27
690,1,20,3,4,4,2,2,1,5,4,2,2,4,4,4,4,4,3,4,5,5,5,3,4,4,5,2,3,4
692,1,25,5,4,2,2,4,1,5,5,5,3,5,5,5,3,5,5,3,5,5,4,2,4,4,4,3,2,4
694,1,41,2,1,1,4,1,1,4,3,1,1,3,4,1,3,2,3,1,2,1,3,4,2,3,2,1,4,3
695,1,21,3,3,3,2,4,2,4,3,1,3,2,3,3,3,3,1,1,2,3,3,2,4,3,4,3,3,4
696,1,21,3,3,2,4,2,2,3,4,2,2,4,5,2,3,4,4,2,4,3,4,3,4,3,4,3,2,3
698,1,23,1,2,4,1,3,3,4,1,2,2,3,2,3,3,4,1,2,3,3,1,4,3,4,3,1,3,3
701,1,25,3,4,2,4,2,3,5,4,3,3,3,4,3,3,3,3,2,4,3,2,4,3,3,4,3,4,4
702,1,35,1,3,3,4,1,4,3,4,1,3,3,4,3,3,3,4,1,3,3,3,4,3,4,3,2,3,4
704,1,25,1,3,1,4,1,3,3,4,1,3,1,5,1,3,5,5,1,5,3,1,3,4,4,3,1,4,2
705,1,21,2,3,2,2,2,1,2,4,2,2,3,3,3,4,3,3,2,2,3,2,2,4,2,2,2,3,3
706,1,37,3,3,3,4,2,2,4,4,2,2,3,4,3,2,3,4,2,3,3,4,4,3,4,2,2,2,4
707,1,30,5,4,4,2,4,3,4,2,1,4,4,4,2,5,2,3,2,2,4,4,3,4,3,3,4,3,3
708,1,20,3,3,2,3,2,1,4,4,2,2,2,4,2,3,4,3,2,2,2,3,2,3,2,3,3,3,4
710,1,23,3,3,2,2,2,2,4,4,2,1,2,2,3,3,2,1,1,2,2,3,4,3,2,3,2,2,5
711,1,44,1,2,2,2,2,2,4,3,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,3,2,2,4
712,1,19,4,3,4,2,2,2,4,4,2,3,4,3,4,4,3,2,2,3,4,4,3,3,2,3,2,5,4
713,1,22,3,2,2,1,1,4,3,4,2,1,4,5,1,2,2,2,1,3,4,4,2,2,2,2,2,3,2
715,1,25,2,2,1,2,2,2,4,4,2,2,2,4,2,4,4,3,2,4,2,4,2,4,4,4,2,4,4
716,1,23,1,3,2,3,1,3,3,4,1,2,2,4,2,4,2,4,2,2,2,4,3,3,3,3,2,4,4
718,1,21,1,3,2,4,1,3,5,4,1,3,2,5,1,4,4,4,1,3,4,1,3,2,4,3,4,1,5
719,1,22,3,3,2,3,2,2,4,4,1,2,3,4,2,2,2,5,1,3,4,4,4,4,4,2,1,3,4
721,1,20,2,3,2,3,1,2,4,4,2,2,2,2,2,4,2,4,2,4,2,5,2,4,2,4,2,3,5
722,1,23,2,4,2,2,3,2,5,4,2,3,4,3,2,3,2,5,2,2,3,4,3,2,3,3,2,4,2
724,1,19,3,5,4,2,1,5,3,3,1,3,2,4,1,4,3,1,1,4,4,4,2,5,2,4,3,4,5
725,1,23,1,3,1,4,1,2,4,4,2,3,1,4,2,3,3,4,2,3,3,3,4,4,4,4,2,3,4
148,1,21,2,3,2,4,1,1,5,3,2,2,4,5,2,1,4,3,1,2,2,4,4,4,4,3,4,4,4
149,1,22,1,3,2,4,1,2,4,3,1,3,4,2,2,4,2,3,1,2,3,4,2,4,2,4,3,3,3
152,1,38,2,4,1,2,3,3,3,1,2,5,1,2,1,2,2,5,1,4,3,4,3,3,3,2,2,2,1
158,1,23,3,2,2,3,3,3,4,5,3,3,3,3,2,3,4,5,4,3,5,4,2,2,4,3,2,4,3
159,1,20,1,3,3,5,1,2,5,5,1,2,4,2,1,3,4,5,2,3,2,4,5,4,2,4,2,4,4
160,1,27,2,2,4,2,3,1,5,3,3,2,2,4,3,4,2,1,1,1,4,1,1,4,3,4,3,3,4
161,1,32,3,4,3,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,2,1,3,1,5,3,1,5
162,1,48,5,1,3,3,5,5,5,2,5,3,5,3,5,3,5,5,5,3,5,5,3,2,3,3,3,3,3
164,1,21,1,2,3,5,1,4,5,5,1,1,5,5,1,3,5,5,1,5,5,1,5,4,5,5,5,3,5
166,1,19,1,1,5,3,1,4,5,4,1,1,4,4,1,4,4,4,1,2,5,5,2,3,2,3,3,1,5
167,1,28,3,2,2,3,1,2,4,5,1,2,2,5,2,2,3,3,2,2,2,4,2,3,2,1,3,2,5
168,1,19,1,2,4,2,1,2,4,4,1,1,4,3,2,4,4,3,2,3,4,5,2,1,3,4,2,4,5
173,1,30,2,2,4,3,1,2,3,4,1,2,4,4,2,3,3,4,2,3,4,4,4,4,4,4,3,4,4
174,1,21,1,2,3,3,2,1,4,3,1,2,2,3,1,3,3,3,1,2,3,2,2,2,2,3,2,3,3
175,1,37,1,2,3,3,1,1,1,2,1,1,3,2,1,3,4,4,1,3,4,4,3,2,3,3,3,3,5
177,1,38,1,1,1,3,1,1,2,2,1,1,1,4,1,1,3,1,1,4,2,1,1,4,1,1,1,3,2
179,1,19,1,2,2,3,1,2,4,4,1,2,3,4,2,3,2,2,4,3,4,5,2,4,2,4,2,2,5
180,1,20,1,1,3,3,1,1,5,5,1,1,4,3,2,1,3,4,1,3,4,4,4,1,4,1,2,4,5
181,1,23,1,3,2,3,2,1,4,2,2,2,3,2,2,3,3,2,1,3,1,3,2,1,2,3,2,2,4
186,1,30,1,3,3,4,1,2,4,4,1,2,4,4,1,4,2,4,1,2,2,3,3,3,3,3,2,3,4
188,1,23,2,1,4,2,2,1,5,3,2,1,3,4,1,3,2,3,2,2,4,3,2,3,2,4,2,3,5
192,1,40,2,4,3,2,2,2,4,4,1,3,2,2,2,2,2,2,1,4,3,5,3,4,3,4,3,4,3
195,1,51,2,2,2,3,2,2,5,4,2,1,2,3,3,2,4,4,2,2,2,3,3,3,3,4,2,3,4
199,1,20,2,4,3,3,1,2,5,4,2,3,3,2,2,5,3,4,3,4,2,3,2,5,4,3,2,1,3
200,1,23,1,1,1,4,1,1,5,5,1,1,2,4,1,2,3,5,1,3,1,2,4,3,4,4,1,3,5
203,1,23,3,3,3,1,3,1,2,2,2,3,3,3,3,4,3,3,4,4,4,5,3,3,4,4,3,3,3
205,1,25,2,1,1,2,1,2,5,4,1,1,1,4,2,4,5,4,4,2,3,3,4,4,3,4,2,3,3
206,1,25,2,4,3,3,1,2,4,3,2,3,3,3,2,3,3,4,4,2,2,4,2,3,3,3,2,3,3
207,1,22,2,1,2,3,2,1,5,3,2,1,5,3,3,4,3,4,2,4,5,5,2,2,4,3,2,3,5
210,1,20,2,2,3,3,1,4,3,4,1,1,2,5,4,3,3,4,3,2,3,3,3,2,3,2,2,3,3
212,1,24,2,2,4,2,2,2,4,4,2,2,3,4,2,2,4,2,2,4,4,4,2,2,2,3,3,3,4
214,1,22,3,2,2,2,1,2,3,5,2,1,4,5,4,5,4,5,4,4,4,3,4,4,4,1,4,4,3
216,1,18,4,3,4,1,2,2,5,4,2,1,2,2,3,4,2,2,4,2,2,3,1,4,2,4,3,4,5
218,1,25,1,3,2,3,1,1,4,3,1,2,2,3,2,2,3,4,1,3,2,3,3,4,2,3,1,4,4
220,1,22,2,2,2,3,1,2,5,4,1,1,5,4,2,3,4,3,2,4,4,4,3,4,3,4,3,3,5
223,1,19,2,1,4,2,2,4,3,5,3,1,3,4,2,2,3,4,2,3,3,3,4,4,3,2,3,1,4
224,1,24,3,2,3,3,1,2,5,3,2,2,5,3,3,3,3,4,3,3,4,3,3,4,3,4,3,5,5
225,1,23,3,4,4,2,1,2,3,4,3,2,5,4,3,3,5,4,3,4,4,4,4,3,1,3,3,4,2
226,1,20,1,2,4,3,2,4,5,3,1,3,4,3,1,4,4,4,1,4,4,4,3,3,4,3,4,3,5
228,1,18,1,3,2,4,1,3,5,3,2,3,3,4,2,4,4,3,2,4,4,4,3,1,3,4,2,3,5
229,1,21,2,3,4,2,2,2,5,5,1,3,2,3,3,2,4,4,2,3,3,4,4,4,3,4,3,4,1
237,1,21,1,3,1,2,2,1,2,4,1,3,2,4,1,4,1,3,1,1,1,4,2,5,2,5,1,4,4
238,1,20,3,2,4,4,4,3,4,5,3,2,3,4,5,3,4,5,3,4,5,4,4,4,3,3,3,4,3
249,1,26,2,4,2,4,2,3,5,4,2,4,4,4,2,5,4,5,2,5,4,3,4,4,4,4,3,4,4
250,1,24,3,4,3,3,3,1,5,5,2,2,4,1,2,4,3,3,3,4,3,4,4,4,3,3,2,2,4
254,1,21,1,4,3,2,2,1,5,3,1,2,4,3,1,3,5,3,1,4,4,4,1,4,2,3,5,2,5
256,1,51,2,2,2,2,2,3,2,4,2,3,2,4,2,4,2,4,3,4,2,4,4,2,3,4,2,2,2
257,1,28,1,3,1,4,1,1,1,4,1,2,3,4,2,2,2,3,1,4,3,3,4,3,3,3,2,3,1
258,1,37,3,3,2,3,4,2,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3
259,1,27,1,3,3,2,1,4,5,5,3,1,4,4,4,3,4,3,2,3,4,3,4,3,2,1,3,1,5
264,1,20,2,3,5,2,1,2,4,2,1,2,3,3,1,1,3,3,1,2,2,4,1,2,2,4,4,5,5
269,1,25,1,2,2,3,2,1,5,3,1,2,3,3,2,2,3,3,2,3,3,3,3,3,3,4,3,2,4
273,1,59,3,5,2,3,4,1,1,2,1,3,4,3,4,3,4,3,1,1,3,3,4,3,3,4,3,2,5
275,1,20,1,2,3,3,1,1,4,4,1,1,5,4,3,2,4,4,2,4,4,4,4,2,4,3,3,2,4
277,1,21,2,3,1,3,2,3,4,4,2,2,3,4,2,5,3,3,1,3,3,2,3,3,3,4,2,3,4
278,1,20,2,2,3,4,2,4,3,4,2,2,2,3,3,3,4,5,3,2,2,3,3,4,2,3,2,4,4
280,1,36,2,1,2,3,4,1,4,4,3,1,4,4,2,4,2,4,1,4,4,4,5,3,2,4,3,4,4
281,1,43,1,2,2,3,2,1,5,5,2,1,2,3,2,4,2,3,3,2,3,2,2,3,3,3,2,3,4
283,1,25,3,4,4,4,2,1,5,5,1,1,5,5,2,4,4,3,2,2,4,4,4,4,4,2,4,5,5
286,1,49,2,2,5,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
288,1,23,2,3,4,3,2,3,5,4,3,3,3,4,4,4,3,4,2,3,4,3,4,3,4,4,3,3,5
294,1,33,2,3,1,2,1,1,2,3,2,4,2,3,2,2,3,4,3,4,3,4,2,4,2,4,2,3,3
297,1,26,3,2,2,2,3,1,5,5,3,1,3,3,3,2,2,4,2,2,3,4,3,2,3,2,3,3,4
300,1,34,1,3,1,2,1,2,2,4,1,4,3,4,2,4,1,4,4,2,1,3,4,2,4,5,2,2,2
301,1,49,2,3,4,5,4,3,5,4,5,3,3,3,3,3,4,2,3,4,2,4,4,4,3,4,4,3,4
304,1,20,1,3,5,1,4,1,4,5,1,1,4,1,3,3,2,4,4,1,4,1,2,2,3,1,3,1,5
307,1,28,5,5,5,5,5,5,1,1,5,1,4,5,1,1,5,5,5,3,5,5,5,5,1,5,5,1,5
309,1,35,1,2,2,3,1,2,5,4,1,1,2,3,2,3,2,3,3,2,2,4,4,4,3,2,2,4,4
311,1,23,2,1,1,3,1,1,5,3,1,2,2,4,1,2,2,4,2,1,2,3,3,2,3,3,2,2,4
314,1,31,1,2,3,2,1,1,4,4,1,1,3,3,1,2,4,1,1,3,3,3,3,3,1,3,3,3,4
315,1,43,3,2,3,2,4,2,5,4,1,4,3,2,2,3,4,3,3,3,3,4,2,3,3,4,3,5,4
317,1,22,3,3,4,3,2,2,4,4,2,2,2,4,2,3,4,4,1,2,2,4,3,4,2,3,3,2,2
319,1,23,4,2,4,3,2,1,4,4,1,2,4,4,3,3,4,3,3,4,2,4,3,4,3,4,4,3,5
321,1,36,2,3,2,4,1,4,4,5,1,2,3,5,3,3,3,5,2,2,3,3,4,5,3,4,1,5,5
322,1,24,2,1,5,2,2,1,5,5,2,2,5,3,3,4,3,2,2,3,4,4,2,3,4,5,3,2,5
323,1,38,1,2,3,3,2,2,5,5,2,2,2,4,2,2,4,4,1,2,4,3,4,4,4,4,3,4,4
324,1,23,4,2,3,1,2,1,4,5,3,1,2,4,2,3,4,4,3,4,2,4,2,2,4,4,4,4,3
327,1,20,1,2,2,1,4,1,5,5,3,3,2,4,2,2,3,2,1,1,4,3,5,2,2,1,1,3,4
331,1,24,2,2,2,1,3,2,5,4,2,1,4,4,4,2,5,2,3,3,3,2,2,3,2,3,1,2,4
332,1,22,3,2,1,2,1,1,3,4,1,3,4,5,2,3,2,3,1,2,2,2,1,4,2,3,3,2,4
334,1,24,2,2,3,2,1,2,5,2,2,3,4,4,3,2,3,2,2,4,3,4,2,3,2,4,3,2,4
335,1,23,2,3,3,2,2,1,5,4,2,1,3,3,2,4,5,3,1,2,2,3,3,4,3,4,3,2,4
336,1,20,1,3,1,5,3,1,1,5,5,3,3,5,3,2,4,3,4,2,4,4,4,1,2,3,4,2,1
337,1,21,1,4,1,3,2,1,2,4,1,4,3,3,3,4,4,4,1,2,3,2,3,3,3,4,2,4,4
338,1,23,3,3,2,4,2,2,5,3,3,3,4,4,2,2,3,4,2,3,3,3,3,4,4,5,2,4,4
340,1,27,3,4,4,2,1,1,5,3,1,2,2,4,5,1,2,4,4,2,2,5,1,4,3,2,2,4,4
343,1,24,1,2,1,4,1,1,5,4,1,2,1,4,1,4,2,4,1,4,3,2,5,4,4,4,1,4,5
345,1,18,1,3,2,4,2,2,2,3,1,3,1,5,2,3,5,2,3,4,2,1,2,4,3,5,2,3,2
347,1,21,1,1,2,3,1,3,5,4,1,1,2,5,1,5,3,4,1,2,2,3,3,4,2,2,2,4,5
349,1,29,2,4,3,4,2,2,2,5,1,3,5,5,2,5,4,2,1,4,3,4,4,2,2,3,2,2,5
351,1,48,1,2,1,4,1,1,1,5,1,3,2,4,2,2,2,3,1,2,1,3,3,4,3,3,1,4,4
352,1,30,2,3,3,3,1,3,2,4,1,2,4,4,1,5,4,5,3,3,3,4,4,4,4,4,3,4,4
353,1,26,2,2,2,3,2,1,4,4,2,1,4,4,3,3,5,4,2,3,4,4,4,3,2,4,2,1,3
354,1,47,1,4,3,4,2,1,5,5,2,4,2,4,3,3,2,2,3,3,2,4,2,4,3,4,2,2,4
356,1,19,1,3,2,4,1,2,4,3,1,2,4,4,1,3,4,2,1,2,3,3,4,3,3,4,3,3,4
357,1,20,3,4,4,2,3,2,5,1,1,2,3,4,4,2,5,5,2,3,3,4,4,5,2,5,3,4,4
366,1,25,2,3,5,4,1,2,4,3,2,2,4,3,3,4,4,4,3,4,4,3,3,2,3,4,2,4,4
367,1,46,1,3,3,1,1,1,5,5,1,3,2,4,1,3,2,4,1,2,4,4,4,4,4,3,2,2,5
369,1,21,2,1,2,5,3,2,4,4,2,1,3,5,2,4,4,4,2,3,4,4,4,4,4,4,2,4,4
372,1,21,3,2,1,4,1,2,4,4,3,1,3,4,2,4,5,3,3,3,3,3,3,3,2,2,2,3,4
373,1,45,2,4,2,4,2,3,3,4,2,3,3,4,2,3,4,4,3,1,3,3,4,3,4,4,3,4,3
382,1,21,1,3,1,4,1,3,4,5,2,1,3,4,2,5,4,5,3,3,2,2,4,4,5,3,2,5,4
386,1,61,4,4,2,3,3,4,3,5,3,4,1,4,2,4,5,5,4,3,3,3,3,4,4,4,2,4,3
388,1,21,2,1,1,5,1,2,4,5,2,1,4,4,2,4,3,5,2,4,4,4,3,3,4,1,2,3,4
393,1,32,3,4,2,2,3,2,3,4,3,3,2,3,3,3,4,3,3,2,2,3,2,5,3,4,2,3,2
394,1,22,1,2,2,3,1,1,5,5,1,1,1,5,1,2,3,4,1,3,3,2,4,3,4,3,1,3,5
396,1,22,2,2,3,2,1,1,3,4,3,2,3,5,4,3,3,4,4,4,3,3,4,4,3,2,2,4,3
397,1,25,1,5,1,4,1,3,3,4,1,3,3,2,1,4,2,3,1,3,2,4,3,3,3,4,1,3,2
402,1,27,2,2,2,4,1,1,3,4,2,1,2,4,2,4,3,4,2,4,2,2,5,2,4,4,2,4,4
403,1,19,2,1,3,1,1,1,4,5,3,2,4,3,2,2,4,2,4,2,4,4,2,4,2,4,4,2,4
405,1,24,2,3,4,2,2,2,4,3,2,1,2,4,2,3,2,2,2,4,2,3,2,4,3,4,1,4,4
407,1,30,2,3,2,4,2,3,2,4,2,3,4,3,3,4,2,4,2,4,3,4,3,4,3,4,2,2,4
523,1,20,1,3,4,4,2,5,4,2,5,2,3,4,2,3,2,4,2,2,2,3,3,3,4,3,2,4,1
525,1,29,1,3,1,4,2,2,5,4,1,3,1,5,1,3,2,4,1,4,1,3,4,3,4,4,1,1,5
526,1,20,1,1,2,4,1,2,4,4,1,1,5,4,2,2,3,5,3,2,3,3,4,2,4,1,2,3,5
533,1,23,2,2,2,3,1,2,1,3,1,1,2,4,1,2,2,3,1,2,2,3,5,4,2,3,2,3,4
537,1,36,1,3,3,4,1,2,4,5,2,3,3,4,3,2,4,4,2,1,4,3,4,4,2,4,1,5,5
538,1,19,1,4,1,3,1,2,1,4,2,3,3,4,1,3,3,5,5,4,4,3,4,4,4,4,2,3,2
540,1,26,1,3,4,5,1,1,2,5,1,3,4,4,2,4,2,3,2,4,4,5,5,4,2,4,4,3,5
547,1,21,2,1,3,2,1,1,4,4,1,2,3,4,1,3,2,4,1,2,4,3,2,3,4,3,2,2,4
561,1,24,3,2,4,4,2,1,4,4,3,2,2,5,3,4,3,5,2,4,2,4,3,2,4,3,2,4,2
562,1,25,2,2,4,4,2,1,4,4,2,3,5,2,3,3,4,3,2,3,4,5,4,4,4,5,3,5,4
565,1,30,2,1,1,3,3,1,4,1,1,1,3,1,3,1,3,3,1,1,1,2,3,1,1,1,1,1,5
566,1,22,3,5,3,1,1,3,5,4,1,2,5,4,3,5,5,1,2,1,3,5,1,3,3,3,4,4,5
568,1,27,1,1,3,4,1,1,5,4,1,1,3,3,3,3,4,5,1,4,3,3,4,2,3,3,2,4,3
573,1,25,2,2,2,3,2,3,3,3,2,2,2,3,2,2,3,2,2,3,1,3,2,3,2,4,1,2,3
574,1,18,3,5,2,3,5,1,5,2,5,4,4,2,5,4,5,4,4,3,5,2,1,4,4,4,5,3,5
582,1,31,3,4,1,1,5,3,2,5,5,4,2,5,4,5,2,4,1,5,1,2,3,4,4,4,2,4,2
588,1,21,5,4,2,3,4,2,3,4,5,4,3,3,4,3,3,3,3,3,3,5,2,2,3,4,2,3,3
591,1,23,3,3,3,2,2,2,4,2,2,2,2,2,2,3,2,2,1,5,3,3,2,4,4,4,2,1,4
595,1,47,1,2,2,3,2,1,1,3,1,3,3,3,2,2,3,3,2,1,3,4,2,3,3,3,3,2,4
601,1,20,3,5,2,4,3,1,4,5,5,4,5,5,2,3,3,3,3,4,4,5,2,4,3,4,2,3,4
602,1,27,2,3,3,2,1,4,5,3,1,1,4,4,2,3,4,3,2,3,4,3,3,3,2,3,3,2,4
605,1,32,1,2,3,2,1,1,4,2,2,3,3,4,2,1,3,3,3,4,3,4,3,3,2,4,3,2,4
606,1,32,1,3,4,4,2,2,4,2,3,3,2,3,2,4,2,3,2,1,4,4,3,4,3,5,2,3,4
607,1,38,1,2,1,1,1,2,4,1,1,1,3,1,1,1,3,2,2,3,2,2,1,2,2,3,2,2,4
610,1,43,2,3,2,2,3,2,4,3,3,3,4,1,3,3,3,1,3,3,3,5,1,3,2,3,2,4,3
620,1,19,3,4,3,3,2,1,4,3,2,4,3,3,3,3,2,3,1,3,2,3,2,5,2,4,2,3,2
621,1,30,2,3,2,3,5,1,4,3,2,3,3,4,2,4,4,3,1,3,3,4,3,4,2,4,2,4,1
622,1,22,1,1,3,3,2,2,4,4,1,3,4,4,3,3,2,4,1,3,3,4,3,3,3,4,2,4,4
623,1,21,3,1,1,2,1,1,5,4,1,1,4,4,2,3,5,4,4,3,3,3,3,2,4,2,2,3,5
624,1,26,3,3,4,2,2,1,4,2,3,3,3,3,2,4,3,3,4,4,4,4,1,4,4,4,3,2,4
625,1,24,2,4,2,3,2,1,4,3,2,2,2,3,2,4,3,3,2,2,3,4,3,4,2,4,2,2,4
628,1,25,3,1,3,3,1,4,3,4,2,1,4,2,2,4,3,3,3,2,2,3,3,4,2,2,2,3,3
632,1,27,3,3,2,2,2,1,5,2,2,3,4,1,4,1,3,3,1,1,3,4,2,3,3,4,3,4,4
636,1,37,1,1,1,1,1,1,1,5,3,1,1,5,2,1,5,5,3,2,1,3,5,3,2,4,1,5,5
641,1,19,3,2,2,4,3,3,4,4,2,2,2,4,4,2,4,4,3,3,2,2,2,4,4,4,2,3,3
640,1,27,3,4,4,2,2,1,4,4,1,4,4,3,2,5,2,4,2,3,4,4,3,5,3,4,4,4,4
642,1,61,2,3,4,3,2,1,2,3,2,3,3,3,2,3,3,3,3,4,3,3,3,3,3,2,3,4,4
648,1,21,2,3,1,2,2,2,4,4,2,2,2,3,2,4,4,4,1,2,1,2,3,4,2,4,2,4,2
651,1,28,1,3,3,4,1,3,5,4,2,3,4,4,3,3,3,4,2,4,3,4,5,3,3,4,1,4,4
653,1,18,2,3,2,4,2,1,3,3,4,3,1,4,3,4,3,4,5,4,3,2,4,3,2,4,2,3,4
662,1,23,2,3,2,3,3,4,3,3,4,2,3,3,2,3,4,4,2,3,3,3,4,3,3,2,3,3,4
