"NO","gender","age","FD1","FD5","FD9","FD13","FD17","SD2","SD6","SD10","SD14","SD18","SD22","SD24","UP3","UP7","UP11","UP15","UP19","UP20","UP25","UP27","FW4","FW8","FW12","FW16","FW21","FW23","FW26"
6,2,22,3,2,1,2,3,4,2,1,4,3,4,4,4,5,5,3,4,4,3,4,2,3,4,2,3,3,4
6,2,26,2,2,2,3,2,3,3,3,3,2,3,5,2,5,5,3,5,3,2,5,4,5,5,4,4,3,5
6,2,20,1,1,1,3,2,4,2,2,3,2,5,3,3,4,4,5,3,4,2,4,2,3,3,4,2,3,2
6,2,24,1,1,1,1,1,5,1,4,5,1,5,4,2,5,4,1,5,3,2,5,3,5,2,4,1,1,1
6,2,25,2,1,1,3,1,3,2,2,4,3,4,5,4,5,4,4,4,4,2,5,4,4,4,4,1,4,4
6,2,27,3,1,2,2,2,2,1,1,3,2,4,4,3,2,1,4,3,2,2,3,4,4,4,5,3,4,3
6,2,22,2,1,1,2,2,3,1,3,2,5,3,1,4,3,3,1,2,3,2,4,3,3,3,4,2,4,3
6,2,19,2,1,1,1,1,2,1,2,5,3,1,5,3,5,2,5,4,4,2,5,4,3,3,4,4,3,2
6,2,39,2,3,2,2,2,3,4,3,3,3,2,4,4,3,3,3,3,4,3,4,2,4,4,4,4,4,3
6,2,18,3,2,1,3,4,2,3,2,5,5,3,4,1,4,4,3,3,4,2,4,4,5,4,4,2,4,4
6,2,19,1,2,1,5,3,4,2,3,4,3,3,3,5,5,3,3,5,3,3,5,3,5,4,3,5,3,3
6,2,39,1,2,1,2,2,2,1,2,2,2,2,2,2,5,4,4,2,4,4,5,1,3,2,4,1,2,1
6,2,24,1,1,1,2,3,3,2,3,1,4,4,4,4,4,4,4,4,4,4,5,2,2,3,4,3,4,2
6,2,25,2,3,2,2,2,3,1,3,3,2,4,3,4,3,2,4,2,4,2,4,2,4,3,4,2,3,2
6,2,30,4,3,3,4,5,4,1,4,1,3,4,4,2,1,2,2,1,2,2,1,2,3,3,2,1,2,5
6,2,21,1,1,1,2,3,3,2,3,3,4,4,3,3,2,1,2,2,2,1,3,2,5,4,2,1,4,4
6,2,45,1,2,1,4,2,3,1,3,5,4,3,4,3,5,3,3,4,3,3,5,4,3,5,4,3,3,4
6,2,24,1,1,1,2,1,3,3,2,4,3,2,4,2,4,2,3,2,3,2,4,4,3,3,4,3,3,3
6,2,20,2,1,1,1,2,4,5,1,5,5,4,4,5,5,5,2,2,4,4,5,2,5,4,3,2,1,4
6,2,19,2,2,4,5,3,3,1,1,4,2,4,2,5,4,5,5,4,5,2,4,2,5,4,4,3,3,3
6,2,20,2,2,2,2,3,5,1,3,2,3,2,2,4,5,2,4,3,4,2,5,3,4,3,4,3,2,4
6,2,22,2,1,1,3,1,3,2,1,1,5,5,5,2,5,5,2,3,5,4,5,4,5,4,5,5,3,3
6,2,19,5,5,1,5,5,2,1,1,5,3,5,4,3,5,1,5,1,3,1,5,5,5,3,5,1,3,3
6,2,34,1,3,1,1,3,2,2,1,2,5,2,1,5,4,5,4,5,5,3,3,3,5,4,3,5,3,5
6,2,19,1,1,1,1,2,3,1,1,2,3,4,4,3,5,3,4,3,4,2,5,2,3,2,4,3,3,2
6,2,25,2,1,1,1,1,3,3,1,4,1,2,2,4,2,5,2,4,4,2,3,3,4,4,2,2,1,2
6,2,30,1,1,1,1,2,3,5,3,3,4,4,4,2,5,4,3,5,3,3,5,2,4,3,4,4,4,3
6,2,22,1,1,1,1,2,2,2,1,5,4,3,3,4,5,2,4,4,5,2,3,3,5,4,3,4,1,3
6,2,20,2,1,1,2,3,2,1,1,3,4,4,3,3,5,4,4,3,3,4,5,2,3,3,3,4,1,4
6,2,26,2,2,1,2,2,3,3,3,4,2,3,4,2,2,2,2,2,2,2,4,4,5,5,3,4,3,3
6,2,51,1,3,1,3,1,3,2,1,3,2,3,1,2,3,1,3,3,3,1,3,2,2,3,3,3,1,3
6,2,33,1,1,1,1,2,3,4,2,2,3,3,4,4,5,4,4,4,2,4,5,4,4,4,4,4,4,4
6,2,25,3,2,5,3,3,1,1,1,3,2,3,2,3,2,2,3,3,4,2,4,2,5,4,5,1,4,4
6,2,39,1,1,1,1,4,2,1,1,3,2,2,3,1,5,2,3,2,2,3,5,4,1,4,4,5,4,4
6,2,23,1,1,5,1,1,5,5,2,3,4,3,4,3,3,4,2,1,5,3,2,2,3,2,2,2,2,1
6,2,22,1,1,1,2,1,3,4,2,4,4,3,4,4,2,4,3,1,5,3,3,3,4,5,3,3,2,4
6,2,47,1,1,1,2,3,3,2,3,4,3,3,4,3,2,2,4,2,2,2,4,2,5,2,2,4,4,2
6,2,35,1,5,5,5,2,2,1,2,1,5,2,3,1,3,4,3,2,1,1,5,1,3,1,1,1,1,1
6,2,27,1,1,1,1,1,2,5,2,1,5,4,4,2,4,3,2,3,3,3,4,4,4,3,3,4,3,1
6,2,45,2,2,3,4,1,3,1,1,4,2,4,4,4,5,4,2,4,4,2,4,2,2,1,2,1,2,2
6,2,33,1,4,1,2,1,2,2,2,3,2,2,4,2,3,2,3,3,3,2,4,2,4,3,4,4,3,2
6,2,48,1,1,1,1,3,2,1,2,3,3,4,4,2,3,2,3,2,2,1,5,4,4,4,4,5,4,4
6,2,31,2,2,1,1,2,3,1,2,3,2,3,4,2,4,4,4,3,2,2,4,3,3,3,4,3,2,2
6,2,18,1,1,1,2,2,1,2,1,3,5,5,4,3,2,4,2,2,3,2,5,4,4,5,3,4,3,4
6,2,30,1,1,1,2,1,4,3,4,5,3,4,4,4,3,4,4,4,4,3,4,3,2,3,1,1,2,2
6,2,40,1,1,2,2,1,3,3,3,3,2,3,3,3,3,4,4,3,4,2,4,2,5,4,4,4,3,4
6,2,21,1,5,4,1,3,1,1,1,5,3,4,3,2,5,2,4,3,2,2,1,3,5,5,3,5,3,1
6,2,23,2,3,3,3,1,2,2,2,4,3,4,4,2,4,2,2,2,3,2,5,3,4,2,2,2,3,2
6,2,36,2,4,1,2,1,3,4,2,4,4,4,4,2,5,2,3,3,4,3,4,2,3,2,4,4,2,2
6,2,41,1,1,1,2,1,2,1,2,3,3,2,3,2,5,3,3,3,4,3,5,4,3,3,3,4,3,1
6,2,23,3,1,1,2,1,3,4,2,3,4,3,4,4,3,3,2,3,2,2,4,4,5,4,5,5,5,4
6,2,42,2,2,1,2,2,4,1,2,4,3,4,4,3,5,3,2,3,4,2,4,2,4,4,4,2,2,3
6,2,22,1,1,1,2,4,3,2,3,4,4,1,3,3,5,3,4,2,4,2,5,2,4,4,5,3,4,4
6,2,25,3,2,2,2,3,4,1,2,3,4,4,4,2,2,3,4,2,3,2,3,4,5,4,5,4,5,4
6,2,18,3,1,4,2,5,2,1,2,3,4,2,4,4,2,2,2,2,4,2,2,4,5,5,5,3,4,5
6,2,39,3,1,4,2,3,4,1,4,5,4,5,5,4,3,3,2,4,4,3,5,2,5,2,4,2,2,4
6,2,41,1,1,1,2,1,4,1,1,4,4,4,2,3,4,3,3,3,2,1,5,3,3,4,5,4,4,4
6,2,25,3,2,1,3,1,4,1,1,4,3,4,5,2,5,4,4,2,4,3,4,2,4,3,4,3,4,4
6,2,42,2,3,5,3,3,2,5,2,2,4,4,5,3,2,3,3,3,2,1,5,4,4,4,3,5,2,4
6,2,35,1,2,1,2,1,3,2,3,4,2,3,4,2,4,2,3,2,3,2,4,3,4,3,2,4,2,4
6,2,22,1,2,1,1,1,3,1,1,4,5,4,3,2,5,3,4,4,5,2,5,5,4,5,3,4,1,2
6,2,39,2,1,1,1,1,4,2,4,5,3,4,4,3,2,1,2,1,3,1,3,2,3,4,2,3,2,3
6,2,24,2,1,2,1,1,2,5,1,5,5,5,1,4,5,3,2,5,5,3,5,3,5,5,5,5,4,5
6,2,29,3,3,3,3,3,4,2,4,4,4,2,3,2,2,3,4,2,3,2,2,1,4,3,3,2,2,3
6,2,40,3,1,1,3,4,3,2,2,3,2,3,4,2,4,1,3,4,2,1,5,1,4,4,2,2,2,4
6,2,26,1,1,1,3,2,4,1,2,4,3,3,2,5,4,4,3,4,4,4,5,5,4,5,3,4,4,4
6,2,24,1,1,1,3,1,4,3,3,3,4,2,3,2,5,3,3,3,3,4,5,3,5,5,4,4,4,5
6,2,21,1,1,1,1,2,3,1,1,4,5,4,4,1,3,2,3,4,4,3,4,2,4,3,4,4,2,3
6,2,22,1,2,1,2,3,2,3,3,3,3,4,3,2,2,2,3,4,2,1,3,3,4,4,2,3,2,2
6,2,58,3,1,1,2,4,4,3,2,1,4,3,4,2,4,2,2,2,4,2,4,4,3,2,3,2,3,1
6,2,58,2,2,1,1,1,2,3,4,2,3,4,4,4,5,3,2,2,3,1,4,4,5,4,2,2,4,3
6,2,28,1,2,2,3,2,3,1,1,4,3,4,4,4,5,4,3,3,4,2,5,3,4,4,4,4,4,4
6,2,21,1,1,1,1,1,2,2,2,4,3,3,3,4,4,2,2,3,3,2,5,3,5,3,5,3,4,2
6,2,20,3,2,4,4,2,4,1,4,2,4,3,2,2,4,3,2,2,4,2,4,4,4,3,3,2,4,4
6,2,21,1,1,1,5,1,2,4,1,5,2,3,4,4,5,5,3,4,1,5,5,3,4,4,4,4,4,5
6,2,24,1,4,4,4,3,3,2,2,3,4,3,2,1,5,3,3,4,4,2,5,2,4,5,3,5,3,4
6,2,19,1,1,1,3,1,2,5,1,3,3,3,4,2,5,2,2,2,3,3,5,1,1,4,1,2,1,1
6,2,21,1,1,1,1,1,1,3,1,1,5,1,1,1,2,1,1,1,1,1,3,5,5,3,5,5,3,3
6,2,23,3,1,1,3,2,3,1,2,2,2,2,3,3,3,1,2,2,3,2,2,3,3,3,2,2,2,2
6,2,21,1,1,1,1,2,4,1,4,4,4,4,4,3,5,4,3,3,5,3,4,4,5,3,5,4,4,3
6,2,37,2,2,2,2,1,4,5,2,2,5,3,3,5,4,3,2,2,4,3,3,2,5,2,5,1,5,2
6,2,29,2,2,1,3,3,3,5,3,4,5,4,4,4,3,3,1,3,2,3,2,1,2,5,2,1,2,4
6,2,25,2,1,2,2,2,2,1,1,3,1,3,4,2,3,2,3,2,2,2,2,3,2,3,2,3,2,3
6,2,22,1,2,1,4,2,3,2,2,3,3,2,3,3,3,2,2,2,2,2,4,4,5,5,2,3,2,4
6,2,36,1,2,1,1,1,1,2,1,4,4,4,4,4,3,4,3,4,4,4,3,3,4,4,2,4,1,2
6,2,23,1,1,1,2,1,2,2,1,3,4,4,3,4,2,3,2,3,2,1,3,3,4,2,3,3,4,3
6,2,17,1,1,1,1,1,1,3,1,3,1,3,4,2,5,1,2,4,3,2,5,2,5,2,4,3,1,4
6,2,36,2,2,2,1,1,2,2,2,2,1,4,4,2,5,2,2,4,2,2,4,4,2,2,2,3,2,2
6,2,22,2,1,2,2,3,3,2,3,5,3,4,5,1,4,2,5,3,2,2,5,2,5,3,5,4,4,3
6,2,17,4,3,1,2,3,4,5,3,4,4,4,3,5,5,4,4,5,5,4,5,4,4,5,5,3,4,5
6,2,39,2,2,1,2,1,3,1,3,2,3,3,3,3,5,2,3,4,4,3,4,3,4,2,4,2,2,3
6,2,23,1,1,1,1,1,1,3,1,3,3,3,4,2,2,3,3,2,4,3,4,3,3,3,2,2,2,2
6,2,26,4,4,1,2,2,4,4,2,2,2,2,2,4,3,3,3,2,2,2,2,4,2,4,3,2,2,3
6,2,28,3,1,1,1,1,1,2,1,2,1,1,2,3,4,2,2,4,2,1,1,4,4,5,5,4,4,5
6,2,60,1,2,1,2,1,4,1,3,3,3,4,4,3,5,2,2,4,3,2,5,4,4,4,4,3,4,4
6,2,21,4,2,1,2,4,5,1,4,5,2,4,4,4,5,4,4,4,4,4,4,2,5,1,4,2,2,2
6,2,25,1,4,5,1,4,1,2,1,5,5,5,2,5,5,1,1,4,5,4,1,3,3,5,5,1,4,4
6,2,27,1,1,1,1,1,3,4,3,4,3,4,4,1,2,1,2,1,2,1,3,4,5,4,3,4,4,3
6,2,27,1,1,2,2,1,3,3,3,4,4,4,4,3,4,2,3,3,4,2,2,4,4,3,4,3,3,2
6,2,21,1,1,1,4,1,5,4,1,5,4,4,3,3,5,4,3,4,2,3,5,3,5,5,4,4,5,3
6,2,20,1,1,2,2,3,4,1,3,5,2,4,4,3,2,4,3,4,4,1,5,2,4,4,4,2,5,3
6,2,42,2,1,2,2,1,5,2,3,4,5,4,4,2,5,4,2,2,5,2,5,2,2,1,5,2,4,1
6,2,22,1,1,1,1,1,3,4,3,3,3,4,1,5,4,3,2,4,4,4,5,4,4,4,3,4,3,3
6,2,57,1,1,1,1,1,3,3,3,4,3,2,4,2,5,2,2,2,3,3,5,3,5,4,5,3,4,4
6,2,24,1,1,1,2,1,2,3,1,5,3,2,3,1,5,3,4,3,2,2,5,2,4,4,2,2,2,3
6,2,39,1,1,1,1,2,3,2,4,4,4,4,5,3,4,3,3,2,3,2,2,2,3,4,3,3,4,3
6,2,19,1,1,1,1,1,1,1,1,4,2,1,3,3,4,5,2,4,1,1,5,3,3,3,2,3,2,2
6,2,25,1,1,1,1,1,3,1,2,3,2,3,3,4,4,3,2,3,3,3,4,4,3,3,4,3,3,3
6,2,23,3,2,2,2,1,3,2,2,2,4,3,5,2,5,2,3,1,2,2,3,2,4,4,5,3,3,4
6,2,41,4,3,4,2,5,3,5,4,2,5,4,2,2,1,5,2,2,4,3,2,2,2,3,2,2,2,3
6,2,24,1,2,2,3,3,2,2,2,4,2,4,2,3,5,2,3,2,2,2,5,3,5,3,3,1,5,1
6,2,26,1,3,1,2,2,3,1,3,2,3,3,3,3,3,2,2,3,3,3,3,1,4,3,4,3,3,2
6,2,19,1,2,1,1,1,3,1,1,2,2,2,2,2,4,4,4,4,3,1,5,3,3,3,2,3,2,2
6,2,21,2,1,2,4,3,2,3,1,4,4,4,2,4,5,5,4,5,4,3,4,2,4,5,4,1,3,4
6,2,18,2,1,1,2,2,3,3,2,3,2,4,2,2,2,2,2,2,3,2,4,3,4,3,4,3,4,3
6,2,23,1,1,1,3,1,3,1,2,4,3,4,2,2,2,3,3,3,3,1,4,1,4,2,2,4,1,3
6,2,27,2,1,1,2,2,2,1,2,2,1,2,3,5,2,3,2,2,3,3,4,1,2,3,2,2,2,5
6,2,19,2,1,2,3,1,4,1,1,3,5,5,5,1,5,1,5,5,3,4,5,3,5,5,2,1,4,5
6,2,21,1,4,4,4,3,2,1,2,3,4,2,4,1,5,4,3,4,4,3,4,3,4,4,4,3,3,2
6,2,18,4,4,1,3,1,3,5,1,4,3,5,5,3,2,3,4,2,4,2,4,3,3,2,4,4,3,1
6,2,19,1,1,1,1,2,4,5,3,3,4,4,1,5,1,3,1,1,3,1,1,4,3,1,1,3,1,1
6,2,23,2,1,2,3,4,2,1,1,3,3,3,3,2,4,3,3,2,3,3,4,4,3,4,5,3,3,3
6,2,20,1,1,1,1,1,5,2,2,4,3,3,4,1,5,2,2,3,2,1,5,4,5,3,4,4,1,5
6,2,25,1,1,1,2,1,4,3,3,3,5,3,3,3,3,3,2,2,3,2,3,1,5,4,5,1,5,1
6,2,29,4,1,1,2,1,3,4,4,4,3,4,3,5,4,2,3,4,4,2,5,4,4,4,3,4,2,4
6,2,22,1,1,1,1,1,1,3,1,2,4,4,1,3,5,3,3,3,3,2,5,2,4,3,3,3,4,4
6,2,24,1,1,1,2,2,4,2,4,4,3,4,4,3,3,2,4,3,2,2,5,2,5,4,2,2,2,4
6,2,23,1,1,1,1,1,3,4,1,3,3,2,2,3,5,2,2,4,3,3,5,1,3,5,3,4,2,4
6,2,24,1,1,1,2,1,1,1,1,5,5,3,1,3,5,4,2,5,5,2,5,4,5,4,5,4,4,4
6,2,50,2,2,2,2,2,4,2,3,3,3,3,4,5,4,3,3,2,2,2,3,2,4,4,4,2,3,3
6,2,24,2,1,2,2,2,2,2,2,4,3,2,3,2,3,2,3,3,3,2,3,3,3,3,4,4,4,3
6,2,49,1,1,1,2,4,3,3,2,3,2,3,1,2,5,3,4,3,4,2,2,4,5,4,4,4,4,4
6,2,25,3,2,3,4,3,3,1,2,3,4,4,4,2,4,2,2,3,4,2,4,2,4,4,4,2,2,4
6,2,24,3,5,4,5,1,5,5,4,4,5,3,4,3,1,4,1,1,1,1,1,5,4,2,4,1,4,2
6,2,38,3,2,2,2,2,3,1,1,2,3,3,4,2,5,2,3,3,4,2,5,3,4,2,4,3,3,4
6,2,24,1,1,2,3,2,2,1,4,3,4,4,4,4,5,3,2,4,4,2,4,3,4,3,1,2,2,2
6,2,72,4,2,2,2,1,4,1,1,4,2,4,3,3,5,2,3,2,4,1,4,4,4,4,4,5,4,5
6,2,22,1,2,1,2,1,3,1,2,5,5,3,4,5,4,4,5,4,3,4,4,4,5,4,4,4,5,3
6,2,34,1,2,1,3,2,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,2,4,4,4,3,3,3
6,2,29,1,1,1,2,3,4,2,3,4,2,4,2,5,5,2,3,4,5,2,5,2,4,3,5,1,3,5
6,2,22,2,2,1,2,3,4,1,1,2,2,4,4,4,3,3,3,2,4,2,3,2,3,4,4,3,3,3
6,2,23,2,3,2,2,2,2,3,3,3,3,3,3,2,4,3,3,3,4,3,3,4,2,2,5,3,3,2
6,2,22,3,1,2,2,1,5,2,2,5,2,5,4,3,5,4,3,2,4,2,4,3,4,5,5,3,4,3
6,2,21,1,1,1,2,1,2,1,1,3,3,3,3,3,2,3,2,2,2,2,4,1,2,2,1,2,2,2
6,2,19,1,1,1,1,1,1,2,1,3,4,3,4,4,3,3,3,3,3,3,3,4,4,3,3,2,2,4
6,2,29,3,2,2,2,2,4,1,3,3,4,5,4,2,5,3,4,3,3,2,4,4,4,4,4,4,4,4
6,2,25,2,1,2,2,3,2,1,1,4,2,4,2,3,2,3,2,2,3,3,1,3,4,3,3,3,1,2
6,2,53,3,3,2,2,4,4,2,3,3,5,3,3,2,3,2,2,3,3,2,2,2,4,4,3,4,4,3
6,2,22,1,1,1,1,1,4,3,3,3,5,3,4,1,5,1,1,3,3,3,5,2,5,5,5,1,1,2
6,2,38,3,1,2,2,2,3,2,2,3,3,4,2,2,3,2,2,2,3,2,2,4,4,2,4,4,3,2
6,2,22,1,1,1,1,2,4,1,3,3,3,4,4,3,3,2,2,2,2,2,3,4,3,4,3,3,3,2
6,2,24,1,4,1,2,1,3,2,2,4,1,5,5,3,5,3,3,3,4,3,5,3,3,1,3,1,2,2
6,2,40,1,1,1,1,1,3,3,3,3,1,2,3,1,3,1,3,1,3,2,2,1,3,3,3,3,3,3
6,2,24,2,2,1,4,1,3,2,2,3,4,4,4,3,1,1,3,3,2,2,3,1,4,4,3,3,4,1
6,2,49,3,1,1,3,1,4,2,3,4,4,4,3,3,5,4,4,4,3,2,4,2,3,4,2,1,2,2
6,2,29,1,1,2,1,3,1,1,1,1,2,4,4,1,3,3,3,2,4,3,4,1,3,2,4,4,3,4
6,2,19,1,1,1,3,1,4,3,3,4,2,5,3,3,5,1,3,1,2,1,5,3,5,4,4,3,4,3
6,2,27,1,2,1,3,1,2,1,3,3,1,3,4,2,3,2,4,2,2,2,4,4,4,4,4,4,3,2
6,2,18,1,1,1,1,2,3,3,2,4,4,4,4,3,4,2,4,2,4,2,4,4,4,4,4,4,2,5
6,2,21,3,2,3,3,3,3,1,1,1,3,1,2,2,5,3,5,2,4,2,4,4,4,4,5,2,3,4
6,2,17,1,1,1,1,1,2,2,1,5,4,4,1,2,5,2,3,3,3,1,5,4,4,4,4,4,4,5
6,2,19,1,2,3,5,3,2,5,1,3,3,2,4,3,3,4,3,4,3,4,5,3,3,4,5,3,1,4
6,2,37,1,2,1,1,2,4,2,1,2,2,4,4,1,2,2,2,2,3,2,4,2,3,3,3,2,2,3
6,2,22,2,2,1,4,3,3,3,2,4,2,4,5,2,1,2,4,3,4,2,4,3,2,1,2,4,3,4
6,2,20,1,1,1,1,1,3,1,3,4,4,1,2,1,2,1,1,1,2,1,5,3,5,4,5,2,1,1
6,2,20,2,1,3,1,3,1,2,2,2,4,4,4,1,4,2,2,2,4,2,5,3,2,4,2,4,2,4
6,2,28,1,1,1,1,4,1,2,1,4,4,5,5,1,5,2,4,2,4,1,5,2,4,4,4,3,4,2
6,2,19,1,1,1,4,2,3,3,3,4,3,4,4,4,4,3,4,3,3,2,4,4,4,5,3,4,4,3
6,2,19,1,1,1,1,1,2,1,3,3,2,3,1,1,3,1,3,3,4,2,5,2,4,5,4,2,3,5
6,2,20,1,1,1,1,1,3,1,4,4,5,4,1,1,4,2,2,2,4,1,4,2,3,1,3,4,3,2
6,2,20,3,3,2,3,3,3,2,4,3,4,4,4,2,4,2,3,2,3,2,3,4,4,3,4,2,3,4
6,2,21,2,1,1,2,1,3,2,1,4,3,4,4,2,3,5,3,4,5,5,5,3,5,5,4,2,2,3
6,2,20,2,1,1,2,1,3,2,3,4,2,3,4,4,3,2,3,2,3,2,2,3,4,3,4,2,2,2
6,2,19,1,1,1,3,1,1,1,1,4,1,3,2,1,5,3,3,3,1,1,5,3,5,5,5,3,3,2
6,2,22,2,1,1,2,1,3,1,1,3,2,4,5,2,3,3,2,3,3,3,2,3,4,5,4,2,4,3
6,2,19,1,1,1,1,1,2,3,2,4,3,3,2,3,4,5,5,5,2,4,5,2,5,5,3,3,3,4
6,2,24,2,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,2,4,4,3,4,3,3,1,3
6,2,23,1,4,1,2,2,4,1,1,1,4,3,2,1,5,3,3,2,4,2,5,1,4,2,2,2,2,5
6,2,23,3,3,3,3,3,3,1,2,4,4,4,4,3,2,4,1,4,4,2,3,1,5,1,1,1,2,4
