"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","FD","SD","UP","FW"
5.11,1,20,1,3,3,3,1,2,3,4,1,3,3,2,1,3,4,3,1,2,2,4,4,4,4,4,3,4,4,1,3,3.25,3.42857142857143
5.11,2,18,3,4,2,2,2,1,5,5,2,2,4,4,2,3,3,2,2,4,4,3,1,5,2,4,3,5,4,2.2,3.28571428571429,3.5,3
5.11,2,18,1,4,4,4,1,2,5,4,1,3,5,2,1,3,5,4,1,3,4,4,4,2,4,4,4,3,4,1,3,4.375,3.57142857142857
5.11,1,20,1,5,4,3,1,4,4,5,2,4,2,5,1,4,3,3,1,5,2,4,4,4,3,4,4,5,4,1.2,4.28571428571429,3.375,4
5.11,1,20,4,3,4,3,3,3,4,5,2,3,5,3,2,3,2,3,1,3,4,3,2,4,3,3,4,4,4,2.4,3.14285714285714,3.75,3.28571428571429
5.11,2,20,2,3,2,4,2,1,4,3,1,3,4,4,1,3,4,4,3,2,4,4,3,3,3,4,2,2,5,1.8,2.71428571428571,3.625,3.28571428571429
5.11,2,19,2,2,5,2,1,4,3,5,2,4,3,4,2,3,2,4,3,3,2,2,4,4,4,5,2,4,3,2,3.57142857142857,2.75,3.85714285714286
5.11,1,21,2,3,2,3,1,2,4,4,2,3,2,3,1,3,2,3,2,5,3,3,3,4,3,2,2,3,3,1.6,3.14285714285714,2.625,3.14285714285714
5.11,2,19,1,4,1,4,1,3,2,4,1,4,2,4,1,4,2,5,1,3,1,1,5,5,5,4,2,3,4,1,3.85714285714286,1.875,4.28571428571429
5.11,2,18,3,1,2,2,3,4,2,2,3,1,2,4,2,4,2,2,1,3,2,4,2,4,2,3,4,3,4,2.4,2.85714285714286,2.75,2.42857142857143
5.11,2,20,1,4,4,4,2,2,4,2,1,2,4,2,4,2,4,1,2,1,2,4,2,3,2,2,4,4,4,2,2.28571428571429,3.75,2.42857142857143
5.11,1,20,1,4,1,4,2,2,4,5,1,2,2,3,2,3,4,4,1,3,3,4,4,3,4,4,2,4,4,1.4,3,3,4
5.11,2,20,3,4,4,4,2,2,4,4,3,2,4,2,2,2,2,3,3,4,2,4,3,4,3,4,3,4,2,2.6,3.14285714285714,3.125,3.28571428571429
5.11,2,18,1,3,2,3,1,2,4,4,1,2,2,4,2,4,2,3,1,2,4,4,2,3,2,3,2,5,4,1.2,2.71428571428571,3,3.28571428571429
5.11,1,18,2,4,4,4,1,2,3,4,1,1,1,4,2,2,4,3,1,2,3,3,4,3,2,3,2,3,3,1.4,2.42857142857143,2.875,3.42857142857143
5.11,1,19,1,3,5,4,1,3,3,4,1,2,5,3,3,4,3,3,2,1,3,5,5,3,3,4,3,4,5,1.6,2.85714285714286,4,3.71428571428571
5.11,1,19,1,3,2,5,1,2,4,5,1,3,4,4,2,3,4,5,2,2,3,3,5,3,4,3,2,4,4,1.4,2.71428571428571,3.25,4.57142857142857
5.11,1,20,1,4,1,3,2,2,4,3,1,2,3,2,1,4,4,4,3,3,1,4,4,4,2,3,2,2,2,1.6,3.14285714285714,2.625,2.85714285714286
5.11,1,24,1,3,1,5,2,2,4,4,1,3,2,3,1,2,3,4,1,2,1,3,5,3,3,3,2,3,4,1.2,2.57142857142857,2.5,3.85714285714286
5.11,2,19,2,4,2,4,1,2,3,4,2,3,2,5,1,3,4,4,3,3,2,2,3,3,3,3,2,3,3,1.8,3,2.5,3.71428571428571
5.11,2,20,2,4,5,2,1,1,4,2,2,4,2,1,1,4,2,2,1,2,2,4,2,5,2,5,2,2,2,1.4,3.57142857142857,2.875,1.85714285714286
5.11,2,21,2,4,4,4,2,1,5,4,2,3,5,4,2,4,5,4,2,3,5,5,4,4,4,4,5,4,5,2,3.28571428571429,4.875,4
5.11,1,21,2,2,3,5,1,3,5,4,2,1,4,5,2,3,3,2,2,4,1,1,4,4,2,2,1,5,4,1.8,2.71428571428571,2.75,3.85714285714286
5.11,1,21,1,3,2,3,2,3,5,4,1,2,4,3,2,3,3,3,2,4,2,3,3,3,3,3,2,2,4,1.6,3,3.125,3
5.11,1,20,1,2,3,1,1,4,1,2,1,2,2,1,4,3,4,1,2,4,2,4,1,1,1,2,3,2,4,1.8,2.57142857142857,2.875,1.28571428571429
5.11,2,21,2,4,2,2,4,1,4,4,2,2,4,4,2,4,5,4,2,4,2,3,4,5,4,5,4,5,4,2.4,3.57142857142857,3.5,3.85714285714286
5.11,2,20,1,3,3,2,2,2,3,4,1,3,4,2,1,3,4,2,3,2,3,3,4,4,2,4,3,2,3,1.6,3,3.25,2.57142857142857
5.11,2,20,4,3,1,2,2,2,2,3,3,3,2,1,3,3,1,2,4,4,2,4,2,4,2,5,3,1,3,3.2,3.42857142857143,2.25,1.85714285714286
5.11,1,21,1,4,5,2,1,4,5,4,1,4,4,2,1,1,4,4,2,1,2,4,2,4,4,2,2,5,4,1.2,2.85714285714286,3.75,3.28571428571429
5.11,1,20,1,3,2,4,1,1,4,5,1,3,3,2,1,2,4,4,2,1,2,4,4,4,4,3,4,2,4,1.2,2.42857142857143,3.375,3.57142857142857
5.11,1,21,1,2,4,4,1,1,5,4,4,3,3,4,4,4,4,3,1,4,2,4,3,4,1,4,2,4,4,2.2,3.14285714285714,3.5,3.28571428571429
5.11,1,19,1,2,3,2,1,3,3,4,1,2,3,5,2,3,4,4,1,2,2,3,4,4,4,4,3,4,3,1.2,2.85714285714286,3,3.85714285714286
5.11,2,20,1,4,3,4,1,1,3,5,1,3,1,1,4,3,3,2,1,2,1,4,3,3,1,4,1,1,3,1.6,2.85714285714286,2.375,2.42857142857143
5.11,1,20,1,3,4,2,1,4,3,3,1,4,2,2,2,5,3,2,1,5,2,3,2,4,2,4,2,4,2,1.2,4.14285714285714,2.625,2.42857142857143
5.11,1,21,2,2,5,4,1,2,4,5,3,3,4,4,2,2,2,2,3,2,3,4,3,4,2,3,2,5,4,2.2,2.57142857142857,3.5,3.57142857142857
5.11,1,20,1,3,5,2,3,4,5,3,1,3,3,3,3,4,2,2,4,4,2,4,1,3,2,4,3,4,3,2.4,3.57142857142857,3.375,2.42857142857143
5.11,1,19,3,4,2,2,3,4,2,2,1,4,2,3,2,2,3,2,3,4,2,3,2,4,3,4,3,3,3,2.4,3.71428571428571,2.5,2.42857142857143
5.11,2,18,5,3,1,5,5,1,5,4,5,2,2,1,2,1,5,1,3,1,2,4,5,4,1,3,3,1,4,4,2.14285714285714,3.25,2.57142857142857
5.11,1,20,2,3,4,3,2,4,2,2,1,3,4,1,2,2,2,2,3,4,1,4,5,4,2,4,2,2,4,2,3.42857142857143,2.875,2.42857142857143
5.11,2,19,1,2,2,4,2,1,4,4,1,2,2,3,2,4,4,2,2,2,2,3,3,3,3,2,2,4,3,1.6,2.28571428571429,2.75,3.28571428571429
5.12,2,20,2,2,3,2,1,3,3,4,1,2,2,4,1,1,5,4,2,2,3,3,4,3,2,2,2,3,3,1.4,2.14285714285714,3,3.28571428571429
5.12,2,20,1,3,2,2,1,2,4,3,1,2,2,2,1,3,3,2,1,2,2,2,2,3,2,3,2,2,4,1,2.57142857142857,2.625,2.14285714285714
5.12,1,21,1,3,4,4,1,1,4,4,1,1,1,2,1,4,4,4,1,1,2,3,3,4,4,4,2,2,4,1,2.57142857142857,3,3.28571428571429
5.12,2,21,2,3,4,2,2,1,4,4,1,2,4,4,2,2,4,2,1,2,4,4,2,2,2,4,2,4,4,1.6,2.28571428571429,3.75,2.85714285714286
5.12,1,20,1,3,3,2,1,4,4,4,1,3,2,3,2,4,4,2,1,5,3,3,2,4,2,4,3,2,4,1.2,3.85714285714286,3.25,2.42857142857143
5.12,2,21,2,3,2,3,2,4,3,4,2,4,2,3,2,3,2,2,2,3,2,3,3,3,2,2,2,4,4,2,3.14285714285714,2.5,3
5.12,2,19,1,1,2,4,1,1,4,4,1,3,2,2,1,3,4,4,1,1,1,1,4,1,4,3,1,2,5,1,1.85714285714286,2.5,3.42857142857143
5.12,1,20,2,3,3,4,2,2,1,4,2,3,4,4,2,1,4,4,2,2,3,4,4,4,4,4,3,2,3,2,2.71428571428571,3.125,3.71428571428571
5.12,2,20,2,4,2,2,2,2,4,2,1,3,3,2,2,3,4,2,2,2,4,3,2,2,2,3,2,1,4,1.8,2.71428571428571,3.25,1.85714285714286
5.12,2,20,1,3,4,3,2,3,4,4,1,4,4,2,3,4,4,3,1,5,3,4,3,4,2,5,4,5,5,1.6,4,4,3.14285714285714
5.12,1,20,1,2,3,2,1,2,4,2,1,2,2,2,2,3,4,1,1,3,2,3,4,4,1,3,2,3,4,1.2,2.71428571428571,3,2.14285714285714
5.12,1,20,1,2,2,2,1,1,4,3,1,2,2,3,2,3,4,1,1,2,3,3,4,3,2,4,2,2,4,1.2,2.42857142857143,3,2.42857142857143
5.12,1,20,2,4,4,4,2,4,3,4,2,3,2,4,2,4,4,3,2,5,2,4,3,4,3,4,3,4,3,2,4,3.125,3.57142857142857
5.12,2,23,1,2,2,2,1,1,2,2,1,2,2,2,1,2,4,2,2,2,2,3,2,3,2,3,2,2,4,1.2,2.14285714285714,2.625,2
5.12,2,20,3,3,4,2,2,3,4,3,2,2,4,3,4,4,2,2,3,3,3,4,2,3,2,3,4,3,4,2.8,3,3.625,2.42857142857143
5.12,2,20,3,4,4,3,3,3,5,4,3,2,4,2,2,2,4,4,4,3,3,4,3,3,2,4,3,2,3,3,3,3.75,2.85714285714286
5.12,2,19,1,1,3,2,1,1,5,5,1,1,3,4,2,3,4,4,1,3,3,4,4,1,4,1,2,5,5,1.2,1.57142857142857,3.625,4
5.12,2,20,2,3,2,4,2,1,4,3,2,2,3,2,1,2,3,4,2,2,2,4,3,3,2,3,2,2,3,1.8,2.28571428571429,2.875,2.85714285714286
5.12,1,20,1,3,1,1,5,3,2,1,2,4,4,1,2,5,1,1,2,2,1,2,1,4,1,5,1,2,1,2.4,3.71428571428571,1.625,1.14285714285714
5.12,1,21,1,1,2,1,1,3,2,2,1,1,4,1,3,2,4,1,1,2,2,4,3,2,1,2,2,1,4,1.4,1.85714285714286,3,1.42857142857143
5.12,2,20,1,5,3,3,1,4,4,4,1,3,2,4,1,5,3,4,1,2,2,3,4,3,4,2,2,2,3,1,3.42857142857143,2.75,3.57142857142857
5.12,1,21,4,4,3,2,3,5,1,2,4,5,4,1,4,2,2,2,4,5,3,3,1,5,3,4,4,5,2,3.8,4.28571428571429,2.75,2.28571428571429
5.12,2,22,1,4,1,4,1,4,5,5,1,4,4,5,1,5,2,5,1,4,2,1,4,4,4,3,1,4,4,1,4,2.5,4.42857142857143
5.12,2,21,3,4,3,3,3,2,3,4,4,3,2,4,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3.2,3,3,3.57142857142857
5.12,1,21,1,3,3,4,1,2,2,5,1,2,3,4,1,3,2,4,2,2,4,3,4,4,4,4,4,4,5,1.2,2.85714285714286,3.25,4.14285714285714
5.12,2,20,2,3,4,3,1,2,3,2,2,3,3,2,2,3,4,1,1,3,3,2,3,3,2,3,2,3,3,1.6,2.85714285714286,3,2.28571428571429
5.12,2,21,1,3,2,4,1,2,1,5,1,3,1,4,1,4,1,2,1,3,1,1,4,5,4,5,1,2,3,1,3.57142857142857,1.375,3.57142857142857
5.12,2,21,3,3,3,3,2,2,4,3,3,3,3,2,3,4,3,2,3,2,2,2,4,2,3,4,2,3,5,2.8,2.85714285714286,3,2.85714285714286
5.12,1,20,1,5,1,1,1,1,1,5,1,4,1,1,3,4,4,1,1,4,1,1,3,4,1,4,1,1,5,1.4,3.71428571428571,1.875,1.85714285714286
5.12,1,21,1,3,1,1,5,5,1,4,1,3,4,1,2,5,5,1,1,5,5,5,1,5,1,3,4,3,5,2,4.14285714285714,3.75,1.71428571428571
5.12,2,21,3,1,4,2,3,1,4,3,4,1,3,4,2,1,3,2,4,1,3,3,1,1,2,3,4,2,3,3.2,1.28571428571429,3.375,2.28571428571429
5.12,1,23,1,3,2,2,1,1,4,5,1,2,2,3,2,3,2,4,2,3,3,3,2,3,4,3,2,3,4,1.4,2.57142857142857,2.75,3.28571428571429
5.12,2,20,1,4,2,4,1,2,4,4,1,3,2,4,1,4,3,3,2,4,2,2,3,4,4,4,2,4,5,1.2,3.57142857142857,2.75,3.71428571428571
5.12,2,19,2,3,2,4,1,2,4,3,2,3,4,3,2,2,4,2,2,3,2,4,3,1,2,3,3,3,4,1.8,2.42857142857143,3.375,2.85714285714286
5.12,2,18,2,4,3,4,2,4,4,5,2,4,2,5,2,3,4,4,2,4,2,2,2,4,4,4,2,3,3,2,3.85714285714286,2.75,3.85714285714286
5.12,2,18,1,3,3,4,1,1,4,4,1,3,2,3,2,4,2,4,1,4,3,1,4,4,2,4,2,4,4,1.2,3.28571428571429,2.625,3.57142857142857
5.12,1,20,1,3,2,2,1,1,4,3,1,2,2,2,1,2,2,2,2,3,2,2,1,3,2,3,2,4,4,1.2,2.42857142857143,2.5,2.28571428571429
5.12,2,19,1,4,2,4,1,4,2,5,1,3,2,4,1,4,2,5,2,4,2,2,4,4,5,3,2,4,3,1.2,3.71428571428571,2.125,4.42857142857143
5.12,2,20,2,3,2,2,1,2,4,4,1,2,2,2,2,3,2,2,3,3,2,3,4,3,3,4,4,2,3,1.8,2.85714285714286,2.75,2.71428571428571
5.12,2,19,2,4,2,3,2,2,3,4,3,2,2,5,2,3,2,4,3,3,2,2,3,4,3,3,2,3,3,2.4,3,2.25,3.57142857142857
5.12,2,18,2,4,3,2,2,2,2,4,2,2,3,1,2,4,3,3,3,3,4,4,3,4,2,4,3,2,4,2.2,3.28571428571429,3.25,2.42857142857143
5.13,2,31,1,4,2,4,1,5,5,5,1,1,4,4,1,2,4,5,1,4,5,1,4,3,4,2,2,4,5,1,3,3.5,4.28571428571429
5.13,1,37,1,2,3,5,1,2,5,5,1,1,5,3,1,4,4,5,1,5,5,1,5,3,5,3,3,4,5,1,2.85714285714286,3.875,4.57142857142857
5.13,2,26,1,5,4,4,1,4,4,4,1,1,4,2,1,2,4,4,1,2,4,5,4,1,4,2,5,4,5,1,2.42857142857143,4.375,3.71428571428571
5.13,2,33,4,4,4,1,4,2,5,4,2,2,4,2,4,2,4,4,2,4,4,5,5,4,5,4,2,2,2,3.2,3.14285714285714,3.75,3.28571428571429
5.13,2,31,2,3,3,3,3,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,4,4,2,4,3,2,3,2.8,3.14285714285714,3,2.42857142857143
5.13,1,30,1,2,1,4,1,1,3,5,1,1,3,4,1,3,4,4,1,4,2,2,4,2,4,1,1,4,3,1,2,2.375,4.14285714285714
5.13,2,27,2,3,4,4,2,4,4,4,4,1,4,4,2,3,4,4,4,4,4,4,5,2,4,2,4,4,4,2.8,2.71428571428571,4,4.14285714285714
5.13,1,33,3,4,5,4,2,1,4,4,3,2,5,4,4,4,5,2,4,4,5,4,2,4,2,5,3,4,2,3.2,3.42857142857143,4.125,3.14285714285714
5.13,1,36,2,2,2,3,2,1,3,4,2,1,3,3,2,3,3,5,3,4,3,2,4,1,3,3,2,4,4,2.2,2.14285714285714,2.75,3.71428571428571
5.13,1,27,1,4,4,4,1,4,4,5,1,4,4,5,1,4,5,5,1,5,4,5,2,3,5,3,4,5,5,1,3.85714285714286,4.375,4.42857142857143
5.13,2,35,2,3,2,4,2,2,4,4,2,2,3,4,2,3,3,4,2,3,3,2,4,3,4,3,2,4,4,2,2.71428571428571,2.875,4
5.13,1,36,3,4,4,4,4,3,4,4,3,3,4,4,4,4,4,2,3,3,3,4,3,4,3,4,4,4,4,3.4,3.57142857142857,3.875,3.42857142857143
5.13,1,35,5,5,2,5,4,3,2,5,5,5,2,2,5,2,2,5,5,5,1,2,1,3,5,2,2,2,2,4.8,3.57142857142857,1.875,3.57142857142857
5.13,2,29,4,2,4,2,2,4,2,4,2,2,2,4,1,4,2,3,4,2,2,3,4,4,3,4,2,5,2,2.6,3.14285714285714,2.375,3.57142857142857
5.13,1,47,3,4,3,4,3,2,4,4,3,3,4,3,3,3,4,4,2,3,4,2,4,4,4,3,4,4,4,2.8,3.14285714285714,3.625,3.85714285714286
5.13,1,48,1,2,2,4,1,1,2,5,1,1,1,5,1,1,3,5,2,2,1,2,5,1,5,1,2,4,3,1.2,1.28571428571429,2,4.71428571428571
5.13,1,42,2,4,3,4,1,3,4,4,2,2,4,4,2,2,4,2,2,2,4,4,4,3,2,3,4,4,4,1.8,2.71428571428571,3.875,3.42857142857143
5.13,1,39,2,2,2,4,1,4,4,4,2,2,3,4,1,3,2,4,2,3,2,2,4,2,3,2,2,4,4,1.6,2.57142857142857,2.625,3.85714285714286
5.13,2,37,2,2,2,4,2,2,4,4,2,2,4,5,2,4,4,2,2,4,4,2,4,4,4,2,2,4,4,2,2.85714285714286,3.25,3.85714285714286
5.13,2,29,3,3,2,3,4,3,2,4,3,3,2,2,3,4,3,3,2,4,3,3,3,3,3,3,3,2,3,3,3.28571428571429,2.625,2.85714285714286
5.13,1,29,2,1,2,2,2,1,2,3,2,1,1,2,1,4,2,1,2,2,2,4,2,3,1,4,2,1,3,1.8,2.28571428571429,2.25,1.71428571428571
5.13,1,30,4,5,5,5,5,5,4,5,4,5,5,5,5,4,4,4,4,4,5,4,5,5,4,4,5,4,5,4.4,4.57142857142857,4.625,4.57142857142857
5.13,1,42,1,4,1,5,1,3,3,5,1,1,2,3,1,3,3,5,1,3,3,2,5,2,5,2,2,4,5,1,2.57142857142857,2.625,4.57142857142857
5.13,1,44,1,2,4,3,1,1,4,5,1,2,4,3,2,3,4,4,1,5,4,3,4,2,4,3,4,3,4,1.2,2.57142857142857,3.875,3.71428571428571
5.13,1,29,2,2,2,5,2,3,5,5,2,2,2,4,1,1,4,4,2,3,2,2,4,2,4,2,2,4,5,1.8,2.14285714285714,3,4.28571428571429
5.13,2,37,2,3,2,5,1,1,2,5,2,2,1,5,2,4,3,5,3,2,2,1,5,4,5,4,2,5,2,2,2.85714285714286,1.875,5
5.13,1,44,2,1,2,2,2,2,4,4,2,2,2,4,1,3,3,3,1,1,2,3,2,3,3,3,2,3,4,1.6,2.14285714285714,2.75,3
5.13,2,32,1,3,2,5,1,3,5,5,1,2,3,5,1,4,4,5,1,3,3,1,5,4,5,4,1,4,5,1,3.28571428571429,3,4.85714285714286
5.13,1,37,5,4,5,4,2,4,5,4,4,2,4,4,4,4,4,3,4,5,5,4,4,4,4,4,4,5,5,3.8,3.85714285714286,4.5,4
5.13,1,20,2,4,2,3,1,2,2,4,2,3,4,2,2,4,4,4,2,3,4,4,3,4,3,4,4,2,4,1.8,3.42857142857143,3.5,3
5.13,2,29,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.8,4,3.875,3.85714285714286
5.13,2,23,3,4,3,3,1,4,4,4,5,2,2,4,4,4,4,4,4,4,4,2,1,4,2,3,2,4,2,3.4,3.57142857142857,2.875,3.14285714285714
5.13,2,54,1,2,1,5,1,1,4,5,2,1,2,4,2,2,4,5,2,3,2,2,5,1,4,1,1,4,4,1.6,1.57142857142857,2.5,4.57142857142857
5.13,2,62,2,3,2,4,2,2,4,4,3,2,4,4,2,3,2,4,3,2,3,2,4,3,2,3,2,3,4,2.4,2.57142857142857,2.875,3.57142857142857
5.13,1,47,1,1,2,4,2,2,3,4,1,3,2,3,2,4,3,4,1,3,2,2,4,3,3,3,2,2,3,1.4,2.71428571428571,2.375,3.42857142857143
5.13,1,28,1,3,3,5,1,4,4,5,1,1,4,4,1,4,4,5,1,5,4,3,5,4,3,3,3,5,5,1,3.42857142857143,3.75,4.57142857142857
5.13,1,32,2,3,4,5,2,2,3,5,3,3,3,4,2,4,3,3,2,5,4,4,5,3,3,3,4,5,3,2.2,3.28571428571429,3.5,4.28571428571429
5.13,2,37,1,2,1,5,1,2,5,5,1,1,5,5,1,1,5,5,2,1,5,1,4,1,5,1,1,5,5,1.2,1.28571428571429,3.5,4.85714285714286
5.13,2,58,1,3,1,4,1,2,3,5,1,3,2,3,1,4,4,4,1,2,2,1,4,3,4,4,1,3,3,1,3,2.125,3.85714285714286
5.13,1,22,5,5,4,5,4,3,5,4,4,3,4,4,5,3,4,4,4,4,4,5,4,3,4,4,4,5,5,4.4,3.57142857142857,4.375,4.28571428571429
5.13,1,31,1,1,4,4,1,4,4,4,1,1,4,4,1,1,4,4,4,4,4,4,4,1,4,1,1,4,4,1.6,1.85714285714286,3.625,4
