"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","FD","SD","UP","FW"
5.13,1,26,3,2,3,5,1,2,4,4,3,3,4,5,2,3,4,4,3,2,4,3,4,4,4,1,3,4,4,2.4,2.42857142857143,3.625,4.28571428571429
5.13,1,33,1,2,2,4,2,1,3,4,3,1,2,3,1,2,2,4,3,2,2,2,3,4,4,2,2,2,2,2,2,2.125,3.42857142857143
5.13,2,53,1,3,2,5,1,2,4,5,2,2,2,2,2,3,3,4,3,2,2,4,4,2,4,4,4,2,4,1.8,2.57142857142857,3.125,3.71428571428571
5.13,1,41,4,4,3,4,3,1,4,4,4,2,4,4,2,2,4,5,4,2,2,2,3,2,4,4,2,4,4,3.4,2.42857142857143,3.125,4
5.13,2,60,4,5,5,4,4,2,5,4,3,5,5,2,4,5,4,3,4,5,5,5,2,3,2,4,4,1,4,3.8,4.14285714285714,4.625,2.57142857142857
5.13,1,24,1,1,1,5,1,1,5,5,1,1,5,5,1,1,3,5,1,1,4,4,5,1,5,1,5,5,5,1,1,4,5
5.13,1,25,2,3,3,5,2,3,3,5,2,2,3,5,2,3,5,5,5,5,5,5,5,2,5,2,5,5,2,2.6,2.85714285714286,3.875,5
5.13,2,61,2,4,3,3,2,2,2,4,3,2,3,4,2,3,4,2,4,2,3,2,4,2,1,2,3,4,2,2.6,2.42857142857143,2.75,3.14285714285714
5.13,1,28,3,3,3,3,2,3,3,4,2,3,3,4,2,4,4,3,4,3,2,3,3,3,3,3,3,4,3,2.6,3.14285714285714,3,3.42857142857143
5.13,1,53,4,1,4,4,1,1,5,5,4,1,4,4,1,5,4,5,4,1,4,4,5,2,5,4,4,5,4,2.8,2.14285714285714,4.125,4.71428571428571
5.13,1,31,1,2,2,5,1,1,5,4,1,2,4,2,1,4,4,4,1,4,4,1,5,4,4,4,2,4,5,1,3,3.375,4
5.13,1,38,2,2,2,4,2,3,4,4,2,2,4,4,2,4,4,4,3,3,3,1,3,2,4,4,3,4,4,2.2,2.85714285714286,3.125,3.85714285714286
5.13,2,30,3,4,3,4,2,2,4,4,2,2,4,2,4,4,5,4,2,3,2,4,4,4,2,2,4,4,2,2.6,3,3.5,3.42857142857143
5.13,2,60,1,3,3,2,2,2,3,3,2,2,2,3,2,3,4,3,4,2,4,3,3,4,1,2,2,4,3,2.2,2.57142857142857,3,2.71428571428571
5.13,2,23,2,3,1,1,3,1,2,5,2,3,2,1,2,4,2,2,2,3,2,3,1,2,1,4,2,2,1,2.2,2.85714285714286,1.875,1.85714285714286
5.13,1,30,4,3,3,4,4,5,5,4,4,5,4,4,5,4,4,5,4,5,5,3,5,4,3,3,3,4,4,4.2,4.14285714285714,3.875,4.14285714285714
5.13,2,48,2,2,2,4,2,2,4,4,2,3,3,4,2,4,4,4,1,4,2,2,4,2,4,3,2,5,4,1.8,2.85714285714286,2.875,4.14285714285714
5.13,2,38,1,3,1,4,1,2,5,4,1,2,2,4,1,2,2,4,1,2,1,2,4,4,4,4,2,4,4,1,2.71428571428571,2.375,4
5.13,2,30,4,4,3,4,2,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.6,3.85714285714286,3.75,4
5.13,1,31,1,2,3,4,1,2,4,4,1,2,3,4,2,4,3,4,2,4,3,2,4,4,5,3,3,4,4,1.4,3,3.125,4.14285714285714
5.13,1,21,3,4,2,5,3,5,4,4,2,5,3,4,2,5,4,5,3,4,5,4,4,4,4,4,4,4,4,2.6,4.42857142857143,3.75,4.28571428571429
5.13,2,44,2,2,2,2,2,3,4,4,2,2,4,2,2,4,4,3,2,4,2,4,2,3,2,4,4,4,4,2,3.14285714285714,3.5,2.71428571428571
5.13,1,20,1,4,4,2,1,2,3,4,2,2,2,2,1,4,2,3,2,4,2,4,2,5,1,4,4,4,5,1.4,3.57142857142857,3.25,2.57142857142857
5.13,1,31,2,1,5,4,1,1,3,4,3,4,4,3,5,3,4,4,1,3,4,3,5,2,4,1,3,4,2,2.4,2.14285714285714,3.5,4
5.13,1,54,1,2,2,4,1,3,3,4,1,2,2,4,2,4,4,4,2,2,4,3,4,4,4,2,3,4,4,1.4,2.71428571428571,3.125,4
5.13,1,34,4,4,5,5,4,2,5,4,4,4,4,5,4,5,5,4,4,4,3,2,5,4,4,4,2,4,3,4,3.85714285714286,3.625,4.42857142857143
5.13,1,26,2,4,3,3,2,4,3,3,3,3,3,3,4,2,2,3,3,3,3,3,4,3,4,4,3,4,3,2.8,3.28571428571429,2.875,3.42857142857143
5.13,2,29,4,4,3,5,4,4,4,5,4,4,4,3,5,3,4,4,4,4,5,4,5,4,3,4,3,4,4,4.2,3.85714285714286,3.875,4.14285714285714
5.13,1,43,3,3,3,5,4,4,5,3,1,1,4,5,4,1,5,4,5,5,2,1,3,3,5,2,5,4,5,3.4,2.71428571428571,3.75,4.14285714285714
5.13,2,33,2,3,3,5,2,2,4,4,2,3,4,4,3,4,3,5,2,3,3,3,4,2,4,3,3,4,4,2.2,2.85714285714286,3.375,4.28571428571429
5.13,1,39,2,4,2,4,2,2,4,4,2,5,4,4,2,4,4,5,2,2,2,2,4,2,4,4,2,4,4,2,3.28571428571429,3,4.14285714285714
5.13,1,52,3,4,4,3,2,2,4,4,2,4,4,3,2,4,4,4,2,3,4,4,3,4,3,4,3,4,4,2.2,3.57142857142857,3.875,3.42857142857143
5.13,1,48,1,3,2,3,2,1,5,4,1,4,2,2,2,4,2,4,2,3,2,2,2,2,4,4,2,3,3,1.6,3,2.5,3.14285714285714
5.13,1,31,1,3,3,3,1,1,4,4,2,1,3,3,1,2,2,3,2,3,2,3,4,3,3,4,3,2,4,1.4,2.42857142857143,3,3.14285714285714
5.13,1,29,3,3,2,4,3,5,4,4,3,4,3,5,5,2,4,4,3,4,5,3,3,5,3,5,4,2,3,3.4,4,3.5,3.57142857142857
5.13,1,54,4,3,4,3,2,3,4,4,2,3,3,3,2,4,4,4,3,3,4,2,4,3,2,4,2,3,2,2.6,3.28571428571429,3.125,3.28571428571429
5.13,2,44,4,4,2,3,3,3,2,5,3,3,3,3,2,4,4,4,3,3,3,5,4,4,4,4,4,4,4,3,3.57142857142857,3.375,3.85714285714286
5.13,1,27,2,2,2,4,2,1,5,4,2,2,4,4,2,2,5,4,4,2,4,2,2,3,3,2,2,3,4,2.4,2,3.5,3.42857142857143
5.13,1,40,5,4,4,4,4,2,4,4,4,2,4,5,4,2,5,4,4,4,4,4,4,4,4,2,4,4,4,4.2,2.85714285714286,4.125,4.14285714285714
5.13,1,33,2,4,1,5,1,1,3,5,1,1,2,5,1,2,2,5,1,4,1,1,5,4,5,2,2,5,3,1.2,2.57142857142857,1.875,5
5.13,2,69,4,5,2,5,4,3,2,5,4,5,2,3,4,2,2,5,4,5,2,2,1,3,5,3,2,2,2,4,3.71428571428571,2,3.71428571428571
5.13,1,26,2,4,2,4,1,4,4,4,2,2,2,4,2,4,2,4,1,1,4,4,4,4,4,3,2,4,4,1.6,3.14285714285714,3,4
5.13,3,32,1,5,5,1,3,3,4,3,1,5,4,1,3,5,4,1,3,3,4,4,1,3,1,5,4,1,3,2.2,4.14285714285714,4,1.28571428571429
5.13,2,44,3,4,3,2,4,2,4,5,4,4,4,2,4,4,2,4,4,4,2,4,2,2,5,2,4,4,2,3.8,3.14285714285714,3.125,3.42857142857143
5.13,1,30,4,3,4,3,4,5,5,5,4,4,4,4,5,4,5,4,3,3,3,4,5,5,3,4,3,4,5,4,4,4.125,4
5.13,NA,30,4,2,4,4,4,4,3,3,3,3,2,3,2,2,3,2,3,2,4,3,2,3,3,3,2,3,3,3.2,2.71428571428571,3,2.85714285714286
5.13,2,45,2,3,2,4,4,3,4,5,2,3,4,4,2,3,4,5,3,3,4,4,4,3,4,3,4,5,4,2.6,3,3.75,4.42857142857143
5.13,1,45,1,2,1,4,2,1,4,5,1,2,4,4,1,1,4,5,1,1,4,1,5,2,5,2,1,5,5,1.2,1.57142857142857,3,4.71428571428571
5.13,1,33,1,4,2,5,2,3,5,5,1,4,3,4,1,4,4,5,1,4,2,1,5,4,5,5,1,4,3,1.2,4,2.625,4.71428571428571
5.13,2,33,2,3,3,2,1,1,5,3,1,1,4,3,1,2,5,4,1,1,4,1,1,1,2,1,4,2,5,1.2,1.42857142857143,3.875,2.42857142857143
5.13,1,30,2,4,2,3,4,3,3,4,3,4,2,3,4,3,2,4,3,3,3,4,4,2,2,2,4,2,3,3.2,3,2.875,3.14285714285714
5.13,2,25,1,1,1,5,1,3,2,5,1,1,1,5,1,2,3,5,1,1,1,1,5,1,5,1,1,5,1,1,1.42857142857143,1.375,5
5.13,2,53,3,5,2,4,2,1,4,5,2,1,4,5,2,3,4,5,2,3,3,2,5,2,4,2,2,4,4,2.2,2.42857142857143,3.125,4.57142857142857
5.13,1,31,1,1,1,5,3,1,4,5,1,1,4,4,1,3,4,5,1,4,2,1,3,2,5,1,3,5,4,1.4,1.85714285714286,2.875,4.57142857142857
5.13,2,35,1,2,4,4,1,2,4,4,1,3,4,2,2,4,4,3,1,2,2,4,3,4,2,4,3,1,4,1.2,3,3.625,2.71428571428571
5.13,1,67,1,1,2,4,3,1,1,5,1,1,1,2,3,2,2,5,1,2,1,4,3,1,4,1,2,3,1,1.8,1.28571428571429,1.75,3.71428571428571
5.13,2,41,1,4,3,4,2,3,4,4,1,3,4,3,2,4,4,4,2,4,3,4,4,4,3,4,4,2,3,1.6,3.71428571428571,3.625,3.42857142857143
5.13,2,62,2,3,3,4,1,3,4,3,3,2,3,3,2,2,3,3,3,2,3,4,4,2,2,3,3,2,3,2.2,2.42857142857143,3.25,3
5.13,2,42,2,4,2,4,3,4,4,2,2,2,4,4,4,4,4,2,3,3,4,4,2,2,3,3,4,3,2,2.8,3.14285714285714,3.5,2.85714285714286
5.13,2,68,1,2,1,4,1,1,5,5,1,2,5,5,1,2,5,5,1,4,5,3,4,1,4,1,4,5,5,1,1.85714285714286,4.125,4.57142857142857
5.13,2,33,3,5,3,5,1,4,5,5,4,5,4,5,3,5,5,3,3,4,5,3,5,1,4,1,5,5,1,2.8,3.57142857142857,3.875,4.57142857142857
5.13,1,34,1,5,3,4,2,2,4,5,1,3,4,5,2,3,3,5,3,5,2,3,4,3,3,4,3,5,2,1.8,3.57142857142857,3,4.42857142857143
5.13,2,50,3,3,4,2,3,3,4,3,3,2,4,2,3,4,4,3,3,3,4,4,2,3,2,4,2,2,4,3,3.14285714285714,3.75,2.28571428571429
5.13,1,29,4,4,5,5,4,2,4,4,2,5,4,2,4,4,4,4,4,2,5,5,2,4,4,2,4,2,4,3.6,3.28571428571429,4.375,3.28571428571429
5.13,1,27,3,3,2,3,3,2,4,4,4,4,4,2,4,4,3,4,3,4,4,2,4,4,3,3,4,5,3,3.4,3.42857142857143,3.25,3.57142857142857
5.13,1,36,4,4,3,3,1,5,2,5,1,5,2,3,2,4,4,5,2,3,2,3,3,3,5,5,3,4,3,2,4.14285714285714,2.75,4
5.13,1,71,4,4,4,2,4,2,4,4,4,2,4,2,4,2,4,2,2,4,4,4,2,2,2,2,4,4,4,3.6,2.57142857142857,4,2.57142857142857
5.13,2,50,4,3,3,5,3,2,5,5,4,3,5,4,4,4,5,5,4,4,4,3,5,4,5,4,3,5,4,3.8,3.42857142857143,4,4.85714285714286
5.13,1,39,2,3,4,4,2,2,4,5,2,3,2,4,2,4,3,5,3,3,3,4,4,4,5,3,3,4,4,2.2,3.14285714285714,3.375,4.42857142857143
5.13,1,38,2,3,3,4,3,4,4,4,3,3,4,4,3,2,4,4,2,3,3,4,4,4,2,4,3,4,4,2.6,3.28571428571429,3.625,3.71428571428571
5.13,1,27,5,3,3,5,1,5,3,5,3,5,3,5,3,3,5,5,1,5,5,5,5,5,5,5,5,5,1,2.6,4.42857142857143,3.75,5
5.13,1,32,1,3,3,4,2,4,3,5,1,3,3,4,1,3,4,2,1,2,2,3,2,3,2,3,4,4,3,1.2,3,3.125,3.28571428571429
5.13,1,31,1,2,4,5,1,1,4,4,4,5,3,5,5,1,3,4,2,2,5,3,5,2,1,3,4,4,2,2.6,2.28571428571429,3.5,4
5.13,1,52,2,3,3,4,3,2,4,4,2,4,3,4,2,4,4,1,1,2,2,3,3,2,2,4,2,2,4,2,3,3.125,2.85714285714286
5.13,2,38,4,3,4,4,4,3,4,5,4,3,4,4,4,3,4,4,4,3,4,2,4,2,3,3,4,4,4,4,2.85714285714286,3.75,4
5.13,2,35,1,4,4,2,1,2,5,3,2,2,5,5,2,2,4,2,4,4,4,5,2,2,2,2,4,4,5,2,2.57142857142857,4.5,2.85714285714286
5.13,2,35,4,4,4,5,4,2,5,5,4,1,2,4,5,3,4,4,5,2,5,5,5,4,4,3,2,5,4,4.4,2.71428571428571,3.875,4.57142857142857
5.13,1,23,1,5,1,5,1,1,5,5,1,4,5,5,1,5,5,1,1,4,5,5,5,5,1,5,5,5,5,1,4.14285714285714,4.5,3.85714285714286
5.13,2,56,2,4,4,4,3,2,5,4,4,2,5,3,4,4,5,5,3,2,4,4,4,2,4,3,4,2,5,3.2,2.71428571428571,4.5,3.71428571428571
5.13,1,24,2,2,3,5,2,3,4,4,2,3,4,3,2,4,4,3,2,2,3,4,4,3,4,3,2,4,2,2,2.85714285714286,3.25,3.85714285714286
5.13,1,38,2,3,2,4,2,2,4,4,2,4,4,4,1,3,3,4,3,3,2,3,3,2,4,3,3,4,4,2,2.85714285714286,3.125,3.85714285714286
5.13,1,39,2,4,2,4,2,2,3,5,2,3,4,4,3,2,4,4,2,4,2,4,3,4,2,3,3,4,3,2.2,3.14285714285714,3.125,3.71428571428571
5.13,1,62,1,4,2,4,1,5,4,4,1,3,2,1,1,4,2,4,1,5,2,5,4,4,2,3,3,1,4,1,4,3,2.85714285714286
5.13,2,43,3,4,4,5,4,3,3,4,4,4,4,4,3,4,4,5,3,4,4,2,4,4,5,4,3,4,3,3.4,3.85714285714286,3.375,4.42857142857143
5.13,1,37,3,3,3,4,2,4,3,4,3,2,4,4,3,3,4,4,4,3,3,3,4,3,3,3,3,4,3,3,3,3.25,3.85714285714286
5.13,2,36,2,3,2,4,4,4,3,5,4,3,1,5,4,4,3,5,4,4,4,2,4,2,4,3,2,4,3,3.6,3.28571428571429,2.5,4.42857142857143
5.13,2,46,4,3,4,3,3,3,2,4,4,3,3,4,3,4,4,4,3,4,4,3,3,4,3,3,3,4,2,3.4,3.42857142857143,3.125,3.57142857142857
5.13,2,55,1,4,4,4,2,1,4,4,2,2,3,4,2,2,4,4,2,2,3,4,4,2,3,2,2,4,4,1.8,2.14285714285714,3.5,3.85714285714286
5.13,1,32,1,3,3,3,2,3,3,4,1,2,3,3,2,3,3,4,1,3,3,3,3,2,3,3,3,4,3,1.4,2.71428571428571,3,3.42857142857143
5.13,2,47,2,4,3,2,2,4,2,4,3,4,4,2,2,4,4,3,4,4,2,4,2,2,3,2,3,2,2,2.6,3.42857142857143,3,2.57142857142857
5.2,1,25,3,3,2,4,3,4,3,2,2,2,4,3,4,3,4,3,2,4,4,3,3,4,3,3,4,5,4,2.8,3.28571428571429,3.5,3.28571428571429
5.2,2,22,4,4,2,2,2,3,4,4,4,4,3,3,5,5,4,3,3,3,5,4,4,4,2,2,3,4,3,3.6,3.57142857142857,3.5,3.14285714285714
5.2,2,21,4,4,4,4,4,4,5,3,4,5,5,5,5,3,4,3,3,5,4,4,5,5,4,3,4,2,4,4,4.14285714285714,4.25,3.71428571428571
5.2,1,30,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5,5,4,5,5,5,5,5,4.57142857142857,4.875,4.85714285714286
5.2,1,32,1,3,1,5,2,1,5,5,1,2,2,5,2,2,2,5,2,2,3,1,5,4,5,2,5,4,4,1.6,2.28571428571429,2.875,4.85714285714286
5.2,2,22,4,2,2,3,2,3,4,5,3,2,5,2,2,2,4,3,4,3,2,5,5,2,4,5,3,5,4,3,2.71428571428571,3.625,3.85714285714286
5.2,2,31,2,4,1,4,1,4,4,4,1,4,4,4,4,4,4,5,1,4,4,1,5,3,5,2,1,4,4,1.8,3.57142857142857,2.875,4.42857142857143
5.2,2,32,4,4,4,4,4,2,4,4,4,4,4,4,4,3,4,2,4,2,4,4,4,4,4,4,4,4,4,4,3.28571428571429,4,3.71428571428571
5.2,2,32,2,4,2,4,2,2,4,4,2,4,3,4,2,4,4,4,2,3,3,2,4,4,3,4,4,4,4,2,3.57142857142857,3.25,3.85714285714286
5.2,1,23,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,3,3,3.28571428571429,3,3.57142857142857
5.2,1,34,1,4,3,5,2,2,3,2,1,3,1,5,1,4,3,5,1,3,2,3,5,5,4,5,2,4,5,1.2,3.71428571428571,2.75,4.28571428571429
5.2,2,22,4,3,4,2,3,3,2,2,2,4,2,3,4,2,2,4,3,2,4,3,3,2,2,4,4,4,2,3.2,2.85714285714286,2.875,2.85714285714286
5.2,1,31,2,3,3,4,3,2,5,4,2,2,3,4,4,2,4,4,2,2,4,3,4,4,3,3,3,4,5,2.6,2.57142857142857,3.75,3.85714285714286
5.2,1,27,4,4,3,4,3,2,4,5,4,1,3,5,4,4,4,5,4,4,4,4,4,2,4,5,4,4,4,3.8,3.14285714285714,3.75,4.42857142857143
5.2,1,40,3,4,4,3,4,2,5,4,4,2,3,4,2,2,4,4,4,2,2,4,4,4,2,4,4,4,4,3.4,2.85714285714286,3.75,3.57142857142857
5.2,2,31,2,2,2,4,2,2,4,4,2,2,3,4,2,3,4,5,2,2,4,4,4,2,4,3,3,4,3,2,2.28571428571429,3.375,4.14285714285714
5.2,1,24,3,3,3,2,2,2,3,3,3,4,3,4,3,2,4,2,3,4,3,2,1,3,2,3,2,4,2,2.8,3,2.75,2.57142857142857
5.2,1,35,1,3,5,5,1,3,3,5,1,1,3,4,1,2,2,5,1,3,3,3,5,2,5,1,3,2,3,1,2.14285714285714,3.125,4.42857142857143
5.2,2,24,5,5,5,5,1,5,5,5,5,1,5,5,1,5,5,2,5,5,5,1,5,1,1,5,1,5,3,3.4,3.85714285714286,3.75,4
5.2,2,31,2,3,3,4,3,2,5,5,3,2,5,2,2,3,5,4,2,4,5,4,4,4,3,4,4,3,5,2.4,3.14285714285714,4.5,3.57142857142857
5.2,2,25,1,1,1,5,2,2,4,5,2,2,4,5,2,2,4,4,1,2,3,2,5,1,4,2,4,4,4,1.6,1.71428571428571,3.25,4.57142857142857
5.2,2,30,2,3,3,4,2,2,3,5,2,1,3,3,2,4,4,4,2,3,3,1,5,3,3,4,3,3,3,2,2.85714285714286,2.875,3.85714285714286
5.2,2,29,1,3,5,4,1,2,4,4,1,3,3,4,1,3,3,3,1,4,2,1,4,3,4,4,4,4,4,1,3.14285714285714,3.25,3.85714285714286
5.2,1,31,5,4,5,4,2,2,2,4,2,2,4,4,3,3,4,4,4,4,5,4,4,4,3,5,2,5,4,3.2,3.42857142857143,3.75,4
5.2,1,32,3,3,3,4,1,4,4,5,3,3,3,4,2,3,3,5,3,4,3,3,4,2,4,4,3,4,3,2.4,3.28571428571429,3.125,4.28571428571429
5.2,2,58,4,4,4,5,4,4,5,5,4,4,5,4,4,4,5,5,4,4,4,4,4,4,4,2,4,4,4,4,3.71428571428571,4.375,4.42857142857143
5.2,1,30,5,4,5,4,4,5,4,4,4,4,4,5,3,4,4,5,4,4,5,4,5,5,4,4,4,4,4,4,4.28571428571429,4.25,4.42857142857143
5.2,1,38,3,3,3,4,2,4,4,4,3,2,3,4,3,3,4,4,3,3,4,4,4,4,4,4,3,4,3,2.8,3.28571428571429,3.5,4
5.2,1,30,1,3,2,4,1,3,4,4,1,2,3,4,1,4,3,4,1,3,2,3,5,2,4,3,3,4,3,1,2.85714285714286,2.875,4.14285714285714
5.2,2,22,4,4,4,2,4,2,2,2,4,2,4,4,2,4,2,4,4,2,2,4,4,4,4,2,2,4,4,3.6,2.85714285714286,3,3.42857142857143
5.2,1,43,1,2,1,5,1,3,4,5,1,1,1,5,1,3,5,5,1,2,1,1,4,2,5,1,1,4,5,1,2,2.375,4.71428571428571
5.2,2,47,2,2,2,5,1,1,5,5,2,1,3,5,2,2,4,5,2,1,4,1,2,4,2,1,1,4,3,1.8,1.71428571428571,2.875,4
5.2,1,23,4,2,4,2,4,2,4,2,3,2,4,2,3,4,4,2,2,4,4,4,2,2,2,4,4,2,4,3.2,2.85714285714286,4,2
5.2,1,62,1,4,2,4,2,3,3,4,2,4,3,3,2,3,3,4,2,3,3,3,4,4,4,3,3,4,3,1.8,3.42857142857143,2.875,3.85714285714286
5.2,1,39,2,2,2,4,2,3,3,4,2,2,2,3,2,2,3,4,2,2,2,2,4,3,4,3,2,4,3,2,2.42857142857143,2.375,3.85714285714286
5.2,1,29,1,4,3,2,1,1,5,4,1,2,5,2,2,3,4,3,4,1,4,3,4,2,2,3,3,2,4,1.8,2.28571428571429,3.875,2.71428571428571
