"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","FD","SD","UP","FW"
5.2,1,39,3,4,1,1,2,5,4,5,2,2,2,2,3,3,2,5,2,4,1,2,1,4,5,2,1,2,5,2.4,3.42857142857143,2.25,3
5.2,1,42,1,4,4,2,2,4,4,3,3,4,4,2,3,3,4,3,1,4,4,5,4,4,1,5,4,3,4,2,4,4.125,2.57142857142857
5.2,1,22,3,4,3,4,3,4,2,4,3,4,3,3,4,3,3,3,4,4,3,2,4,3,3,4,3,5,4,3.4,3.71428571428571,2.875,3.71428571428571
5.2,1,32,1,3,4,4,2,2,4,3,2,1,3,3,2,3,3,3,3,3,4,5,3,1,2,3,3,2,4,2,2.28571428571429,3.75,2.85714285714286
5.2,2,53,2,2,2,4,2,2,4,4,2,2,3,4,2,2,4,4,2,3,3,2,4,2,4,2,2,4,4,2,2.14285714285714,3,4
5.2,2,42,2,2,2,4,2,2,2,4,2,2,2,4,2,4,2,4,2,2,2,2,4,4,4,2,4,4,4,2,2.57142857142857,2.5,4
5.2,2,27,1,2,3,3,1,2,3,5,1,1,3,3,1,3,4,4,1,2,3,3,4,2,3,2,4,4,4,1,2,3.375,3.71428571428571
5.2,1,31,1,4,1,4,1,3,1,4,1,2,1,4,1,4,4,3,1,3,1,1,5,3,4,3,1,3,2,1,3.14285714285714,1.5,3.85714285714286
5.2,1,24,3,3,3,4,4,3,3,3,3,3,3,4,4,3,3,4,4,4,4,3,4,4,3,4,3,3,4,3.6,3.42857142857143,3.25,3.57142857142857
5.2,2,65,1,4,1,5,2,4,5,5,1,2,5,5,1,4,5,5,1,2,2,5,5,4,5,4,1,2,5,1.2,3.42857142857143,3.625,4.57142857142857
5.2,1,35,1,2,4,1,3,5,3,4,1,1,4,2,3,5,4,2,2,5,4,5,1,3,2,5,5,2,4,2,3.71428571428571,4.125,2
5.2,2,36,3,3,3,4,3,2,4,5,3,3,4,4,3,4,4,4,3,4,4,4,4,3,4,3,4,4,4,3,3.14285714285714,3.875,4.14285714285714
5.2,2,55,4,4,2,5,4,5,3,4,4,3,3,3,3,3,4,5,3,5,4,4,4,4,5,4,4,3,4,3.6,4,3.5,4.14285714285714
5.2,1,30,2,3,3,4,2,2,5,4,3,2,5,4,3,4,5,4,2,3,4,3,4,4,3,2,4,4,5,2.4,2.85714285714286,4.25,3.85714285714286
5.2,2,30,2,3,4,4,2,3,4,4,2,2,4,4,4,4,5,4,4,2,2,3,4,3,4,3,4,4,4,2.8,2.85714285714286,3.75,4
5.2,1,27,2,3,3,4,2,2,5,4,2,3,5,4,2,3,5,3,3,4,3,3,5,3,3,3,3,4,4,2.2,3,3.875,3.85714285714286
5.2,1,46,3,2,2,3,2,1,3,5,2,2,2,4,2,3,2,4,2,2,2,1,5,3,3,4,1,3,2,2.2,2.42857142857143,1.875,3.85714285714286
5.2,2,60,4,2,4,4,1,1,5,5,4,3,5,5,2,3,4,5,4,4,4,2,4,5,4,3,3,4,3,3,3,3.75,4.42857142857143
5.2,1,27,1,1,1,5,1,1,5,5,1,1,5,5,1,1,5,5,1,3,5,1,5,1,5,1,5,5,5,1,1.28571428571429,4,5
5.2,1,33,3,5,2,3,2,1,4,4,3,3,4,2,3,4,4,4,1,4,3,2,3,2,2,2,1,2,3,2.4,3,2.875,2.85714285714286
5.2,2,38,2,2,1,5,2,1,5,5,2,1,4,5,2,5,5,5,1,2,4,1,5,4,5,4,2,5,5,1.8,2.71428571428571,3.375,5
5.2,2,26,2,1,1,5,2,2,4,4,1,1,5,5,1,2,3,5,1,2,5,1,5,2,4,3,5,5,4,1.4,1.85714285714286,3.5,4.71428571428571
5.2,2,47,1,1,3,4,3,1,5,4,1,1,5,4,2,1,3,3,3,3,3,4,4,1,2,3,4,3,5,2,1.57142857142857,4,3.42857142857143
5.2,1,31,1,1,1,5,1,1,5,5,1,1,1,5,1,1,5,5,1,1,3,1,5,1,5,1,1,5,5,1,1,2.75,5
5.2,3,26,2,4,2,3,3,2,3,4,3,3,2,3,2,4,3,3,3,4,2,3,2,4,3,4,2,2,3,2.6,3.57142857142857,2.5,2.85714285714286
5.2,1,47,1,1,2,4,1,1,4,5,1,1,3,5,1,2,4,5,1,2,3,2,4,1,4,1,2,4,3,1,1.28571428571429,2.875,4.42857142857143
5.2,1,28,3,3,2,2,2,2,4,3,3,2,3,3,2,3,3,2,2,3,3,2,4,3,3,3,3,2,5,2.4,2.71428571428571,3.125,2.71428571428571
5.2,2,54,4,2,4,4,2,3,5,5,4,2,4,4,4,3,4,5,4,4,4,3,4,3,4,4,3,3,5,3.6,3,4,4.14285714285714
5.2,2,64,1,3,2,3,2,3,3,3,1,3,3,4,1,3,4,2,1,4,2,3,2,1,3,2,3,3,4,1.2,2.71428571428571,3,2.85714285714286
5.2,1,23,3,4,3,3,3,4,4,4,4,2,2,4,3,3,4,3,3,3,3,3,3,4,4,3,4,3,3,3.2,3.28571428571429,3.25,3.42857142857143
5.2,1,34,1,1,1,5,5,1,5,5,1,1,1,5,1,1,5,5,1,1,5,1,5,1,5,1,5,5,5,1.8,1,3.5,5
5.2,1,40,5,2,2,4,3,3,3,5,5,3,3,5,5,4,4,5,5,5,4,2,2,1,5,5,1,5,3,4.6,3.28571428571429,2.75,4.42857142857143
5.2,1,35,1,3,4,3,2,4,4,3,1,4,4,2,1,4,4,2,1,3,4,4,2,3,2,4,4,2,4,1.2,3.57142857142857,4,2.28571428571429
5.2,2,26,4,3,3,3,4,3,4,4,3,4,3,2,2,4,4,4,3,3,2,2,4,3,2,2,4,3,4,3.2,3.14285714285714,3.25,3.14285714285714
5.2,2,30,3,2,2,4,2,3,4,4,3,3,4,4,2,4,4,4,2,4,4,3,4,3,4,2,4,4,4,2.4,3,3.625,4
5.2,1,33,1,4,1,5,2,2,4,5,1,2,5,5,1,5,4,5,1,4,5,2,4,2,4,4,1,5,5,1.2,3.28571428571429,3.375,4.71428571428571
5.2,1,28,1,2,4,4,1,2,5,5,2,1,5,5,1,2,5,5,1,2,5,2,5,5,5,4,4,5,5,1.2,2.57142857142857,4.375,4.85714285714286
5.2,1,27,2,2,4,4,3,2,2,3,2,2,4,3,2,2,4,4,3,3,4,3,2,3,2,3,2,4,3,2.4,2.42857142857143,3.25,3.14285714285714
5.2,1,38,3,4,3,3,3,2,3,4,1,3,4,3,5,3,4,4,2,4,3,3,4,2,3,4,4,4,4,2.8,3.14285714285714,3.5,3.57142857142857
5.2,2,33,3,4,4,4,2,2,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,4,3.2,3.28571428571429,3.875,3.85714285714286
5.2,1,34,1,2,2,5,2,2,4,4,2,1,3,5,1,2,4,5,1,2,2,3,4,3,4,2,2,4,3,1.4,2,2.875,4.42857142857143
5.2,2,25,1,4,2,4,1,2,2,4,1,1,4,2,1,2,2,4,1,2,1,5,4,2,2,4,4,4,4,1,2.42857142857143,3,3.42857142857143
5.2,1,24,1,2,2,5,2,4,4,3,1,2,3,5,2,4,4,4,1,1,5,2,4,4,2,4,3,2,5,1.4,3,3.5,3.57142857142857
5.2,1,23,1,1,5,5,1,1,5,5,1,5,5,5,1,4,5,5,1,3,5,5,5,2,5,2,5,5,5,1,2.57142857142857,5,5
5.2,2,22,1,2,4,3,2,4,5,4,1,2,4,2,2,5,5,4,1,5,4,5,3,5,3,4,5,4,5,1.4,3.85714285714286,4.625,3.28571428571429
5.2,1,48,1,3,1,5,1,3,4,5,1,1,2,5,1,3,3,4,3,4,1,4,5,3,2,3,5,3,3,1.4,2.85714285714286,2.875,4.14285714285714
5.2,2,32,1,1,1,5,1,5,2,5,1,1,2,5,1,2,4,4,1,2,2,2,3,3,3,2,1,5,2,1,2.28571428571429,2,4.28571428571429
5.2,1,27,1,4,3,5,1,5,5,4,1,2,5,5,1,5,1,4,1,3,3,3,5,4,5,4,2,5,4,1,3.85714285714286,3.25,4.71428571428571
5.2,2,34,1,4,4,4,2,1,4,4,2,1,5,5,2,2,2,4,4,4,4,4,5,2,4,4,4,4,4,2.2,2.57142857142857,3.875,4.28571428571429
5.2,1,24,1,3,4,3,2,3,4,3,4,4,4,3,3,4,4,5,5,4,3,3,4,4,5,4,4,5,4,3,3.71428571428571,3.75,4
5.2,1,31,2,2,2,4,1,2,5,4,2,1,4,4,1,2,4,4,1,5,2,4,5,4,4,4,2,5,5,1.4,2.85714285714286,3.5,4.28571428571429
5.2,1,50,1,3,4,2,3,3,4,2,1,1,4,1,3,3,4,4,1,3,4,5,4,4,2,4,4,3,4,1.8,3,4.125,2.57142857142857
5.2,1,34,5,5,2,4,4,3,2,5,4,5,2,3,4,2,3,5,4,5,2,2,1,2,5,2,3,3,2,4.2,3.42857142857143,2.25,3.71428571428571
5.2,2,33,2,3,1,4,2,2,4,4,2,2,3,4,2,4,3,5,2,4,4,4,3,3,4,3,3,4,4,2,3,3.25,4
5.2,2,31,2,2,3,4,3,2,4,4,2,1,4,4,2,2,3,4,2,2,3,4,4,2,4,1,4,4,4,2.2,1.71428571428571,3.625,4
5.2,1,26,3,3,4,4,1,5,3,4,4,3,4,4,3,4,5,5,4,5,4,4,5,3,4,4,5,4,2,3,3.85714285714286,3.875,4.28571428571429
5.2,1,30,1,1,2,5,1,3,5,5,1,1,2,5,1,3,4,4,1,2,3,2,5,1,3,1,1,5,5,1,1.71428571428571,3,4.57142857142857
5.2,1,27,1,4,3,5,3,2,5,4,1,3,1,4,2,3,5,2,1,2,3,3,5,1,5,3,4,1,5,1.6,2.57142857142857,3.625,3.71428571428571
5.2,1,29,1,4,2,4,2,1,4,3,1,2,3,3,2,2,4,2,2,4,2,4,2,2,2,2,3,4,2,1.6,2.42857142857143,3,2.85714285714286
5.2,1,29,2,5,3,2,2,3,3,4,2,5,5,1,2,4,3,3,2,5,4,3,1,4,2,4,4,2,3,2,4.28571428571429,3.5,2.14285714285714
5.2,2,35,1,4,2,4,1,2,2,5,2,4,1,5,1,5,2,5,1,5,1,2,4,5,4,5,2,2,2,1.2,4.28571428571429,1.75,4.14285714285714
5.2,2,34,4,2,2,4,1,2,2,5,2,1,1,4,1,4,4,5,1,2,2,2,5,2,5,4,2,5,3,1.8,2.42857142857143,2.25,4.71428571428571
5.2,2,46,1,3,2,5,1,4,5,5,1,2,2,5,2,4,4,4,2,3,2,2,5,3,4,2,2,5,4,1.4,3,2.875,4.71428571428571
5.2,1,31,1,3,3,5,2,4,3,5,1,2,4,5,2,4,4,5,3,3,3,2,4,4,3,5,2,4,4,1.8,3.57142857142857,3.125,4.42857142857143
5.2,1,29,1,2,5,5,4,3,2,4,3,3,3,4,1,3,4,3,4,5,1,3,5,2,5,4,1,5,5,2.6,3.14285714285714,3,4.42857142857143
5.2,1,30,3,3,3,2,2,4,2,2,2,3,3,4,3,4,3,3,4,4,2,3,4,3,2,2,2,4,3,2.8,3.28571428571429,2.625,3
5.2,2,31,2,2,2,3,2,2,4,3,2,2,2,2,2,2,4,4,2,2,3,3,3,2,3,3,2,4,4,2,2.14285714285714,3,3.14285714285714
5.2,2,30,4,3,3,4,2,4,4,4,4,2,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3.6,3.42857142857143,3.875,3.71428571428571
5.2,1,22,4,3,3,5,3,3,4,4,3,2,3,5,2,4,4,4,3,3,2,3,3,2,4,3,3,4,4,3,2.85714285714286,3.25,4.14285714285714
5.2,2,22,1,3,3,4,1,4,5,5,1,3,3,4,1,5,2,4,1,2,2,1,5,3,4,1,2,4,4,1,3,2.75,4.28571428571429
5.2,2,22,3,3,3,4,3,4,5,4,3,3,5,4,3,3,5,5,3,3,5,4,3,5,3,4,4,5,5,3,3.57142857142857,4.5,4
5.2,2,38,2,2,2,4,2,2,4,4,2,2,4,4,2,2,4,4,2,2,3,2,4,2,4,3,2,5,4,2,2.14285714285714,3.125,4.14285714285714
5.2,1,29,4,3,3,3,4,3,4,5,4,3,4,3,3,4,4,5,2,4,3,3,2,3,4,4,3,4,4,3.4,3.42857142857143,3.5,3.71428571428571
5.2,2,55,1,2,3,2,1,1,5,1,1,1,3,3,1,4,3,1,1,4,3,3,3,3,1,3,3,3,4,1,2.57142857142857,3.375,2
5.2,1,55,2,3,4,2,2,2,4,4,1,2,3,2,2,4,2,2,2,4,2,3,2,4,2,4,4,1,4,1.8,3.28571428571429,3.25,2.14285714285714
5.2,2,29,5,5,3,5,1,5,1,1,3,5,1,5,3,5,1,5,3,5,1,1,5,5,5,5,1,5,1,3,5,1.25,4.42857142857143
5.2,1,46,2,3,3,5,1,2,5,4,2,2,3,3,1,4,4,5,2,3,4,2,5,2,4,4,3,5,4,1.6,2.85714285714286,3.5,4.42857142857143
5.2,2,42,2,3,2,4,3,2,4,4,2,2,3,4,2,2,3,3,3,4,4,3,3,2,4,2,4,4,3,2.4,2.42857142857143,3.25,3.71428571428571
5.2,2,56,1,4,2,4,2,1,5,5,1,1,4,4,1,2,5,4,3,1,5,1,4,2,4,1,2,4,4,1.6,1.71428571428571,3.5,4.14285714285714
5.2,2,35,2,4,2,4,2,2,4,5,2,3,2,4,2,3,4,3,2,3,3,2,4,3,4,2,2,4,4,2,2.85714285714286,2.875,4
5.2,2,25,2,2,3,4,2,1,4,4,2,1,4,5,2,3,2,2,4,2,4,3,5,1,2,2,2,4,4,2.4,1.71428571428571,3.25,3.71428571428571
5.2,2,26,4,3,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,4,4,3,3,5,3,5,3,3,3,3.4,3.85714285714286,3.125,3
5.2,1,36,4,3,3,4,4,4,3,5,4,5,3,4,5,4,4,4,5,5,5,5,5,3,4,3,3,4,4,4.4,3.85714285714286,3.75,4.28571428571429
5.2,2,29,5,5,4,4,1,4,2,5,3,4,3,4,2,4,4,4,3,4,2,4,4,5,3,5,3,5,2,2.8,4.42857142857143,3,4.14285714285714
5.2,1,35,5,1,1,5,5,1,1,5,5,1,1,5,5,1,5,5,5,1,1,1,5,5,5,5,5,5,1,5,2.14285714285714,2,5
5.2,1,24,1,3,2,3,1,1,4,4,1,2,4,4,1,4,5,4,3,3,4,4,3,1,4,4,4,4,5,1.4,2.57142857142857,4,3.71428571428571
5.2,2,45,2,3,4,4,2,3,3,4,2,3,3,4,3,4,4,4,3,3,3,3,4,3,4,3,3,4,2,2.4,3.14285714285714,3.125,4
5.2,3,31,1,5,5,1,3,3,3,2,3,5,3,1,3,3,5,2,3,1,5,5,2,3,2,5,5,1,3,2.6,3.57142857142857,4.25,1.57142857142857
5.2,1,29,4,4,4,5,4,5,3,4,4,5,4,4,5,2,4,4,3,4,3,4,5,4,2,5,3,5,3,4,4.14285714285714,3.5,4.14285714285714
5.2,1,25,1,4,3,5,2,2,4,5,1,2,4,4,2,2,4,5,2,4,2,3,5,3,5,3,4,4,4,1.6,2.85714285714286,3.5,4.71428571428571
5.2,1,46,3,3,4,2,4,2,4,4,4,3,4,2,4,3,4,3,4,2,4,4,3,3,4,3,4,2,4,3.8,2.71428571428571,4,2.85714285714286
5.2,2,44,2,2,2,2,2,2,3,4,2,2,2,3,2,3,3,2,2,2,2,2,2,4,2,4,2,4,3,2,2.71428571428571,2.375,2.71428571428571
5.2,1,37,2,4,2,4,2,4,4,5,2,2,2,4,2,2,4,5,2,4,4,2,4,2,4,2,4,5,2,2,2.85714285714286,3,4.42857142857143
5.2,1,28,1,4,4,1,1,5,5,4,1,2,5,1,1,5,5,2,1,4,5,5,1,2,2,2,5,1,4,1,3.42857142857143,4.75,1.71428571428571
5.2,1,36,1,4,1,5,1,1,5,5,1,3,5,5,1,4,5,5,1,5,4,3,5,4,5,4,1,5,3,1,3.57142857142857,3.375,5
5.2,1,66,2,1,1,4,1,1,4,4,1,1,2,4,1,3,4,4,1,3,2,1,4,2,4,3,2,3,3,1.2,2,2.375,3.85714285714286
5.2,1,27,2,4,3,3,3,2,4,4,2,3,3,3,2,3,3,4,3,4,3,4,2,4,4,3,3,3,4,2.4,3.28571428571429,3.375,3.28571428571429
5.2,1,30,3,3,2,2,2,2,4,3,2,4,3,2,3,3,3,4,3,3,2,4,4,4,2,3,3,4,3,2.6,3.14285714285714,3,3
5.2,1,38,2,4,2,4,2,2,2,2,3,2,2,3,2,4,1,2,2,2,1,2,4,4,2,4,3,3,2,2.2,3.14285714285714,1.875,2.85714285714286
5.2,1,31,2,4,3,4,2,2,2,2,4,4,3,4,2,4,4,4,4,4,3,2,4,4,4,2,4,2,4,2.8,3.42857142857143,3.125,3.42857142857143
5.2,1,36,2,4,3,4,2,1,4,4,3,4,4,4,3,3,4,4,3,3,3,5,3,3,2,2,4,4,4,2.6,2.85714285714286,3.875,3.57142857142857
5.2,2,57,2,4,3,4,2,1,5,4,2,3,4,3,2,4,5,1,4,2,4,4,4,4,2,5,4,2,4,2.4,3.28571428571429,4.125,2.85714285714286
5.2,1,NA,1,2,3,4,1,2,4,3,1,1,3,3,1,3,4,2,3,3,3,3,3,2,2,3,3,3,4,1.4,2.28571428571429,3.375,2.85714285714286
5.2,2,27,3,3,5,3,4,4,3,5,4,2,4,4,2,3,5,3,4,4,4,2,5,2,4,3,5,5,4,3.4,3,4,4.14285714285714
5.2,2,25,3,3,3,4,1,3,5,4,3,3,4,5,3,3,4,3,3,2,3,3,3,2,4,1,3,3,3,2.6,2.42857142857143,3.5,3.71428571428571
5.2,1,24,2,4,2,2,2,2,4,4,2,2,4,2,2,4,4,4,2,2,4,4,2,2,2,4,4,2,4,2,2.85714285714286,3.75,2.57142857142857
5.2,1,22,4,4,4,3,4,4,3,4,2,2,4,4,4,3,3,3,3,3,3,2,4,4,4,3,4,2,3,3.4,3.28571428571429,3.25,3.42857142857143
5.2,1,26,1,1,4,5,1,4,5,5,1,1,5,5,1,5,4,5,1,1,5,2,5,2,5,4,2,5,5,1,2.57142857142857,4,5
5.2,1,29,1,2,1,4,1,2,1,4,1,2,1,4,1,2,2,4,1,2,2,2,4,2,4,2,2,4,2,1,2,1.625,4
5.3,1,25,2,2,2,5,2,1,4,5,3,2,2,4,2,2,5,4,3,3,2,3,5,4,5,4,2,5,3,2.4,2.57142857142857,2.875,4.71428571428571
5.3,1,24,1,3,5,4,1,1,5,5,1,3,3,2,4,4,4,5,1,3,4,3,5,3,4,4,2,4,4,1.6,3,3.75,4.14285714285714
5.3,2,52,4,4,5,4,2,2,5,4,2,2,4,4,3,3,4,4,2,2,2,3,4,4,4,4,2,3,4,2.6,3,3.625,3.85714285714286
5.3,1,30,1,1,1,3,1,5,5,5,1,1,3,5,1,5,3,4,1,5,2,1,3,3,4,5,2,5,5,1,3.57142857142857,2.75,4.14285714285714
5.3,2,63,2,5,5,4,1,4,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,2.8,4.57142857142857,5,4.71428571428571
5.3,2,28,4,4,2,4,2,1,4,5,4,3,4,3,4,4,4,5,4,3,2,2,2,5,5,4,2,4,3,3.6,3.42857142857143,2.875,4
5.3,1,22,4,2,4,4,2,2,4,4,4,2,4,4,2,3,4,4,3,4,2,2,2,3,2,4,2,4,2,3,2.85714285714286,3,3.42857142857143
5.3,2,23,1,3,3,4,1,2,3,4,1,1,2,3,1,4,2,4,1,2,2,1,4,2,5,3,2,3,2,1,2.42857142857143,2.125,3.85714285714286
5.3,1,22,3,2,3,4,4,2,3,3,3,4,4,2,3,3,3,2,2,3,4,4,3,3,4,2,3,3,3,3,2.71428571428571,3.375,3
5.3,2,26,1,4,2,4,3,5,2,5,2,4,1,5,1,4,4,5,2,4,5,1,5,3,5,1,2,5,5,1.8,3.57142857142857,2.75,4.85714285714286
5.3,1,18,1,5,4,2,1,4,4,4,1,4,1,2,1,5,4,2,1,3,1,1,1,2,1,3,1,4,4,1,3.71428571428571,2.5,2.28571428571429
5.3,1,40,4,4,2,2,3,2,4,5,3,3,4,4,3,3,2,4,4,4,3,4,3,4,4,4,3,4,3,3.4,3.42857142857143,3.125,3.71428571428571
5.3,2,33,2,4,3,4,2,4,4,5,2,4,4,4,2,3,4,4,3,4,4,2,3,4,4,2,2,4,4,2.2,3.57142857142857,3.375,4
5.3,2,53,2,4,2,2,1,1,4,5,3,2,2,5,1,3,4,5,4,3,2,2,3,2,4,2,1,4,4,2.2,2.42857142857143,2.625,4
5.3,2,40,2,3,4,3,4,3,3,3,3,3,3,3,2,3,4,4,3,3,3,3,3,3,4,3,3,3,3,2.8,3,3.25,3.28571428571429
5.3,2,18,2,4,2,2,2,4,5,3,4,3,5,2,2,4,4,3,4,5,4,5,3,5,4,5,3,3,2,2.8,4.28571428571429,3.75,2.85714285714286
5.3,1,28,2,4,3,4,2,2,4,4,2,3,3,2,2,4,4,3,4,3,3,4,3,3,4,3,2,3,4,2.4,3.14285714285714,3.375,3.28571428571429
5.3,2,25,4,5,2,4,2,3,4,5,4,4,4,3,3,2,5,5,2,3,4,1,2,4,4,5,4,4,4,3,3.71428571428571,3.5,3.85714285714286
5.3,2,60,2,3,3,4,4,3,2,3,4,3,4,3,4,4,3,2,3,3,2,3,4,4,4,3,2,2,4,3.4,3.28571428571429,2.875,3.14285714285714
5.3,1,45,2,3,2,1,2,2,2,3,2,3,4,2,3,3,4,3,2,3,2,2,2,3,2,3,3,2,2,2.2,2.85714285714286,2.625,2.14285714285714
