"NO","gender","age","FD1","SD2","UP3","FW4","FD5","SD6","UP7","FW8","FD9","SD10","UP11","FW12","FD13","SD14","UP15","FW16","FD17","SD18","UP19","UP20","FW21","SD22","FW23","SD24","UP25","FW26","UP27","FD","SD","UP","FW"
5.3,2,31,1,3,2,4,2,1,3,5,1,2,1,2,1,1,4,4,3,1,1,2,5,4,5,3,1,4,5,1.6,2.14285714285714,2.375,4.14285714285714
5.3,1,44,2,3,3,4,2,2,4,4,2,3,3,4,2,3,4,5,2,4,3,2,4,4,5,3,2,4,3,2,3.14285714285714,3,4.28571428571429
5.3,2,45,1,3,3,5,1,1,3,5,3,3,2,5,1,5,3,5,3,3,1,3,3,5,3,5,3,5,2,1.8,3.57142857142857,2.5,4.42857142857143
5.3,2,24,3,2,5,2,3,1,4,2,3,1,4,2,4,4,4,1,2,1,3,4,2,4,1,4,3,1,5,3,2.42857142857143,4,1.57142857142857
5.3,1,34,1,4,2,4,2,3,4,4,2,2,2,5,2,3,2,4,2,4,2,2,4,4,4,4,2,4,4,1.8,3.42857142857143,2.5,4.14285714285714
5.3,2,32,3,3,4,5,3,3,4,5,3,1,3,4,3,1,5,5,3,4,3,3,5,1,5,1,3,5,4,3,2,3.625,4.85714285714286
5.3,1,26,1,3,2,4,1,4,3,5,1,2,1,1,1,4,3,5,1,1,2,3,4,3,5,2,2,4,2,1,2.71428571428571,2.25,4
5.3,2,31,4,3,2,1,5,1,1,2,5,3,1,1,1,1,4,1,5,1,1,4,2,2,5,1,2,2,5,4,1.71428571428571,2.5,2
5.3,1,34,2,2,3,5,2,2,3,5,2,1,3,4,2,2,3,5,2,2,3,3,4,3,4,2,2,4,3,2,2,2.875,4.42857142857143
5.3,2,40,2,2,4,3,2,2,5,5,1,2,3,4,2,3,4,4,2,2,4,3,3,3,3,4,2,4,4,1.8,2.57142857142857,3.625,3.71428571428571
5.3,1,24,1,4,5,5,1,4,3,5,1,2,2,4,1,4,2,5,1,3,3,3,4,4,4,3,2,4,2,1,3.42857142857143,2.75,4.42857142857143
5.3,2,37,1,4,4,4,1,2,5,4,1,2,4,4,2,2,4,4,1,3,4,4,4,2,4,3,3,4,5,1.2,2.57142857142857,4.125,4
5.3,2,29,3,4,5,3,2,3,2,4,3,3,4,2,3,2,5,5,3,2,3,2,3,2,3,4,3,3,3,2.8,2.85714285714286,3.375,3.28571428571429
5.3,2,35,3,4,4,4,3,3,4,4,3,2,4,3,3,4,4,5,3,4,4,3,3,3,3,4,3,3,4,3,3.42857142857143,3.75,3.57142857142857
5.3,2,23,1,3,5,4,1,1,4,5,1,2,4,5,3,5,3,2,1,3,2,4,4,4,4,4,2,4,4,1.4,3.14285714285714,3.5,4
5.3,2,53,1,3,4,5,1,2,1,5,1,1,3,5,1,1,5,5,2,3,5,2,5,2,5,2,1,5,4,1.2,2,3.125,5
5.3,1,26,1,3,4,5,1,1,4,5,1,2,4,5,4,4,4,2,2,4,2,4,5,1,5,3,4,3,3,1.8,2.57142857142857,3.625,4.28571428571429
5.3,1,40,1,4,3,4,1,4,5,5,1,4,4,4,2,4,4,4,1,4,4,1,4,3,4,2,1,4,4,1.2,3.57142857142857,3.25,4.14285714285714
5.3,2,20,3,1,1,3,2,1,5,5,3,1,1,2,3,1,5,5,4,1,1,1,3,1,5,1,1,4,3,3,1,2.25,3.85714285714286
5.3,2,33,1,3,4,5,1,3,5,5,1,3,5,4,4,3,5,4,1,2,4,4,5,4,4,4,4,4,5,1.6,3.14285714285714,4.5,4.42857142857143
5.3,2,43,2,5,2,4,2,2,4,4,2,3,4,4,4,3,4,4,2,3,2,2,2,4,3,2,2,3,4,2.4,3.14285714285714,3,3.42857142857143
5.3,2,45,3,4,4,2,3,2,5,3,3,4,4,2,5,5,4,3,5,4,3,5,3,4,3,4,5,4,5,3.8,3.85714285714286,4.375,2.85714285714286
5.3,1,31,1,4,5,3,1,2,5,2,1,4,5,1,2,4,4,2,1,3,5,3,3,1,1,1,5,2,5,1.2,2.71428571428571,4.625,2
5.3,2,30,3,4,3,2,2,2,5,3,2,3,4,3,3,3,4,3,3,5,3,4,3,3,1,3,3,1,3,2.6,3.28571428571429,3.625,2.28571428571429
5.3,2,44,3,1,1,1,1,1,2,4,3,1,1,4,1,1,5,4,5,1,1,1,4,5,2,5,1,4,1,2.6,2.14285714285714,1.625,3.28571428571429
5.3,2,31,2,4,4,4,1,1,5,5,2,2,4,4,3,4,5,5,4,2,5,3,3,4,4,1,4,4,5,2.4,2.57142857142857,4.375,4.14285714285714
5.3,1,23,2,5,5,2,4,4,5,3,2,5,5,3,4,5,3,4,2,4,4,5,2,5,4,5,5,4,2,2.8,4.71428571428571,4.25,3.14285714285714
5.3,2,22,3,4,3,2,2,3,2,4,2,3,5,4,2,4,4,4,3,4,3,3,2,4,4,3,2,4,3,2.4,3.57142857142857,3.125,3.42857142857143
5.3,2,33,4,2,3,5,5,1,5,5,5,2,2,5,4,4,4,5,3,5,3,1,5,2,5,2,2,5,5,4.2,2.57142857142857,3.125,5
5.3,2,25,1,2,4,1,1,1,3,2,1,1,3,2,1,1,5,3,1,1,1,5,4,1,2,3,2,2,2,1,1.42857142857143,3.125,2.28571428571429
5.3,1,25,2,3,1,2,2,1,5,5,2,3,4,3,2,3,4,5,1,2,2,3,2,3,3,3,2,2,3,1.8,2.57142857142857,3,3.14285714285714
5.3,1,24,2,4,2,5,1,2,4,4,2,3,4,2,2,3,4,4,2,4,3,4,4,3,4,3,4,3,4,1.8,3.14285714285714,3.625,3.71428571428571
5.3,1,20,1,4,3,5,1,5,4,4,1,2,3,4,4,4,4,3,1,4,4,1,4,4,3,4,3,3,5,1.6,3.85714285714286,3.375,3.71428571428571
5.3,1,34,1,5,5,5,1,4,5,5,1,3,4,4,1,4,5,5,1,3,5,5,5,3,5,2,3,3,5,1,3.42857142857143,4.625,4.57142857142857
5.3,1,21,2,4,4,2,2,1,5,3,2,4,4,4,2,4,4,3,2,4,4,4,1,4,2,2,4,4,5,2,3.28571428571429,4.25,2.71428571428571
5.3,1,21,1,4,3,4,2,3,5,5,1,4,4,4,2,4,4,4,1,3,4,1,3,3,4,4,3,4,4,1.4,3.57142857142857,3.5,4
5.3,2,34,3,4,4,4,2,2,4,4,4,4,5,5,2,4,4,4,4,3,4,4,4,3,4,4,3,2,4,3,3.42857142857143,4,3.85714285714286
5.3,2,47,2,3,3,4,2,2,4,4,2,2,4,3,3,4,4,4,3,2,3,3,3,3,3,4,4,4,5,2.4,2.85714285714286,3.75,3.57142857142857
5.3,1,27,1,4,2,3,2,3,3,5,2,3,4,4,2,3,4,5,2,2,3,3,3,4,5,4,2,4,5,1.8,3.28571428571429,3.25,4.14285714285714
5.3,1,36,1,4,3,1,1,1,4,3,1,3,2,2,1,1,3,1,2,2,1,3,4,3,1,2,3,1,4,1.2,2.28571428571429,2.875,1.85714285714286
5.3,1,27,3,3,2,5,1,1,3,5,3,3,3,5,3,3,2,4,5,3,3,3,5,4,5,3,2,5,5,3,2.85714285714286,2.875,4.85714285714286
5.3,2,20,4,3,3,4,2,4,3,3,5,3,5,4,3,4,5,4,5,3,3,4,5,2,4,2,4,2,3,3.8,3,3.75,3.71428571428571
5.3,1,18,3,5,5,3,2,2,4,3,1,2,2,4,1,4,3,1,2,3,3,3,3,4,5,3,2,4,5,1.8,3.28571428571429,3.375,3.28571428571429
5.3,2,23,1,5,2,4,2,4,4,5,1,2,2,4,1,4,4,4,1,4,2,2,3,4,4,4,2,2,3,1.2,3.85714285714286,2.625,3.71428571428571
5.3,2,27,3,4,2,4,3,2,4,5,3,2,3,4,3,4,3,4,4,3,2,2,4,4,2,3,2,4,4,3.2,3.14285714285714,2.75,3.85714285714286
5.3,1,27,1,4,3,2,2,2,3,5,1,3,2,5,2,4,4,5,3,4,2,3,4,4,3,4,3,5,2,1.8,3.57142857142857,2.75,4.14285714285714
5.3,1,30,2,3,2,3,2,1,4,5,2,2,3,4,3,4,4,4,3,3,3,4,4,2,3,2,4,3,5,2.4,2.42857142857143,3.625,3.71428571428571
5.3,1,24,1,3,2,4,1,3,4,4,1,2,2,4,2,5,2,4,2,5,2,4,4,4,4,3,2,4,3,1.4,3.57142857142857,2.625,4
5.3,1,22,2,4,3,3,2,2,2,3,2,2,2,2,3,2,3,3,2,3,2,3,3,2,3,3,2,3,4,2.2,2.57142857142857,2.625,2.85714285714286
5.3,1,26,2,3,3,4,3,1,5,5,2,2,4,3,3,4,4,5,3,1,3,2,4,3,5,3,3,2,5,2.6,2.42857142857143,3.625,4
5.3,1,41,2,4,3,2,2,3,3,4,3,4,3,4,3,3,3,4,2,3,3,3,2,3,4,3,3,3,3,2.4,3.28571428571429,3,3.28571428571429
5.3,1,51,1,4,3,4,2,4,5,5,2,3,4,4,2,4,4,5,2,4,2,3,4,4,4,3,2,3,4,1.8,3.71428571428571,3.375,4.14285714285714
5.3,2,42,1,4,3,5,1,3,2,5,1,4,2,4,4,4,2,4,3,2,2,2,4,4,4,5,1,3,4,2,3.71428571428571,2.25,4.14285714285714
5.3,2,32,4,3,2,4,3,3,5,4,3,3,4,4,3,2,5,4,4,3,4,2,5,3,3,3,1,4,3,3.4,2.85714285714286,3.25,4
5.3,1,21,2,3,2,4,2,2,4,4,2,2,3,4,2,4,3,3,2,2,3,2,4,4,4,4,2,4,4,2,3,2.875,3.85714285714286
5.3,2,25,1,5,4,5,1,3,4,4,1,2,2,3,1,4,3,5,1,4,3,2,5,3,3,4,3,4,4,1,3.57142857142857,3.125,4.14285714285714
5.3,2,42,2,4,1,4,2,1,3,5,2,1,2,4,3,3,2,3,3,3,2,2,4,3,4,3,2,5,3,2.4,2.57142857142857,2.125,4.14285714285714
5.3,1,30,1,3,1,4,1,1,5,3,1,4,4,1,1,4,2,2,4,1,3,4,3,3,2,4,3,2,4,1.6,2.85714285714286,3.25,2.42857142857143
5.3,1,43,2,4,3,4,2,1,5,5,2,4,2,3,2,2,4,4,3,3,2,3,4,4,5,2,2,3,4,2.2,2.85714285714286,3.125,4
5.3,1,28,2,4,4,3,2,4,4,5,2,2,4,4,2,3,4,5,2,3,3,2,4,4,5,3,2,4,4,2,3.28571428571429,3.375,4.28571428571429
5.3,1,25,2,2,4,3,3,2,3,4,2,3,3,4,4,5,4,3,2,2,2,3,3,4,3,3,1,2,2,2.6,3,2.75,3.14285714285714
5.3,2,29,1,3,4,5,1,1,5,5,2,3,2,5,1,5,2,5,2,4,2,2,4,4,4,1,2,5,2,1.4,3,2.625,4.71428571428571
5.3,1,69,2,4,4,4,2,4,5,5,2,4,2,4,2,4,4,5,2,4,3,3,2,4,5,4,2,2,3,2,4,3.25,3.85714285714286
5.3,1,31,1,3,4,2,1,1,5,4,1,2,5,4,1,3,4,1,1,1,5,1,3,4,2,4,2,2,5,1,2.57142857142857,3.875,2.57142857142857
5.3,2,37,1,3,4,2,3,1,5,4,2,2,4,2,3,1,5,4,3,2,3,2,1,4,3,4,3,3,5,2.4,2.42857142857143,3.875,2.71428571428571
5.3,2,47,1,4,1,5,1,1,3,5,2,1,3,5,1,3,4,5,3,4,2,3,5,4,5,4,2,5,2,1.6,3,2.5,5
5.3,1,35,1,3,3,3,1,1,5,3,1,3,4,2,3,3,5,3,2,4,2,4,2,4,4,4,4,2,4,1.6,3.14285714285714,3.875,2.71428571428571
5.3,1,32,2,4,3,4,1,1,4,4,1,2,3,4,2,3,5,4,2,3,4,3,4,2,4,2,2,3,4,1.6,2.42857142857143,3.5,3.85714285714286
5.3,1,52,3,3,3,5,1,1,3,5,3,3,2,5,2,2,4,4,2,2,3,3,5,3,4,2,2,5,3,2.2,2.28571428571429,2.875,4.71428571428571
5.3,2,36,4,4,3,3,3,4,3,5,3,4,4,3,3,4,3,3,4,5,3,3,2,3,3,4,3,4,2,3.4,4,3,3.28571428571429
5.3,1,26,1,3,4,5,1,4,3,5,1,2,4,5,1,4,3,5,2,5,4,3,3,4,5,4,3,4,4,1.2,3.71428571428571,3.5,4.57142857142857
5.3,2,42,3,4,3,4,2,2,4,5,3,3,3,4,4,4,4,5,4,4,4,3,4,4,5,2,2,4,4,3.2,3.28571428571429,3.375,4.42857142857143
5.3,1,44,1,4,3,4,3,2,2,4,1,3,4,4,3,4,4,4,2,3,3,1,5,3,4,3,2,4,3,2,3.14285714285714,2.75,4.14285714285714
5.3,1,38,3,3,1,4,3,1,3,5,3,1,3,2,4,1,4,4,4,2,3,1,1,3,4,3,1,2,4,3.4,2,2.5,3.14285714285714
5.3,1,34,2,2,3,3,2,2,4,4,2,2,4,2,2,2,4,4,2,3,4,2,2,2,3,2,4,2,2,2,2.14285714285714,3.375,2.85714285714286
5.3,2,49,2,4,4,2,3,3,4,4,2,4,4,2,3,3,4,3,2,2,4,4,2,2,3,4,4,2,4,2.4,3.14285714285714,4,2.57142857142857
5.3,2,52,3,4,5,1,3,1,2,1,1,1,5,2,4,4,2,1,4,4,3,5,1,3,2,4,5,3,4,3,3,3.875,1.57142857142857
5.3,1,38,3,3,3,4,2,1,5,4,4,3,5,4,2,2,4,4,2,5,4,4,4,4,4,2,3,4,4,2.6,2.85714285714286,4,4
5.3,1,34,1,2,2,3,1,1,5,3,1,1,3,3,1,3,4,3,1,2,1,2,4,2,3,2,2,2,5,1,1.85714285714286,3,3
5.3,1,25,3,4,3,2,3,2,2,3,1,3,2,1,2,4,2,3,4,4,2,3,2,3,2,2,3,2,2,2.6,3.14285714285714,2.375,2.14285714285714
5.3,2,30,3,5,5,1,3,5,2,4,2,5,4,1,1,4,2,1,1,4,4,4,1,2,2,4,4,2,4,2,4.14285714285714,3.625,1.71428571428571
5.3,1,34,2,2,1,4,2,2,3,4,2,2,3,4,2,4,3,4,3,3,3,2,4,4,4,4,2,4,3,2.2,3,2.5,4
5.3,2,27,1,3,3,3,1,1,4,5,1,3,3,2,1,3,4,4,1,2,2,3,3,3,4,3,3,4,4,1,2.57142857142857,3.25,3.57142857142857
5.3,1,27,1,3,3,3,2,2,4,4,1,2,2,3,2,4,4,4,1,3,3,2,3,4,3,4,4,2,4,1.4,3.14285714285714,3.25,3.14285714285714
5.3,1,52,2,3,4,2,2,2,4,5,3,3,3,4,3,3,5,4,4,2,2,4,4,2,4,3,2,3,4,2.8,2.57142857142857,3.5,3.71428571428571
5.3,1,23,2,4,2,3,2,2,3,4,2,4,4,3,3,3,4,3,2,3,2,3,3,3,2,3,2,3,3,2.2,3.14285714285714,2.875,3
5.3,2,18,1,1,2,4,1,4,1,5,1,1,4,4,2,2,4,3,1,3,2,4,5,2,3,3,1,4,4,1.2,2.28571428571429,2.75,4
5.3,2,32,5,3,3,3,3,1,5,5,5,1,3,3,2,3,5,5,5,2,1,1,5,3,5,2,3,3,5,4,2.14285714285714,3.25,4.14285714285714
5.3,2,23,2,4,4,3,2,1,5,4,2,3,5,3,3,4,5,4,4,3,5,5,3,2,2,4,4,3,4,2.6,3,4.625,3.14285714285714
5.3,2,36,1,4,2,3,1,1,5,5,1,1,2,4,1,3,3,5,1,2,3,3,3,3,4,4,2,4,1,1,2.57142857142857,2.625,4
5.3,1,31,1,2,3,3,1,4,3,4,1,2,3,4,1,4,3,4,1,2,3,3,4,3,4,4,3,4,4,1,3,3.125,3.85714285714286
5.3,1,27,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,2.6,2.85714285714286,2.875,3.14285714285714
5.3,1,42,1,4,3,3,2,3,5,4,1,3,4,3,3,4,3,4,3,4,3,4,3,3,3,3,3,2,5,2,3.42857142857143,3.75,3.14285714285714
5.3,2,34,3,4,4,3,3,1,5,4,3,3,4,4,3,3,4,4,4,4,4,4,3,3,3,3,4,3,3,3.2,3,4,3.42857142857143
5.3,1,23,2,3,2,4,2,3,3,5,1,3,2,4,2,3,2,4,2,3,1,3,4,4,3,3,4,4,2,1.8,3.14285714285714,2.375,4
5.3,1,25,5,3,2,3,5,4,4,4,5,3,4,1,3,3,4,2,3,5,3,1,1,3,2,2,2,2,2,4.2,3.28571428571429,2.75,2.14285714285714
5.3,2,24,1,4,2,3,2,1,3,4,1,3,2,4,2,4,4,3,1,5,2,3,4,5,4,4,2,4,4,1.4,3.71428571428571,2.75,3.71428571428571
5.3,2,22,1,4,4,3,1,1,2,4,1,3,1,2,3,4,3,4,2,2,2,4,3,2,4,4,4,3,4,1.6,2.85714285714286,3,3.28571428571429
5.3,2,29,1,4,5,3,1,2,3,5,1,2,2,3,2,4,5,4,2,3,2,3,5,4,4,4,2,2,4,1.4,3.28571428571429,3.25,3.71428571428571
5.3,1,29,3,3,3,4,3,2,4,4,3,2,3,4,3,2,3,4,2,4,3,3,4,2,4,3,2,4,3,2.8,2.57142857142857,3,4
5.3,2,20,1,2,3,2,2,2,3,4,2,2,2,4,2,3,3,3,3,3,3,4,3,4,3,4,3,4,3,2,2.85714285714286,3,3.28571428571429
5.3,1,42,1,2,3,2,1,1,5,5,1,3,4,5,3,2,5,5,3,1,3,3,4,1,5,1,3,4,5,1.8,1.57142857142857,3.875,4.28571428571429
5.3,2,30,2,4,3,4,1,2,4,3,1,2,4,3,1,3,4,2,2,3,3,3,3,3,2,3,2,4,4,1.4,2.85714285714286,3.375,3
5.3,1,50,1,3,3,4,1,2,5,5,1,1,3,3,3,3,4,5,1,2,4,3,5,2,4,3,2,3,4,1.4,2.28571428571429,3.5,4.14285714285714
5.3,1,66,3,4,2,4,1,2,5,5,4,1,4,2,2,1,3,5,2,2,2,3,4,2,4,1,1,3,4,2.4,1.85714285714286,3,3.85714285714286
5.3,2,37,3,4,1,4,4,5,4,5,4,4,3,4,3,4,5,4,5,5,4,4,2,4,4,4,4,4,4,3.8,4.28571428571429,3.625,3.85714285714286
5.3,1,37,1,3,3,4,3,3,4,4,3,3,3,3,4,4,5,5,3,4,3,3,4,4,4,4,3,4,3,2.8,3.57142857142857,3.375,4
5.3,1,26,1,4,1,5,1,2,5,5,1,2,3,5,1,4,4,5,1,4,2,1,5,4,5,4,2,5,5,1,3.42857142857143,2.875,5
5.3,2,35,1,3,3,4,1,2,4,4,1,2,4,4,2,3,4,2,4,3,4,4,5,3,4,3,4,4,4,1.8,2.71428571428571,3.875,3.85714285714286
5.3,2,32,3,2,2,4,4,4,1,5,3,1,2,5,2,2,4,5,4,3,3,3,3,2,4,4,2,4,2,3.2,2.57142857142857,2.375,4.28571428571429
5.3,1,34,1,1,1,3,1,2,4,3,1,1,3,4,1,2,3,3,1,1,2,1,2,2,2,2,1,2,3,1,1.57142857142857,2.25,2.71428571428571
5.3,2,36,4,5,4,5,3,3,5,5,3,5,5,5,2,4,5,5,2,3,4,4,5,3,5,4,3,5,3,2.8,3.85714285714286,4.125,5
5.3,2,34,2,4,3,5,1,2,5,5,2,2,4,5,2,4,5,5,4,4,4,3,5,3,4,2,3,5,5,2.2,3,4,4.85714285714286
5.3,2,59,3,2,3,4,3,2,4,5,3,2,4,3,2,2,3,5,4,3,4,4,5,2,5,2,4,4,5,3,2.14285714285714,3.875,4.42857142857143
5.3,2,46,4,3,2,3,4,1,5,5,4,2,4,4,2,3,4,5,4,4,3,4,4,3,4,2,4,3,5,3.6,2.57142857142857,3.875,4
5.3,1,19,1,1,3,3,2,3,4,4,1,1,4,3,3,3,4,4,1,1,3,4,4,2,3,3,3,3,4,1.6,2,3.625,3.42857142857143
5.3,2,33,1,4,4,3,3,1,5,3,3,4,4,4,3,4,4,2,4,3,4,5,3,4,3,5,5,2,4,2.8,3.57142857142857,4.375,2.85714285714286
5.3,1,43,2,3,2,4,2,2,2,4,2,3,2,3,2,3,3,5,3,3,2,3,4,3,4,3,3,3,3,2.2,2.85714285714286,2.5,3.85714285714286
5.3,1,22,2,3,4,1,2,1,4,5,1,3,3,4,4,2,4,3,2,3,4,4,2,3,3,4,4,4,5,2.2,2.71428571428571,4,3.14285714285714
5.3,2,28,4,5,2,3,4,5,4,5,4,3,2,5,3,4,3,5,4,5,2,3,4,5,5,4,4,3,4,3.8,4.42857142857143,3,4.28571428571429
5.3,1,22,5,4,2,2,4,5,5,4,5,2,4,4,4,2,4,4,4,4,3,4,2,4,4,4,3,4,5,4.4,3.57142857142857,3.75,3.42857142857143
5.3,2,42,1,3,3,4,1,1,5,5,1,1,4,4,1,1,3,4,1,1,2,2,5,4,4,4,2,3,5,1,2.14285714285714,3.25,4.14285714285714
5.3,2,32,3,4,3,2,4,3,4,2,3,2,2,4,3,4,4,4,3,4,2,4,4,3,4,4,4,3,2,3.2,3.42857142857143,3.125,3.28571428571429
5.3,2,23,1,3,3,3,1,2,3,3,1,2,3,4,1,4,3,3,2,3,2,2,2,3,3,4,3,4,3,1.2,3,2.75,3.14285714285714
5.3,2,23,2,4,3,4,1,2,5,4,1,4,2,3,1,5,1,4,4,4,1,4,4,4,3,4,1,3,2,1.8,3.85714285714286,2.375,3.57142857142857
5.3,2,36,2,5,4,4,2,3,2,4,2,3,3,4,2,4,3,4,2,3,3,2,4,3,4,4,3,4,2,2,3.57142857142857,2.75,4
5.3,1,25,3,4,4,5,3,1,5,4,3,4,4,5,4,4,4,4,3,3,4,4,5,4,4,4,4,5,4,3.2,3.42857142857143,4.125,4.57142857142857
5.3,2,65,2,4,3,4,1,1,5,4,1,2,2,4,1,5,2,4,2,2,1,4,4,5,4,4,1,4,4,1.4,3.28571428571429,2.75,4
5.3,1,32,2,3,3,4,2,2,4,4,2,3,3,4,2,3,4,4,2,3,4,3,4,3,4,3,3,4,4,2,2.85714285714286,3.5,4
