"NO","gender","age","FD1","FD5","FD9","FD13","FD17","SD2","SD6","SD10","SD14","SD18","SD22","SD24","UP3","UP7","UP11","UP15","UP19","UP20","UP25","UP27","FW4","FW8","FW12","FW16","FW21","FW23","FW26","FD","SD","UP","FW"
6,1,24,4,2,2,3,2,3,1,2,3,2,3,3,3,4,4,3,4,4,4,4,2,4,3,3,2,3,2,2.6,2.42857142857143,3.75,2.71428571428571
6,1,37,3,3,2,2,2,4,5,4,3,3,4,4,5,5,3,4,3,4,2,3,1,5,4,3,2,2,3,2.4,3.85714285714286,3.625,2.85714285714286
6,1,23,4,2,1,2,1,2,1,2,2,4,2,4,2,3,2,3,3,4,2,4,3,3,2,2,3,2,3,2,2.42857142857143,2.875,2.57142857142857
6,1,37,2,2,1,1,1,2,2,1,3,2,4,2,2,5,4,4,3,3,1,5,4,3,4,3,2,3,3,1.4,2.28571428571429,3.375,3.14285714285714
6,1,23,4,1,1,4,1,3,3,3,3,4,3,3,2,5,5,2,5,5,1,5,3,4,5,2,3,3,2,2.2,3.14285714285714,3.75,3.14285714285714
6,1,19,1,4,5,2,1,2,1,1,5,2,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,2.6,2.85714285714286,4.875,4.71428571428571
6,1,37,2,1,1,2,1,1,2,2,3,4,3,3,4,1,4,3,4,4,3,5,4,3,3,3,2,3,2,1.4,2.57142857142857,3.5,2.85714285714286
6,1,36,2,1,2,3,1,2,4,4,4,2,5,2,3,4,2,4,4,4,2,4,4,4,4,4,4,4,4,1.8,3.28571428571429,3.375,4
6,1,20,4,2,2,2,4,2,2,1,4,4,4,4,4,4,3,3,5,4,3,4,1,4,3,4,2,3,3,2.8,3,3.75,2.85714285714286
6,1,20,1,1,1,1,1,2,1,1,3,2,1,3,2,2,4,4,3,3,2,5,3,3,3,1,1,2,2,1,1.85714285714286,3.125,2.14285714285714
6,1,20,2,1,1,2,2,3,3,2,2,2,3,2,3,4,3,3,3,3,3,3,4,4,2,3,3,2,4,1.6,2.42857142857143,3.125,3.14285714285714
6,1,23,1,1,1,4,1,3,3,1,4,2,3,3,2,3,2,4,3,4,2,3,4,3,3,3,4,3,3,1.6,2.71428571428571,2.875,3.28571428571429
6,1,22,4,2,1,3,4,2,1,2,2,3,2,3,1,5,5,4,4,4,2,5,1,4,4,3,3,2,4,2.8,2.14285714285714,3.75,3
6,1,21,2,2,1,2,1,4,3,1,2,3,2,2,2,5,2,2,3,3,1,5,3,4,4,4,4,2,5,1.6,2.42857142857143,2.875,3.71428571428571
6,1,18,2,2,2,2,4,2,2,2,4,3,4,4,3,4,3,3,3,4,2,4,4,4,3,3,3,3,3,2.4,3,3.25,3.28571428571429
6,1,23,2,2,1,3,5,3,4,1,4,4,4,4,4,4,3,3,2,2,2,2,4,2,4,5,4,4,4,2.6,3.42857142857143,2.75,3.85714285714286
6,1,18,3,1,2,2,3,4,1,2,4,3,4,4,3,2,4,3,3,3,3,3,2,3,5,2,2,2,4,2.2,3.14285714285714,3,2.85714285714286
6,1,21,3,1,1,1,2,5,1,3,1,4,1,3,5,5,3,3,3,4,2,5,2,5,2,4,2,3,3,1.6,2.57142857142857,3.75,3
6,1,24,3,1,3,2,3,4,4,2,2,2,3,4,2,5,2,3,1,3,3,5,4,4,3,3,4,1,2,2.4,3,3,3
6,1,22,4,3,3,4,3,4,4,3,4,4,3,4,3,5,4,4,4,2,3,4,2,4,3,3,4,4,3,3.4,3.71428571428571,3.625,3.28571428571429
6,1,20,2,2,1,2,2,2,2,1,4,3,4,4,3,4,2,3,3,4,3,4,2,2,2,3,3,3,3,1.8,2.85714285714286,3.25,2.57142857142857
6,1,20,3,3,2,4,2,2,2,2,4,3,2,5,3,4,4,3,4,5,3,4,2,3,4,2,3,3,3,2.8,2.85714285714286,3.75,2.85714285714286
6,1,20,4,3,3,2,2,2,2,2,3,4,2,3,5,5,3,3,4,3,3,4,2,4,3,2,3,2,2,2.8,2.57142857142857,3.75,2.57142857142857
6,1,23,2,2,3,3,4,3,3,3,4,3,4,3,4,4,4,4,3,4,3,4,2,3,3,2,3,2,2,2.8,3.28571428571429,3.75,2.42857142857143
6,1,19,2,1,1,3,1,3,3,1,3,3,4,4,3,4,4,4,2,4,1,2,3,5,5,4,4,4,3,1.6,3,3,4
6,1,25,2,1,2,1,2,3,1,2,2,2,1,2,2,2,2,2,2,3,2,3,2,2,4,2,2,2,2,1.6,1.85714285714286,2.25,2.28571428571429
6,1,26,1,1,1,3,2,2,3,1,2,4,3,4,2,3,2,4,3,1,3,3,5,5,5,3,5,2,5,1.6,2.71428571428571,2.625,4.28571428571429
6,1,24,2,1,2,1,1,3,2,2,4,1,5,4,2,4,2,3,1,3,2,3,4,3,4,4,4,2,2,1.4,3,2.5,3.28571428571429
6,1,22,3,3,3,4,3,3,4,3,3,3,4,3,3,5,4,4,3,3,3,3,3,4,5,3,3,3,3,3.2,3.28571428571429,3.5,3.42857142857143
6,1,22,3,1,2,2,1,3,1,3,3,3,2,3,2,5,3,3,4,4,3,4,2,2,4,3,3,3,2,1.8,2.57142857142857,3.5,2.71428571428571
6,1,23,1,1,3,3,2,4,1,3,2,3,3,4,3,5,3,4,2,3,2,3,3,3,4,2,2,4,2,2,2.85714285714286,3.125,2.85714285714286
6,1,37,3,2,2,2,2,3,2,3,2,4,3,3,3,4,3,2,2,4,2,4,2,4,2,2,2,2,2,2.2,2.85714285714286,3,2.28571428571429
6,1,22,4,1,1,1,1,2,1,1,1,3,5,4,2,4,3,2,3,4,2,3,4,2,4,3,4,3,5,1.6,2.42857142857143,2.875,3.57142857142857
6,1,22,2,3,2,2,2,3,4,3,4,3,3,2,2,4,3,4,3,3,3,5,3,3,3,4,3,4,4,2.2,3.14285714285714,3.375,3.42857142857143
6,1,40,2,2,1,2,1,4,2,2,3,2,2,2,2,3,4,3,2,2,2,4,3,2,3,2,2,2,3,1.6,2.42857142857143,2.75,2.42857142857143
6,1,28,1,2,1,4,1,3,2,1,3,4,4,4,3,3,2,3,2,3,2,5,3,4,5,3,1,2,5,1.8,3,2.875,3.28571428571429
6,1,20,3,2,2,4,4,4,1,2,4,5,4,5,4,5,4,4,5,5,2,4,2,4,4,3,3,4,3,3,3.57142857142857,4.125,3.28571428571429
6,1,25,5,4,5,5,3,4,1,3,3,5,4,4,2,5,5,5,5,4,3,4,2,5,5,5,2,4,2,4.4,3.42857142857143,4.125,3.57142857142857
6,1,41,2,1,1,1,1,1,1,1,3,2,2,2,1,4,3,2,1,3,1,3,4,3,4,3,4,3,4,1.2,1.71428571428571,2.25,3.57142857142857
6,1,21,3,4,1,3,1,3,2,3,3,2,4,4,3,4,2,3,3,3,3,4,2,3,3,1,2,3,3,2.4,3,3.125,2.42857142857143
6,1,21,3,2,2,2,2,3,2,2,3,4,4,4,2,3,4,4,3,4,3,3,4,4,5,4,3,3,2,2.2,3.14285714285714,3.25,3.57142857142857
6,1,23,1,3,2,3,2,2,3,2,3,3,3,3,4,4,3,4,3,1,1,3,1,1,2,1,4,4,3,2.2,2.71428571428571,2.875,2.28571428571429
6,1,25,3,2,3,3,2,4,3,3,3,4,3,4,2,5,3,3,3,2,3,4,4,4,4,3,4,3,4,2.6,3.42857142857143,3.125,3.71428571428571
6,1,35,1,1,1,3,1,3,4,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,3,1.4,3.14285714285714,3,3.85714285714286
6,1,25,1,1,1,1,1,3,3,3,3,5,4,3,1,3,1,5,3,1,1,2,4,4,5,5,3,4,4,1,3.42857142857143,2.125,4.14285714285714
6,1,21,2,2,2,3,2,3,1,2,4,2,4,2,2,2,3,3,3,2,2,3,2,4,3,3,2,2,3,2.2,2.57142857142857,2.5,2.71428571428571
6,1,37,3,2,2,3,2,3,2,2,2,3,3,2,3,4,3,3,3,4,2,4,4,4,4,4,4,4,2,2.4,2.42857142857143,3.25,3.71428571428571
6,1,30,5,4,1,2,2,4,3,4,5,2,4,3,4,4,4,2,4,4,4,3,2,2,4,3,3,3,3,2.8,3.57142857142857,3.625,2.85714285714286
6,1,20,3,2,2,2,2,3,1,2,3,2,3,3,2,4,2,4,2,3,3,4,3,4,4,3,2,2,3,2.2,2.42857142857143,3,3
6,1,23,3,2,2,3,1,3,2,1,3,2,3,3,2,4,2,2,2,3,2,5,2,4,2,1,4,2,2,2.2,2.42857142857143,2.75,2.42857142857143
6,1,44,1,2,2,2,2,2,2,2,2,2,2,3,2,4,3,2,2,3,2,4,2,3,3,2,2,2,2,1.8,2.14285714285714,2.75,2.28571428571429
6,1,19,4,2,2,4,2,3,2,3,4,3,3,3,4,4,4,3,4,4,2,4,2,4,3,2,3,2,5,2.8,3,3.625,3
6,1,22,3,1,2,1,1,2,4,1,2,3,2,2,2,3,4,2,4,4,2,2,1,4,5,2,2,2,3,1.6,2.28571428571429,2.875,2.71428571428571
6,1,25,2,2,2,2,2,2,2,2,4,4,4,4,1,4,2,4,2,4,2,4,2,4,4,3,2,4,4,2,3.14285714285714,2.875,3.28571428571429
6,1,23,1,1,1,2,2,3,3,2,4,2,3,3,2,3,2,2,2,4,2,4,3,4,4,4,3,3,4,1.4,2.85714285714286,2.625,3.57142857142857
6,1,21,1,1,1,1,1,3,3,3,4,3,2,3,2,5,2,4,4,1,4,5,4,4,5,4,3,4,1,1,3,3.375,3.57142857142857
6,1,22,3,2,1,2,1,3,2,2,2,3,4,2,2,4,3,2,4,4,1,4,3,4,4,5,4,4,3,1.8,2.57142857142857,3,3.85714285714286
6,1,20,2,1,2,2,2,3,2,2,4,4,4,4,2,4,2,2,2,5,2,5,3,4,2,4,2,2,3,1.8,3.28571428571429,3,2.85714285714286
6,1,23,2,3,2,2,2,4,2,3,3,2,2,3,2,5,4,2,3,4,2,2,2,4,3,5,3,3,4,2.2,2.71428571428571,3,3.42857142857143
6,1,19,3,1,1,1,1,5,5,3,4,4,5,4,4,3,2,3,4,4,3,5,2,3,4,1,2,2,4,1.4,4.28571428571429,3.5,2.57142857142857
6,1,23,1,1,2,2,2,3,2,3,3,3,4,4,1,4,1,3,3,3,2,4,4,4,4,4,4,4,3,1.6,3.14285714285714,2.625,3.85714285714286
6,1,21,2,1,2,2,1,3,1,2,1,2,4,3,2,5,4,4,2,4,4,4,4,3,5,3,4,4,4,1.6,2.28571428571429,3.625,3.85714285714286
6,1,22,1,1,1,2,1,3,2,3,4,2,4,4,2,4,4,2,3,4,3,3,4,3,2,3,2,2,3,1.2,3.14285714285714,3.125,2.71428571428571
6,1,38,2,3,2,1,1,4,3,5,2,4,3,2,1,3,1,2,3,4,2,1,2,1,2,5,3,3,2,1.8,3.28571428571429,2.125,2.57142857142857
6,1,23,3,3,3,2,4,2,3,3,3,3,2,3,2,4,3,4,5,4,2,3,3,5,3,5,2,4,4,3,2.71428571428571,3.375,3.71428571428571
6,1,20,1,1,1,1,2,3,2,2,3,3,4,4,3,5,4,4,2,4,2,4,5,5,2,5,5,2,4,1.2,3,3.5,4
6,1,27,2,3,3,3,1,2,1,2,4,1,4,4,4,5,2,2,4,1,3,4,2,3,4,1,1,3,3,2.4,2.57142857142857,3.125,2.42857142857143
6,1,32,3,1,1,1,1,4,1,1,1,1,3,5,3,3,2,1,1,2,3,5,1,1,1,1,1,1,1,1.4,2.28571428571429,2.5,1
6,1,48,5,5,5,5,5,1,5,3,3,3,2,3,3,5,5,5,5,5,3,3,3,2,3,5,3,3,3,5,2.85714285714286,4.25,3.14285714285714
6,1,21,1,1,1,1,1,2,4,1,3,5,4,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,3,1,3.42857142857143,4.25,4.71428571428571
6,1,19,1,1,1,1,1,1,4,1,4,2,3,3,5,5,4,4,5,5,3,5,3,4,4,4,2,2,1,1,2.57142857142857,4.5,2.85714285714286
6,1,28,3,1,1,2,2,2,2,2,2,2,3,1,2,4,2,3,2,4,3,5,3,5,5,3,2,2,2,1.8,2,3.125,3.14285714285714
6,1,19,1,1,1,2,2,2,2,1,4,3,1,4,4,4,4,4,4,5,2,5,2,4,3,3,2,3,4,1.4,2.42857142857143,4,3
6,1,30,2,1,1,2,2,2,2,2,3,3,4,4,4,3,4,3,4,4,3,4,3,4,4,4,4,4,4,1.6,2.85714285714286,3.625,3.85714285714286
6,1,21,1,2,1,1,1,2,1,2,3,2,2,3,3,4,2,3,3,2,2,3,3,3,3,3,2,2,3,1.2,2.14285714285714,2.75,2.71428571428571
6,1,37,1,1,1,1,1,2,1,1,3,3,2,3,3,1,3,4,4,4,3,5,3,2,2,4,3,3,3,1,2.14285714285714,3.375,2.85714285714286
6,1,38,1,1,1,1,1,1,1,1,1,4,4,1,1,2,1,3,2,1,1,2,3,2,4,1,1,1,3,1,1.85714285714286,1.625,2.14285714285714
6,1,19,1,1,1,2,4,2,2,2,3,3,4,4,2,4,3,2,4,5,2,5,3,4,4,2,2,2,2,1.8,2.85714285714286,3.375,2.71428571428571
6,1,20,1,1,1,2,1,1,1,1,1,3,1,1,3,5,4,3,4,4,2,5,3,5,3,4,4,4,4,1.2,1.28571428571429,3.75,3.85714285714286
6,1,23,1,2,2,2,1,3,1,2,3,3,1,3,2,4,3,3,1,3,2,4,3,2,2,2,2,2,2,1.6,2.28571428571429,2.75,2.14285714285714
6,1,30,1,1,1,1,1,3,2,2,4,2,3,3,3,4,4,2,2,3,2,4,4,4,4,4,3,3,3,1,2.71428571428571,3,3.57142857142857
6,1,23,2,2,2,1,2,1,1,1,3,2,3,4,4,5,3,2,4,3,2,5,2,3,4,3,2,2,3,1.8,2.14285714285714,3.5,2.71428571428571
6,1,40,2,2,1,2,1,4,2,3,2,4,4,4,3,4,2,2,3,5,3,3,2,4,2,2,3,3,4,1.6,3.28571428571429,3.125,2.85714285714286
6,1,51,2,2,2,3,2,2,2,1,2,2,3,4,2,5,2,4,2,3,2,4,3,4,3,4,3,3,3,2.2,2.28571428571429,3,3.28571428571429
6,1,20,2,1,2,2,3,4,2,3,5,4,5,3,3,5,3,3,2,3,2,3,3,4,2,4,2,4,1,2,3.71428571428571,3,2.85714285714286
6,1,23,1,1,1,1,1,1,1,1,2,3,3,4,1,5,2,3,1,2,1,5,4,5,4,5,4,4,3,1,2.14285714285714,2.5,4.14285714285714
6,1,23,3,3,2,3,4,3,1,3,4,4,3,4,3,2,3,3,4,5,3,3,1,2,3,3,3,4,3,3,3.14285714285714,3.25,2.71428571428571
6,1,25,2,1,1,2,4,1,2,1,4,2,4,4,1,5,1,5,3,3,2,3,2,4,4,4,4,3,3,2,2.57142857142857,2.875,3.42857142857143
6,1,25,2,1,2,2,4,4,2,3,3,2,3,3,3,4,3,3,2,4,2,3,3,3,3,4,2,3,3,2.2,2.85714285714286,3,3
6,1,22,2,2,2,3,2,1,1,1,4,4,2,3,2,5,5,3,5,5,2,5,3,3,3,4,2,4,3,2.2,2.28571428571429,4,3.14285714285714
6,1,20,2,1,1,4,3,2,4,1,3,2,2,2,3,3,2,3,3,3,2,3,3,4,5,4,3,3,3,2.2,2.28571428571429,2.75,3.57142857142857
6,1,24,2,2,2,2,2,2,2,2,2,4,2,3,4,4,3,4,4,4,3,4,2,4,4,2,2,2,3,2,2.42857142857143,3.75,2.71428571428571
6,1,22,3,1,2,4,4,2,2,1,5,4,4,1,2,3,4,4,4,3,4,3,2,5,5,5,4,4,4,2.8,2.71428571428571,3.375,4.14285714285714
6,1,18,4,2,2,3,4,3,2,1,4,2,4,4,4,5,2,2,2,3,3,5,1,4,2,2,1,2,4,3,2.85714285714286,3.25,2.28571428571429
6,1,25,1,1,1,2,1,3,1,2,2,3,4,3,2,4,2,3,2,3,1,4,3,3,3,4,3,2,4,1.2,2.57142857142857,2.625,3.14285714285714
6,1,22,2,1,1,2,2,2,2,1,3,4,4,4,2,5,5,4,4,4,3,5,3,4,4,3,3,3,3,1.6,2.85714285714286,4,3.28571428571429
6,1,19,2,2,3,2,2,1,4,1,2,3,4,2,4,3,3,3,3,3,3,4,2,5,4,4,4,3,1,2.2,2.42857142857143,3.25,3.28571428571429
6,1,24,3,1,2,3,3,2,2,2,3,3,4,4,3,5,5,3,4,3,3,5,3,3,3,4,3,3,5,2.4,2.85714285714286,3.875,3.42857142857143
6,1,23,3,1,3,3,3,4,2,2,3,4,3,3,4,3,5,5,4,4,3,2,2,4,4,4,4,1,4,2.6,3,3.75,3.28571428571429
6,1,20,1,2,1,1,1,2,4,3,4,4,3,3,4,5,4,4,4,4,4,5,3,3,3,4,3,4,3,1.2,3.28571428571429,4.25,3.28571428571429
6,1,18,1,1,2,2,2,3,3,3,4,4,1,4,2,5,3,4,4,4,2,5,4,3,4,3,3,3,3,1.6,3.14285714285714,3.625,3.28571428571429
6,1,21,2,2,1,3,2,3,2,3,2,3,4,4,4,5,2,4,3,4,3,1,2,5,3,4,4,3,4,2,3,3.25,3.57142857142857
6,1,21,1,2,1,1,1,3,1,3,4,1,5,5,1,2,2,1,1,4,1,4,2,4,4,3,2,2,4,1.2,3.14285714285714,2,3
6,1,20,3,4,3,5,3,2,3,2,3,4,4,3,4,4,3,4,5,4,3,3,4,5,4,5,4,3,4,3.6,3,3.75,4.14285714285714
6,1,26,2,2,2,2,2,4,3,4,5,5,4,4,2,5,4,4,4,3,3,4,4,4,4,5,4,4,4,2,4.14285714285714,3.625,4.14285714285714
6,1,24,3,3,2,2,3,4,1,2,4,4,4,3,3,5,4,3,3,4,2,4,3,5,1,3,4,3,2,2.6,3.14285714285714,3.5,3
6,1,21,1,2,1,1,1,4,1,2,3,4,4,3,3,5,4,5,4,4,5,5,2,3,3,3,1,2,2,1.2,3,4.375,2.28571428571429
6,1,51,2,2,2,2,3,2,3,3,4,4,2,4,2,2,2,2,2,4,2,2,2,4,4,4,4,3,2,2.2,3.14285714285714,2.25,3.28571428571429
6,1,28,1,1,1,2,1,3,1,2,2,4,3,3,1,1,3,2,3,3,2,1,4,4,4,3,4,3,3,1.2,2.57142857142857,2,3.57142857142857
6,1,37,3,4,2,3,3,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.57142857142857,2.875,3
6,1,27,1,1,3,4,2,3,4,1,3,3,3,1,3,5,4,4,4,3,3,5,2,5,4,3,4,2,1,2.2,2.57142857142857,3.875,3
6,1,20,2,1,1,1,1,3,2,2,1,2,2,4,5,4,3,3,2,4,4,5,2,2,3,3,1,2,5,1.2,2.28571428571429,3.75,2.57142857142857
6,1,25,1,2,1,2,2,2,1,2,2,3,3,4,2,5,3,3,3,3,3,4,3,3,3,3,3,3,2,1.6,2.42857142857143,3.25,2.85714285714286
6,1,59,3,4,1,4,1,5,1,3,3,1,3,4,2,1,4,4,3,3,3,5,3,2,3,3,4,3,2,2.6,2.85714285714286,3.125,2.85714285714286
6,1,20,1,1,1,3,2,2,1,1,2,4,2,3,3,4,5,4,4,4,3,4,3,4,4,4,4,4,2,1.6,2.14285714285714,3.875,3.57142857142857
6,1,21,2,2,2,2,1,3,3,2,5,3,3,4,1,4,3,3,3,2,2,4,3,4,4,3,3,3,3,1.8,3.28571428571429,2.75,3.28571428571429
6,1,20,2,2,2,3,3,2,4,2,3,2,4,3,3,3,2,4,2,3,2,4,4,4,3,5,3,2,4,2.4,2.85714285714286,2.875,3.57142857142857
6,1,36,2,4,3,2,1,1,1,1,4,4,3,4,2,4,4,2,4,4,3,4,3,4,4,4,5,2,4,2.4,2.57142857142857,3.375,3.71428571428571
6,1,43,1,2,2,2,3,2,1,1,4,2,3,3,2,5,2,2,3,2,2,4,3,5,3,3,2,3,3,2,2.28571428571429,2.75,3.14285714285714
6,1,25,3,2,1,2,2,4,1,1,4,2,4,2,4,5,5,4,4,4,4,5,4,5,5,3,4,4,5,2,2.57142857142857,4.375,4.28571428571429
6,1,49,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2.5,2.14285714285714
6,1,23,2,2,3,4,2,3,3,3,4,3,3,4,4,5,3,3,4,3,3,5,3,4,4,4,4,4,3,2.6,3.28571428571429,3.75,3.71428571428571
6,1,33,2,1,2,2,3,3,1,4,2,4,4,4,1,2,2,3,3,4,2,3,2,3,3,4,2,2,3,2,3.14285714285714,2.5,2.71428571428571
6,1,26,3,3,3,3,2,2,1,1,2,2,2,2,2,5,3,2,3,4,3,4,2,5,3,4,3,3,3,2.8,1.71428571428571,3.25,3.28571428571429
6,1,34,1,1,1,2,4,3,2,4,4,2,2,5,1,2,3,1,1,3,2,2,2,4,4,4,4,4,2,1.8,3.14285714285714,1.875,3.42857142857143
6,1,49,2,4,5,3,3,3,3,3,3,4,4,4,4,5,3,4,2,4,4,4,5,4,3,2,4,3,3,3.4,3.42857142857143,3.75,3.42857142857143
6,1,20,1,4,1,3,4,3,1,1,3,1,2,1,5,4,4,2,4,1,3,5,1,5,1,4,2,3,1,2.6,1.71428571428571,3.5,2.42857142857143
6,1,28,5,5,5,1,5,5,5,1,1,3,5,5,5,1,4,5,5,5,5,5,5,1,5,5,5,1,1,4.2,3.57142857142857,4.375,3.28571428571429
6,1,35,1,1,1,2,3,2,2,1,3,2,4,2,2,5,2,2,2,4,2,4,3,4,3,3,4,3,4,1.6,2.28571428571429,2.875,3.42857142857143
6,1,23,2,1,1,1,2,1,1,2,2,1,2,3,1,5,2,2,2,3,2,4,3,3,4,4,3,3,2,1.4,1.71428571428571,2.625,3.14285714285714
6,1,31,1,1,1,1,1,2,1,1,2,3,3,3,3,4,3,4,3,3,3,4,2,4,3,1,3,1,3,1,2.14285714285714,3.375,2.42857142857143
6,1,43,3,4,1,2,3,2,2,4,3,3,3,4,3,5,3,4,3,4,3,4,2,4,2,3,2,3,5,2.6,3,3.625,3
6,1,22,3,2,2,2,1,3,2,2,3,2,4,3,4,4,2,4,2,4,3,2,3,4,4,4,3,2,2,2,2.71428571428571,3.125,3.14285714285714
6,1,23,4,2,1,3,3,2,1,2,3,4,4,4,4,4,4,4,2,4,4,5,3,4,4,3,3,3,3,2.6,2.85714285714286,3.875,3.28571428571429
6,1,36,2,1,1,3,2,3,4,2,3,2,5,4,2,4,3,3,3,3,1,5,4,5,5,5,4,3,5,1.8,3.28571428571429,3,4.42857142857143
6,1,24,2,2,2,3,2,1,1,2,4,3,3,5,5,5,5,3,4,4,3,5,2,5,3,2,2,4,2,2.2,2.71428571428571,4.25,2.85714285714286
6,1,38,1,2,2,2,1,2,2,2,2,2,4,4,3,5,2,4,4,3,3,4,3,5,4,4,4,4,4,1.6,2.57142857142857,3.5,4
6,1,23,4,2,3,2,3,2,1,1,3,4,2,4,3,4,2,4,2,4,4,3,1,5,4,4,2,4,4,2.8,2.42857142857143,3.25,3.42857142857143
6,1,20,1,4,3,2,1,2,1,3,2,1,2,1,2,5,2,3,4,3,1,4,1,5,4,2,5,2,3,2.2,1.71428571428571,3,3.14285714285714
6,1,24,2,3,2,4,3,2,2,1,2,3,3,3,2,5,4,5,3,2,1,4,1,4,4,2,2,2,2,2.8,2.28571428571429,3.25,2.42857142857143
6,1,22,3,1,1,2,1,2,1,3,3,2,4,3,1,3,4,2,2,2,3,4,2,4,5,3,1,2,2,1.6,2.57142857142857,2.625,2.71428571428571
