"NO","FD","SD","UP","FW","FD1","FD5","FD9","FD13","FD17","SD2","SD6","SD10","SD14","SD18","SD22","SD24","UP3","UP7","UP11","UP15","UP19","UP20","UP25","UP27","FW4","FW8","FW12","FW16","FW21","FW23","FW26"
6,2.4,3.85714285714286,3.625,2.85714285714286,3,3,2,2,2,4,5,4,3,3,4,4,5,5,3,4,3,4,2,3,1,5,4,3,2,2,3
6,2,2.42857142857143,2.875,2.57142857142857,4,2,1,2,1,2,1,2,2,4,2,4,2,3,2,3,3,4,2,4,3,3,2,2,3,2,3
6,1.4,2.28571428571429,3.375,3.14285714285714,2,2,1,1,1,2,2,1,3,2,4,2,2,5,4,4,3,3,1,5,4,3,4,3,2,3,3
6,2.2,3.14285714285714,3.75,3.14285714285714,4,1,1,4,1,3,3,3,3,4,3,3,2,5,5,2,5,5,1,5,3,4,5,2,3,3,2
6,2.6,2.85714285714286,4.875,4.71428571428571,1,4,5,2,1,2,1,1,5,2,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5
6,1.4,2.57142857142857,3.5,2.85714285714286,2,1,1,2,1,1,2,2,3,4,3,3,4,1,4,3,4,4,3,5,4,3,3,3,2,3,2
6,1.8,3.28571428571429,3.375,4,2,1,2,3,1,2,4,4,4,2,5,2,3,4,2,4,4,4,2,4,4,4,4,4,4,4,4
6,2.8,3,3.75,2.85714285714286,4,2,2,2,4,2,2,1,4,4,4,4,4,4,3,3,5,4,3,4,1,4,3,4,2,3,3
6,1,1.85714285714286,3.125,2.14285714285714,1,1,1,1,1,2,1,1,3,2,1,3,2,2,4,4,3,3,2,5,3,3,3,1,1,2,2
6,1.6,2.42857142857143,3.125,3.14285714285714,2,1,1,2,2,3,3,2,2,2,3,2,3,4,3,3,3,3,3,3,4,4,2,3,3,2,4
6,1.6,2.71428571428571,2.875,3.28571428571429,1,1,1,4,1,3,3,1,4,2,3,3,2,3,2,4,3,4,2,3,4,3,3,3,4,3,3
6,2.8,2.14285714285714,3.75,3,4,2,1,3,4,2,1,2,2,3,2,3,1,5,5,4,4,4,2,5,1,4,4,3,3,2,4
6,1.6,2.42857142857143,2.875,3.71428571428571,2,2,1,2,1,4,3,1,2,3,2,2,2,5,2,2,3,3,1,5,3,4,4,4,4,2,5
6,2.4,3,3.25,3.28571428571429,2,2,2,2,4,2,2,2,4,3,4,4,3,4,3,3,3,4,2,4,4,4,3,3,3,3,3
6,2.6,3.42857142857143,2.75,3.85714285714286,2,2,1,3,5,3,4,1,4,4,4,4,4,4,3,3,2,2,2,2,4,2,4,5,4,4,4
6,2.2,3.14285714285714,3,2.85714285714286,3,1,2,2,3,4,1,2,4,3,4,4,3,2,4,3,3,3,3,3,2,3,5,2,2,2,4
6,1.6,2.57142857142857,3.75,3,3,1,1,1,2,5,1,3,1,4,1,3,5,5,3,3,3,4,2,5,2,5,2,4,2,3,3
6,2.4,3,3,3,3,1,3,2,3,4,4,2,2,2,3,4,2,5,2,3,1,3,3,5,4,4,3,3,4,1,2
6,3.4,3.71428571428571,3.625,3.28571428571429,4,3,3,4,3,4,4,3,4,4,3,4,3,5,4,4,4,2,3,4,2,4,3,3,4,4,3
6,1.8,2.85714285714286,3.25,2.57142857142857,2,2,1,2,2,2,2,1,4,3,4,4,3,4,2,3,3,4,3,4,2,2,2,3,3,3,3
6,2.8,2.85714285714286,3.75,2.85714285714286,3,3,2,4,2,2,2,2,4,3,2,5,3,4,4,3,4,5,3,4,2,3,4,2,3,3,3
6,2.8,2.57142857142857,3.75,2.57142857142857,4,3,3,2,2,2,2,2,3,4,2,3,5,5,3,3,4,3,3,4,2,4,3,2,3,2,2
6,2.8,3.28571428571429,3.75,2.42857142857143,2,2,3,3,4,3,3,3,4,3,4,3,4,4,4,4,3,4,3,4,2,3,3,2,3,2,2
6,1.6,3,3,4,2,1,1,3,1,3,3,1,3,3,4,4,3,4,4,4,2,4,1,2,3,5,5,4,4,4,3
6,1.6,1.85714285714286,2.25,2.28571428571429,2,1,2,1,2,3,1,2,2,2,1,2,2,2,2,2,2,3,2,3,2,2,4,2,2,2,2
6,1.6,2.71428571428571,2.625,4.28571428571429,1,1,1,3,2,2,3,1,2,4,3,4,2,3,2,4,3,1,3,3,5,5,5,3,5,2,5
6,1.4,3,2.5,3.28571428571429,2,1,2,1,1,3,2,2,4,1,5,4,2,4,2,3,1,3,2,3,4,3,4,4,4,2,2
6,3.2,3.28571428571429,3.5,3.42857142857143,3,3,3,4,3,3,4,3,3,3,4,3,3,5,4,4,3,3,3,3,3,4,5,3,3,3,3
6,1.8,2.57142857142857,3.5,2.71428571428571,3,1,2,2,1,3,1,3,3,3,2,3,2,5,3,3,4,4,3,4,2,2,4,3,3,3,2
6,2,2.85714285714286,3.125,2.85714285714286,1,1,3,3,2,4,1,3,2,3,3,4,3,5,3,4,2,3,2,3,3,3,4,2,2,4,2
6,2.2,2.85714285714286,3,2.28571428571429,3,2,2,2,2,3,2,3,2,4,3,3,3,4,3,2,2,4,2,4,2,4,2,2,2,2,2
6,1.6,2.42857142857143,2.875,3.57142857142857,4,1,1,1,1,2,1,1,1,3,5,4,2,4,3,2,3,4,2,3,4,2,4,3,4,3,5
6,2.2,3.14285714285714,3.375,3.42857142857143,2,3,2,2,2,3,4,3,4,3,3,2,2,4,3,4,3,3,3,5,3,3,3,4,3,4,4
6,1.6,2.42857142857143,2.75,2.42857142857143,2,2,1,2,1,4,2,2,3,2,2,2,2,3,4,3,2,2,2,4,3,2,3,2,2,2,3
6,1.8,3,2.875,3.28571428571429,1,2,1,4,1,3,2,1,3,4,4,4,3,3,2,3,2,3,2,5,3,4,5,3,1,2,5
6,3,3.57142857142857,4.125,3.28571428571429,3,2,2,4,4,4,1,2,4,5,4,5,4,5,4,4,5,5,2,4,2,4,4,3,3,4,3
6,4.4,3.42857142857143,4.125,3.57142857142857,5,4,5,5,3,4,1,3,3,5,4,4,2,5,5,5,5,4,3,4,2,5,5,5,2,4,2
6,1.2,1.71428571428571,2.25,3.57142857142857,2,1,1,1,1,1,1,1,3,2,2,2,1,4,3,2,1,3,1,3,4,3,4,3,4,3,4
6,2.4,3,3.125,2.42857142857143,3,4,1,3,1,3,2,3,3,2,4,4,3,4,2,3,3,3,3,4,2,3,3,1,2,3,3
6,2.2,3.14285714285714,3.25,3.57142857142857,3,2,2,2,2,3,2,2,3,4,4,4,2,3,4,4,3,4,3,3,4,4,5,4,3,3,2
6,2.2,2.71428571428571,2.875,2.28571428571429,1,3,2,3,2,2,3,2,3,3,3,3,4,4,3,4,3,1,1,3,1,1,2,1,4,4,3
6,2.6,3.42857142857143,3.125,3.71428571428571,3,2,3,3,2,4,3,3,3,4,3,4,2,5,3,3,3,2,3,4,4,4,4,3,4,3,4
6,1.4,3.14285714285714,3,3.85714285714286,1,1,1,3,1,3,4,3,3,3,3,3,3,3,3,3,3,3,2,4,4,4,4,4,4,4,3
6,1,3.42857142857143,2.125,4.14285714285714,1,1,1,1,1,3,3,3,3,5,4,3,1,3,1,5,3,1,1,2,4,4,5,5,3,4,4
6,2.2,2.57142857142857,2.5,2.71428571428571,2,2,2,3,2,3,1,2,4,2,4,2,2,2,3,3,3,2,2,3,2,4,3,3,2,2,3
6,2.4,2.42857142857143,3.25,3.71428571428571,3,2,2,3,2,3,2,2,2,3,3,2,3,4,3,3,3,4,2,4,4,4,4,4,4,4,2
6,2.8,3.57142857142857,3.625,2.85714285714286,5,4,1,2,2,4,3,4,5,2,4,3,4,4,4,2,4,4,4,3,2,2,4,3,3,3,3
6,2.2,2.42857142857143,3,3,3,2,2,2,2,3,1,2,3,2,3,3,2,4,2,4,2,3,3,4,3,4,4,3,2,2,3
6,2.2,2.42857142857143,2.75,2.42857142857143,3,2,2,3,1,3,2,1,3,2,3,3,2,4,2,2,2,3,2,5,2,4,2,1,4,2,2
6,1.8,2.14285714285714,2.75,2.28571428571429,1,2,2,2,2,2,2,2,2,2,2,3,2,4,3,2,2,3,2,4,2,3,3,2,2,2,2
6,2.8,3,3.625,3,4,2,2,4,2,3,2,3,4,3,3,3,4,4,4,3,4,4,2,4,2,4,3,2,3,2,5
6,1.6,2.28571428571429,2.875,2.71428571428571,3,1,2,1,1,2,4,1,2,3,2,2,2,3,4,2,4,4,2,2,1,4,5,2,2,2,3
6,2,3.14285714285714,2.875,3.28571428571429,2,2,2,2,2,2,2,2,4,4,4,4,1,4,2,4,2,4,2,4,2,4,4,3,2,4,4
6,1.4,2.85714285714286,2.625,3.57142857142857,1,1,1,2,2,3,3,2,4,2,3,3,2,3,2,2,2,4,2,4,3,4,4,4,3,3,4
6,1,3,3.375,3.57142857142857,1,1,1,1,1,3,3,3,4,3,2,3,2,5,2,4,4,1,4,5,4,4,5,4,3,4,1
6,1.8,2.57142857142857,3,3.85714285714286,3,2,1,2,1,3,2,2,2,3,4,2,2,4,3,2,4,4,1,4,3,4,4,5,4,4,3
6,1.8,3.28571428571429,3,2.85714285714286,2,1,2,2,2,3,2,2,4,4,4,4,2,4,2,2,2,5,2,5,3,4,2,4,2,2,3
6,2.2,2.71428571428571,3,3.42857142857143,2,3,2,2,2,4,2,3,3,2,2,3,2,5,4,2,3,4,2,2,2,4,3,5,3,3,4
6,1.4,4.28571428571429,3.5,2.57142857142857,3,1,1,1,1,5,5,3,4,4,5,4,4,3,2,3,4,4,3,5,2,3,4,1,2,2,4
6,1.6,3.14285714285714,2.625,3.85714285714286,1,1,2,2,2,3,2,3,3,3,4,4,1,4,1,3,3,3,2,4,4,4,4,4,4,4,3
6,1.6,2.28571428571429,3.625,3.85714285714286,2,1,2,2,1,3,1,2,1,2,4,3,2,5,4,4,2,4,4,4,4,3,5,3,4,4,4
6,1.2,3.14285714285714,3.125,2.71428571428571,1,1,1,2,1,3,2,3,4,2,4,4,2,4,4,2,3,4,3,3,4,3,2,3,2,2,3
6,1.8,3.28571428571429,2.125,2.57142857142857,2,3,2,1,1,4,3,5,2,4,3,2,1,3,1,2,3,4,2,1,2,1,2,5,3,3,2
6,3,2.71428571428571,3.375,3.71428571428571,3,3,3,2,4,2,3,3,3,3,2,3,2,4,3,4,5,4,2,3,3,5,3,5,2,4,4
6,1.2,3,3.5,4,1,1,1,1,2,3,2,2,3,3,4,4,3,5,4,4,2,4,2,4,5,5,2,5,5,2,4
6,2.4,2.57142857142857,3.125,2.42857142857143,2,3,3,3,1,2,1,2,4,1,4,4,4,5,2,2,4,1,3,4,2,3,4,1,1,3,3
6,1.4,2.28571428571429,2.5,1,3,1,1,1,1,4,1,1,1,1,3,5,3,3,2,1,1,2,3,5,1,1,1,1,1,1,1
6,5,2.85714285714286,4.25,3.14285714285714,5,5,5,5,5,1,5,3,3,3,2,3,3,5,5,5,5,5,3,3,3,2,3,5,3,3,3
6,1,3.42857142857143,4.25,4.71428571428571,1,1,1,1,1,2,4,1,3,5,4,5,3,5,5,5,5,1,5,5,5,5,5,5,5,5,3
6,1,2.57142857142857,4.5,2.85714285714286,1,1,1,1,1,1,4,1,4,2,3,3,5,5,4,4,5,5,3,5,3,4,4,4,2,2,1
6,1.8,2,3.125,3.14285714285714,3,1,1,2,2,2,2,2,2,2,3,1,2,4,2,3,2,4,3,5,3,5,5,3,2,2,2
6,1.4,2.42857142857143,4,3,1,1,1,2,2,2,2,1,4,3,1,4,4,4,4,4,4,5,2,5,2,4,3,3,2,3,4
6,1.6,2.85714285714286,3.625,3.85714285714286,2,1,1,2,2,2,2,2,3,3,4,4,4,3,4,3,4,4,3,4,3,4,4,4,4,4,4
6,1.2,2.14285714285714,2.75,2.71428571428571,1,2,1,1,1,2,1,2,3,2,2,3,3,4,2,3,3,2,2,3,3,3,3,3,2,2,3
6,1,2.14285714285714,3.375,2.85714285714286,1,1,1,1,1,2,1,1,3,3,2,3,3,1,3,4,4,4,3,5,3,2,2,4,3,3,3
6,1,1.85714285714286,1.625,2.14285714285714,1,1,1,1,1,1,1,1,1,4,4,1,1,2,1,3,2,1,1,2,3,2,4,1,1,1,3
6,1.8,2.85714285714286,3.375,2.71428571428571,1,1,1,2,4,2,2,2,3,3,4,4,2,4,3,2,4,5,2,5,3,4,4,2,2,2,2
6,1.2,1.28571428571429,3.75,3.85714285714286,1,1,1,2,1,1,1,1,1,3,1,1,3,5,4,3,4,4,2,5,3,5,3,4,4,4,4
6,1.6,2.28571428571429,2.75,2.14285714285714,1,2,2,2,1,3,1,2,3,3,1,3,2,4,3,3,1,3,2,4,3,2,2,2,2,2,2
6,1,2.71428571428571,3,3.57142857142857,1,1,1,1,1,3,2,2,4,2,3,3,3,4,4,2,2,3,2,4,4,4,4,4,3,3,3
6,1.8,2.14285714285714,3.5,2.71428571428571,2,2,2,1,2,1,1,1,3,2,3,4,4,5,3,2,4,3,2,5,2,3,4,3,2,2,3
6,1.6,3.28571428571429,3.125,2.85714285714286,2,2,1,2,1,4,2,3,2,4,4,4,3,4,2,2,3,5,3,3,2,4,2,2,3,3,4
6,2.2,2.28571428571429,3,3.28571428571429,2,2,2,3,2,2,2,1,2,2,3,4,2,5,2,4,2,3,2,4,3,4,3,4,3,3,3
6,2,3.71428571428571,3,2.85714285714286,2,1,2,2,3,4,2,3,5,4,5,3,3,5,3,3,2,3,2,3,3,4,2,4,2,4,1
6,1,2.14285714285714,2.5,4.14285714285714,1,1,1,1,1,1,1,1,2,3,3,4,1,5,2,3,1,2,1,5,4,5,4,5,4,4,3
6,3,3.14285714285714,3.25,2.71428571428571,3,3,2,3,4,3,1,3,4,4,3,4,3,2,3,3,4,5,3,3,1,2,3,3,3,4,3
6,2,2.57142857142857,2.875,3.42857142857143,2,1,1,2,4,1,2,1,4,2,4,4,1,5,1,5,3,3,2,3,2,4,4,4,4,3,3
6,2.2,2.85714285714286,3,3,2,1,2,2,4,4,2,3,3,2,3,3,3,4,3,3,2,4,2,3,3,3,3,4,2,3,3
6,2.2,2.28571428571429,4,3.14285714285714,2,2,2,3,2,1,1,1,4,4,2,3,2,5,5,3,5,5,2,5,3,3,3,4,2,4,3
6,2.2,2.28571428571429,2.75,3.57142857142857,2,1,1,4,3,2,4,1,3,2,2,2,3,3,2,3,3,3,2,3,3,4,5,4,3,3,3
6,2,2.42857142857143,3.75,2.71428571428571,2,2,2,2,2,2,2,2,2,4,2,3,4,4,3,4,4,4,3,4,2,4,4,2,2,2,3
6,2.8,2.71428571428571,3.375,4.14285714285714,3,1,2,4,4,2,2,1,5,4,4,1,2,3,4,4,4,3,4,3,2,5,5,5,4,4,4
6,3,2.85714285714286,3.25,2.28571428571429,4,2,2,3,4,3,2,1,4,2,4,4,4,5,2,2,2,3,3,5,1,4,2,2,1,2,4
6,1.2,2.57142857142857,2.625,3.14285714285714,1,1,1,2,1,3,1,2,2,3,4,3,2,4,2,3,2,3,1,4,3,3,3,4,3,2,4
6,1.6,2.85714285714286,4,3.28571428571429,2,1,1,2,2,2,2,1,3,4,4,4,2,5,5,4,4,4,3,5,3,4,4,3,3,3,3
6,2.2,2.42857142857143,3.25,3.28571428571429,2,2,3,2,2,1,4,1,2,3,4,2,4,3,3,3,3,3,3,4,2,5,4,4,4,3,1
6,2.4,2.85714285714286,3.875,3.42857142857143,3,1,2,3,3,2,2,2,3,3,4,4,3,5,5,3,4,3,3,5,3,3,3,4,3,3,5
6,2.6,3,3.75,3.28571428571429,3,1,3,3,3,4,2,2,3,4,3,3,4,3,5,5,4,4,3,2,2,4,4,4,4,1,4
6,1.2,3.28571428571429,4.25,3.28571428571429,1,2,1,1,1,2,4,3,4,4,3,3,4,5,4,4,4,4,4,5,3,3,3,4,3,4,3
6,1.6,3.14285714285714,3.625,3.28571428571429,1,1,2,2,2,3,3,3,4,4,1,4,2,5,3,4,4,4,2,5,4,3,4,3,3,3,3
6,2,3,3.25,3.57142857142857,2,2,1,3,2,3,2,3,2,3,4,4,4,5,2,4,3,4,3,1,2,5,3,4,4,3,4
6,1.2,3.14285714285714,2,3,1,2,1,1,1,3,1,3,4,1,5,5,1,2,2,1,1,4,1,4,2,4,4,3,2,2,4
6,3.6,3,3.75,4.14285714285714,3,4,3,5,3,2,3,2,3,4,4,3,4,4,3,4,5,4,3,3,4,5,4,5,4,3,4
6,2,4.14285714285714,3.625,4.14285714285714,2,2,2,2,2,4,3,4,5,5,4,4,2,5,4,4,4,3,3,4,4,4,4,5,4,4,4
6,2.6,3.14285714285714,3.5,3,3,3,2,2,3,4,1,2,4,4,4,3,3,5,4,3,3,4,2,4,3,5,1,3,4,3,2
6,1.2,3,4.375,2.28571428571429,1,2,1,1,1,4,1,2,3,4,4,3,3,5,4,5,4,4,5,5,2,3,3,3,1,2,2
6,2.2,3.14285714285714,2.25,3.28571428571429,2,2,2,2,3,2,3,3,4,4,2,4,2,2,2,2,2,4,2,2,2,4,4,4,4,3,2
6,1.2,2.57142857142857,2,3.57142857142857,1,1,1,2,1,3,1,2,2,4,3,3,1,1,3,2,3,3,2,1,4,4,4,3,4,3,3
6,3,2.57142857142857,2.875,3,3,4,2,3,3,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6,2.2,2.57142857142857,3.875,3,1,1,3,4,2,3,4,1,3,3,3,1,3,5,4,4,4,3,3,5,2,5,4,3,4,2,1
6,1.2,2.28571428571429,3.75,2.57142857142857,2,1,1,1,1,3,2,2,1,2,2,4,5,4,3,3,2,4,4,5,2,2,3,3,1,2,5
6,1.6,2.42857142857143,3.25,2.85714285714286,1,2,1,2,2,2,1,2,2,3,3,4,2,5,3,3,3,3,3,4,3,3,3,3,3,3,2
6,2.6,2.85714285714286,3.125,2.85714285714286,3,4,1,4,1,5,1,3,3,1,3,4,2,1,4,4,3,3,3,5,3,2,3,3,4,3,2
6,1.6,2.14285714285714,3.875,3.57142857142857,1,1,1,3,2,2,1,1,2,4,2,3,3,4,5,4,4,4,3,4,3,4,4,4,4,4,2
6,1.8,3.28571428571429,2.75,3.28571428571429,2,2,2,2,1,3,3,2,5,3,3,4,1,4,3,3,3,2,2,4,3,4,4,3,3,3,3
6,2.4,2.85714285714286,2.875,3.57142857142857,2,2,2,3,3,2,4,2,3,2,4,3,3,3,2,4,2,3,2,4,4,4,3,5,3,2,4
6,2.4,2.57142857142857,3.375,3.71428571428571,2,4,3,2,1,1,1,1,4,4,3,4,2,4,4,2,4,4,3,4,3,4,4,4,5,2,4
6,2,2.28571428571429,2.75,3.14285714285714,1,2,2,2,3,2,1,1,4,2,3,3,2,5,2,2,3,2,2,4,3,5,3,3,2,3,3
6,2,2.57142857142857,4.375,4.28571428571429,3,2,1,2,2,4,1,1,4,2,4,2,4,5,5,4,4,4,4,5,4,5,5,3,4,4,5
6,2,2,2.5,2.14285714285714,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,3,2,2,2,3,2,2,2,2,2
6,2.6,3.28571428571429,3.75,3.71428571428571,2,2,3,4,2,3,3,3,4,3,3,4,4,5,3,3,4,3,3,5,3,4,4,4,4,4,3
6,2,3.14285714285714,2.5,2.71428571428571,2,1,2,2,3,3,1,4,2,4,4,4,1,2,2,3,3,4,2,3,2,3,3,4,2,2,3
6,2.8,1.71428571428571,3.25,3.28571428571429,3,3,3,3,2,2,1,1,2,2,2,2,2,5,3,2,3,4,3,4,2,5,3,4,3,3,3
6,1.8,3.14285714285714,1.875,3.42857142857143,1,1,1,2,4,3,2,4,4,2,2,5,1,2,3,1,1,3,2,2,2,4,4,4,4,4,2
6,3.4,3.42857142857143,3.75,3.42857142857143,2,4,5,3,3,3,3,3,3,4,4,4,4,5,3,4,2,4,4,4,5,4,3,2,4,3,3
6,2.6,1.71428571428571,3.5,2.42857142857143,1,4,1,3,4,3,1,1,3,1,2,1,5,4,4,2,4,1,3,5,1,5,1,4,2,3,1
6,4.2,3.57142857142857,4.375,3.28571428571429,5,5,5,1,5,5,5,1,1,3,5,5,5,1,4,5,5,5,5,5,5,1,5,5,5,1,1
6,1.6,2.28571428571429,2.875,3.42857142857143,1,1,1,2,3,2,2,1,3,2,4,2,2,5,2,2,2,4,2,4,3,4,3,3,4,3,4
6,1.4,1.71428571428571,2.625,3.14285714285714,2,1,1,1,2,1,1,2,2,1,2,3,1,5,2,2,2,3,2,4,3,3,4,4,3,3,2
6,1,2.14285714285714,3.375,2.42857142857143,1,1,1,1,1,2,1,1,2,3,3,3,3,4,3,4,3,3,3,4,2,4,3,1,3,1,3
6,2.6,3,3.625,3,3,4,1,2,3,2,2,4,3,3,3,4,3,5,3,4,3,4,3,4,2,4,2,3,2,3,5
6,2,2.71428571428571,3.125,3.14285714285714,3,2,2,2,1,3,2,2,3,2,4,3,4,4,2,4,2,4,3,2,3,4,4,4,3,2,2
6,2.6,2.85714285714286,3.875,3.28571428571429,4,2,1,3,3,2,1,2,3,4,4,4,4,4,4,4,2,4,4,5,3,4,4,3,3,3,3
6,1.8,3.28571428571429,3,4.42857142857143,2,1,1,3,2,3,4,2,3,2,5,4,2,4,3,3,3,3,1,5,4,5,5,5,4,3,5
6,2.2,2.71428571428571,4.25,2.85714285714286,2,2,2,3,2,1,1,2,4,3,3,5,5,5,5,3,4,4,3,5,2,5,3,2,2,4,2
6,1.6,2.57142857142857,3.5,4,1,2,2,2,1,2,2,2,2,2,4,4,3,5,2,4,4,3,3,4,3,5,4,4,4,4,4
6,2.8,2.42857142857143,3.25,3.42857142857143,4,2,3,2,3,2,1,1,3,4,2,4,3,4,2,4,2,4,4,3,1,5,4,4,2,4,4
6,2.2,1.71428571428571,3,3.14285714285714,1,4,3,2,1,2,1,3,2,1,2,1,2,5,2,3,4,3,1,4,1,5,4,2,5,2,3
6,2.8,2.28571428571429,3.25,2.42857142857143,2,3,2,4,3,2,2,1,2,3,3,3,2,5,4,5,3,2,1,4,1,4,4,2,2,2,2
6,1.6,2.57142857142857,2.625,2.71428571428571,3,1,1,2,1,2,1,3,3,2,4,3,1,3,4,2,2,2,3,4,2,4,5,3,1,2,2
6,2,2.85714285714286,3.625,2.28571428571429,2,1,2,3,2,2,2,3,2,4,3,4,3,5,4,3,3,4,3,4,2,2,4,2,2,2,2
